,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar,z_score
2020-04-08 09:00,712.6666666666666,593.1666666666666,22.683333333333334,12.733333333333334,701.5,96.78333333333335,67871.46666666667,10.0,0.0,3.1,290.0,38.0,1.0,1.61,0.0,0.0,0.0,447.22222222222223,0.9785021924794494
2020-04-08 10:00,901.0,755.1666666666666,28.183333333333337,15.25,678.6666666666666,120.85000000000001,82002.46666666666,11.8,0.0,2.9,290.0,28.0,1.0,2.34,0.0,0.0,0.0,650.0,1.5208092327859208
2020-04-08 11:00,1031.5,871.3333333333334,30.23333333333333,16.1,682.0,134.1,91446.0,13.6,0.0,3.0,290.0,18.0,1.0,2.9,0.0,0.0,0.0,805.5555555555555,1.883224816398936
2020-04-08 12:00,1070.5,912.3333333333334,32.583333333333336,17.23333333333333,667.0,140.0,93371.03333333333,14.0,0.0,3.1,290.0,13.0,1.0,3.26,0.0,0.0,0.0,905.5555555555555,1.9571020458583726
2020-04-08 13:00,1033.5,892.3333333333334,29.100000000000005,16.516666666666666,680.5,134.53333333333333,91525.71666666667,14.4,0.0,3.5,270.0,14.0,1.0,3.45,0.0,0.0,0.0,958.3333333333334,1.8862841122423373
2020-04-08 14:00,905.5,795.1666666666666,28.25,16.316666666666666,688.3333333333334,117.71666666666668,81032.59999999999,13.9,0.0,4.0,290.0,13.0,1.0,3.33,0.0,0.0,0.0,925.0,1.483588546246263
2020-04-08 15:00,702.0,631.5,23.3,15.733333333333334,704.6666666666666,91.16666666666664,64218.533333333326,14.0,0.0,3.6,290.0,12.0,1.0,3.05,0.0,0.0,0.0,847.2222222222222,0.838313142558222
2020-04-08 16:00,460.0,432.8333333333333,19.733333333333334,15.183333333333337,716.3333333333334,59.01666666666666,42249.333333333336,13.5,0.0,3.6,290.0,18.0,1.0,2.41,0.0,0.0,0.0,669.4444444444445,-0.004801416206263421
2020-04-08 17:00,193.66666666666666,199.33333333333334,14.166666666666666,12.816666666666668,705.3333333333334,24.91666666666667,17781.75,13.4,0.0,2.7,290.0,17.0,1.0,1.68,0.0,0.0,0.0,466.6666666666667,-0.9437967244613032
2020-04-09 09:00,611.3333333333334,516.0,21.73333333333333,11.200000000000001,713.3333333333334,80.16666666666667,57137.11666666666,7.5,0.0,1.3,250.0,53.0,1.0,1.38,0.0,0.0,0.0,383.3333333333333,0.5665487866260924
2020-04-09 10:00,811.3333333333334,686.5,23.733333333333334,12.6,699.6666666666666,107.18333333333334,74990.08333333333,9.6,0.0,1.6,290.0,51.0,1.0,2.06,0.0,0.0,0.0,572.2222222222222,1.2516941771639245
2020-04-09 11:00,937.3333333333334,795.5,27.233333333333334,14.483333333333334,689.8333333333334,122.13333333333333,84224.15000000001,11.5,0.0,2.0,290.0,39.0,1.0,2.63,0.0,3.0,0.0,730.5555555555555,1.6060710340029773
2020-04-09 12:00,1012.3333333333334,866.6666666666666,31.599999999999998,16.366666666666664,676.3333333333334,131.73333333333332,89086.95,13.0,0.0,2.7,270.0,35.0,1.0,3.07,0.0,2.0,0.0,852.7777777777778,1.792691278543513
2020-04-09 13:00,981.1666666666666,848.0,31.399999999999995,17.650000000000002,676.6666666666666,127.5,86249.46666666666,13.8,0.0,3.5,290.0,27.0,1.0,3.24,0.0,2.0,0.0,900.0,1.6837968486787513
2020-04-09 14:00,863.5,757.8333333333334,28.016666666666666,16.616666666666667,693.2857142857143,103.98571428571428,71965.4,14.4,0.0,2.9,290.0,25.0,1.0,3.17,0.0,2.0,0.0,880.5555555555555,1.135615550997035
2020-04-09 15:00,653.4285714285714,591.4285714285714,21.900000000000002,15.457142857142856,707.5,89.45,63251.44999999999,15.3,0.0,2.5,270.0,24.0,1.0,2.81,0.0,4.0,0.0,780.5555555555555,0.8011992723275434
2020-04-09 16:00,375.6666666666667,352.6666666666667,18.53333333333333,15.15,724.6666666666666,47.449999999999996,34316.11666666667,14.4,0.0,3.2,290.0,25.0,1.0,2.14,0.0,2.0,0.0,594.4444444444445,-0.3092554003977557
2020-04-09 17:00,111.66666666666667,109.83333333333333,12.133333333333333,12.200000000000001,677.0,15.316666666666668,10411.333333333332,13.6,0.0,2.8,290.0,26.0,1.0,1.45,0.0,3.0,0.0,402.77777777777777,-1.226652067206013
