,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar,z_score
2018-12-11 16:00,1.9387755102040816,2.326530612244898,2.055102040816327,1.200000000000001,665.6268656716418,1.070149253731343,698.9791044776117,3.1,0.0,2.2,20.0,93.0,0.0,0.16,0.0,10.0,0.0,44.44444444444444,-1.3500322095347175
2018-12-11 17:00,0.0,0.0,1.5492537313432861,0.8462686567164188,637.5714285714286,0.0,0.0,3.1,0.0,3.2,20.0,94.0,0.0,0.09,0.0,10.0,0.0,25.0,-1.3782328713602996
2018-12-12 09:00,548.4714285714285,329.9142857142857,10.027142857142858,1.5257142857142856,649.7142857142857,38.15142857142857,24751.878571428573,0.8,0.0,2.7,290.0,63.0,1.0,0.53,0.0,0.0,0.0,147.22222222222223,-0.3796059415003599
2018-12-12 10:00,778.3,498.48571428571427,15.734285714285713,4.535714285714285,704.8714285714286,83.63428571428572,58997.927142857145,1.3,0.0,2.8,20.0,58.0,1.0,1.11,0.0,0.0,0.0,308.3333333333333,1.0020680290643018
2018-12-12 11:00,897.6428571428571,592.0857142857143,19.49285714285714,6.100000000000001,714.9807692307693,97.16730769230769,69164.69999999998,2.3,0.0,3.1,20.0,51.0,1.0,1.63,0.0,0.0,0.0,452.77777777777777,1.4122515686939543
2018-12-12 12:00,960.2714285714286,637.6,22.82571428571428,7.2771428571428585,721.0512820512821,96.41282051282052,68460.7512820513,2.4,0.0,4.5,50.0,46.0,1.0,1.99,0.0,0.0,0.0,552.7777777777778,1.3838504053254737
2018-12-12 13:00,889.7183098591549,582.5352112676056,21.615492957746483,8.0887323943662,702.3220338983051,97.14237288135591,67969.38644067798,2.9,0.0,4.6,50.0,44.0,1.0,2.06,0.0,0.0,0.0,572.2222222222222,1.3640260448606416
2018-12-12 14:00,722.8142857142857,450.85714285714283,19.01714285714285,8.708571428571426,695.1714285714286,81.64428571428574,56790.74571428571,3.7,0.0,2.9,20.0,38.0,1.0,1.91,0.0,0.0,0.0,530.5555555555555,0.9130181895825241
2018-12-12 15:00,460.62857142857143,257.62857142857143,14.928571428571425,7.894285714285715,660.9571428571429,49.050000000000004,32581.751428571442,3.6,0.0,3.8,50.0,36.0,1.0,1.53,0.0,0.0,0.0,425.0,-0.06370580204395619
2018-12-12 16:00,20.857142857142858,15.957142857142857,0.7328571428571425,2.53,670.8571428571429,6.872857142857144,4550.215714285714,3.1,0.0,2.3,50.0,30.0,1.0,0.97,0.0,0.0,0.0,269.44444444444446,-1.1946521408777753
2018-12-12 17:00,0.42028985507246375,0.2463768115942029,-3.192753623188406,-0.04492753623188409,672.2857142857143,0.4114285714285713,271.25714285714287,2.1,0.0,1.8,110.0,28.0,0.4,0.26,0.0,0.0,0.0,72.22222222222223,-1.367288866161167
2018-12-13 09:00,599.2285714285714,354.84285714285716,10.845714285714294,-1.7814285714285714,642.2,38.559999999999995,24840.85142857143,-0.2,0.0,1.3,50.0,50.0,1.0,0.58,0.0,0.0,0.0,161.11111111111111,-0.37601628704592993
2018-12-13 10:00,790.3714285714286,502.77142857142854,19.40857142857143,3.201428571428572,682.8428571428572,87.65285714285713,59860.88285714287,1.4,0.0,1.3,20.0,44.0,1.0,1.18,0.0,0.0,0.0,327.77777777777777,1.0368844092867306
2018-12-13 11:00,898.0,589.9714285714285,26.320000000000004,7.8271428571428565,681.948275862069,100.87413793103448,68691.76034482758,4.0,0.0,1.7,90.0,47.0,1.0,1.66,0.0,0.0,0.0,461.1111111111111,1.393170581588636
2018-12-13 12:00,916.6,608.4285714285714,27.872857142857136,9.225714285714284,673.6,105.17142857142859,70852.82,5.7,0.0,2.3,90.0,43.0,1.0,1.93,0.0,0.0,0.0,536.1111111111111,1.4803596150376017
2018-12-13 13:00,507.8169014084507,377.67605633802816,18.7774647887324,8.791549295774653,688.2253521126761,59.02112676056337,40487.24929577465,5.8,0.0,2.0,110.0,40.0,1.0,1.94,0.0,1.0,0.0,538.8888888888889,0.25524546629542283
