,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar,z_score
2020-04-08 09:00,154.61428571428573,152.6,8.548571428571424,8.002857142857147,632.1714285714286,6.939999999999999,4441.109999999999,9.5,0.0,4.6,320.0,72.0,1.0,1.58,0.0,8.0,10.2,438.8888888888889,-0.9395669970228299
2020-04-08 10:00,561.0434782608696,393.5507246376812,18.626086956521743,10.144927536231883,626.536231884058,25.794202898550726,16054.202898550724,9.0,0.0,4.2,290.0,67.0,0.6,1.8,0.0,8.0,10.7,500.0,0.6146160187865931
2020-04-08 11:00,812.3285714285714,879.8714285714286,25.01857142857142,11.657142857142851,620.3571428571429,36.870000000000005,22870.128571428573,8.4,0.0,4.6,320.0,54.0,0.1,0.86,0.0,8.0,10.9,238.88888888888889,1.526792990963244
2020-04-08 12:00,474.8970588235294,515.2647058823529,19.039705882352933,11.083823529411763,622.536231884058,22.205797101449274,13721.611594202897,8.7,0.0,3.7,360.0,53.0,0.0,1.08,0.0,7.0,10.9,300.0,0.30244476348779475
2020-04-08 13:00,842.6571428571428,937.4142857142857,24.085714285714282,12.05571428571429,622.5714285714286,38.44142857142857,23922.360000000004,8.9,0.0,4.0,360.0,44.0,0.0,0.85,0.0,8.0,11.1,236.11111111111111,1.6676133761330458
2020-04-08 14:00,742.6285714285714,825.8571428571429,24.83714285714286,12.808571428571431,618.8714285714286,33.915714285714294,20986.721428571433,10.2,0.0,4.2,320.0,41.0,0.6,2.21,0.0,5.0,11.2,613.8888888888889,1.2747361600351095
2020-04-08 15:00,564.7536231884058,627.768115942029,22.310144927536246,12.595652173913043,621.5072463768116,26.508695652173905,16475.572463768116,10.6,0.0,3.4,340.0,36.0,1.0,2.78,0.0,0.0,12.0,772.2222222222222,0.6710080090479987
2020-04-08 16:00,383.0285714285714,422.3,19.638571428571424,12.538571428571428,622.0857142857143,17.317142857142848,10775.621428571429,10.7,0.0,2.8,70.0,37.0,1.0,2.2,0.0,0.0,12.6,611.1111111111111,-0.09181780895209438
2020-04-08 17:00,169.75714285714287,180.35714285714286,13.887142857142855,11.318571428571435,610.7857142857143,7.064285714285713,4336.284285714288,10.8,0.0,2.0,20.0,36.0,1.0,1.51,0.0,0.0,12.7,419.44444444444446,-0.9535958475785052
2020-04-09 09:00,604.463768115942,630.768115942029,21.208695652173915,13.944927536231887,628.7101449275362,27.257971014492757,17126.886956521743,10.0,0.0,1.8,230.0,36.0,1.0,1.53,0.0,0.0,7.9,425.0,0.7581735842682352
