,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar,z_score
2020-04-08 09:00,236.73015873015873,202.0,11.025396825396825,8.53650793650794,692.7301587301587,34.28888888888889,23971.46031746032,9.5,0.0,4.6,320.0,72.0,1.0,1.58,0.0,8.0,10.2,438.8888888888889,-0.6605641628838901
2020-04-08 10:00,580.3809523809524,471.7142857142857,19.82698412698413,12.531746031746032,697.7936507936508,79.98888888888887,55729.33968253968,9.0,0.0,4.2,290.0,67.0,0.6,1.8,0.0,8.0,10.7,500.0,0.4584901950626701
2020-04-08 11:00,1046.968253968254,816.936507936508,28.580952380952386,15.86190476190476,672.031746031746,140.1888888888889,94163.83015873017,8.4,0.0,4.6,320.0,54.0,0.1,0.86,0.0,8.0,10.9,238.88888888888889,1.8128087113717346
2020-04-08 12:00,640.234375,514.0,22.551562499999992,13.759374999999999,693.53125,85.10156249999999,58700.895312500004,8.7,0.0,3.7,360.0,53.0,0.0,1.08,0.0,7.0,10.9,300.0,0.5631990844491649
2020-04-08 13:00,1033.047619047619,815.5873015873016,28.31904761904761,15.92063492063492,679.6825396825396,134.73492063492063,91524.28571428571,8.9,0.0,4.0,360.0,44.0,0.0,0.85,0.0,8.0,11.1,236.11111111111111,1.7197989206488324
2020-04-08 14:00,911.8571428571429,735.7936507936508,27.787301587301585,15.022222222222222,680.3387096774194,122.33548387096772,83201.61451612905,10.2,0.0,4.2,320.0,41.0,0.6,2.21,0.0,5.0,11.2,613.8888888888889,1.4265324412662517
2020-04-08 15:00,723.96875,599.71875,24.171875000000007,13.607812500000003,696.671875,95.8953125,66787.26249999998,10.6,0.0,3.4,340.0,36.0,1.0,2.78,0.0,0.0,12.0,772.2222222222222,0.848138904803738
2020-04-08 16:00,472.22222222222223,408.968253968254,19.568253968253966,12.288888888888886,711.9206349206349,62.43015873015874,44420.59523809523,10.7,0.0,2.8,70.0,37.0,1.0,2.2,0.0,0.0,12.6,611.1111111111111,0.06000326814981923
2020-04-08 17:00,203.66666666666666,193.9206349206349,13.822222222222226,10.84603174603175,696.0952380952381,23.96349206349205,16898.19047619048,10.8,0.0,2.0,20.0,36.0,1.0,1.51,0.0,0.0,12.7,419.44444444444446,-0.909805409436034
2020-04-09 09:00,690.6825396825396,543.3968253968254,24.70476190476191,17.27301587301587,700.4920634920635,95.19365079365083,66634.08412698413,10.0,0.0,1.8,230.0,36.0,1.0,1.53,0.0,0.0,7.9,425.0,0.8427413490067651
