,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
0,-14.4,-6.6,,2.5,33.0,9.6,10.36,0.6,3609.817110235211,2932.600295712363,2872.222222222222,3355.0148087615653,3137.911685345494
1,-10.5,-3.0,,2.9,29.0,9.6,10.57,0.0,2607.347354138399,2367.4337403889645,2608.3333333333335,2513.191111380134,2384.5151249251
2,-11.3,-0.9,,1.2,35.9,9.6,10.48,0.8,0.0,0.0,0.0,0.0,0.0
3,-10.5,-0.5,,1.2,39.6,9.6,9.16,1.6,2551.154169964571,1682.160624434645,1111.111111111111,2105.8352703497753,2090.1728418193206
4,-8.2,-0.6,,2.1,49.5,9.6,7.84,3.4,0.0,0.0,0.0,0.0,0.0
5,-8.8,0.2,,1.7,42.8,9.6,10.48,0.0,2395.998567767225,2100.77785315845,2286.111111111111,2083.964237555676,2267.4777403863536
6,-8.4,3.2,,1.4,38.8,9.7,10.28,0.1,3076.1735801511927,2570.5309814563548,2613.888888888889,2651.490861174903,2854.8668271409956
7,-6.2,4.1,,1.2,55.5,9.7,6.2,5.5,1289.6665159053218,1097.735255899435,1150.0,1129.4906811071564,1595.6965576228918
8,-5.5,1.1,,2.2,40.3,9.7,10.05,0.5,422.1923076923077,203.5769230769231,66.66666666666667,274.17146803515016,361.5893747032325
9,-6.3,2.7,,1.2,35.0,9.7,9.64,3.1,0.0,0.0,0.0,0.0,0.0
10,-6.2,3.1,,1.4,46.4,9.7,8.71,4.0,3252.5542740841247,2634.86815920398,2416.666666666667,2826.665328650972,3006.0248738214277
11,-7.2,0.5,,2.6,31.0,9.7,10.46,0.0,2988.7585098224295,2478.1317621379267,2530.5555555555557,2635.8564509922476,2840.747059918793
12,-9.4,1.3,,1.3,28.8,9.7,8.47,4.9,2562.2867268769783,2133.706922301372,2050.0000000000005,2213.457920757831,2660.462102452294
13,-4.5,3.0,,1.3,48.8,9.8,5.92,8.1,1270.080819324027,1103.6831886407713,1005.5555555555554,1142.231915486838,1220.9447156443384
14,-0.4,7.2,,1.0,58.8,9.8,8.53,6.1,3115.018995929444,2589.0897783808236,2363.8888888888887,2707.5694370728015,2916.1737373878836
15,-0.6,8.0,,1.3,47.6,9.8,7.71,3.9,2567.010176390773,2357.5597014925374,2136.1111111111113,2262.879776913693,2484.7830687131996
16,-3.0,7.6,,1.4,54.3,9.8,9.97,0.0,3453.8271736555316,2851.488854429153,2758.3333333333335,2914.5053034058346,3237.495988283267
17,-2.4,5.3,,0.9,68.6,9.8,6.03,4.5,1851.972425750038,1783.1884366048546,1669.4444444444446,1686.6355400133232,1968.9640428021585
18,-7.2,2.6,0.0,2.7,58.8,9.9,6.93,3.8,1026.240543962299,1050.2565762141683,1275.0,923.7561351492523,1106.3810716219614
19,-10.1,-1.1,0.0,2.3,45.9,9.9,10.36,4.1,2486.9894682431996,2314.8179233701617,2522.2222222222226,2299.531329928616,2767.03315230823
20,-3.2,4.0,0.0,1.7,45.8,9.9,11.07,1.8,0.0,0.0,0.0,0.0,0.0
21,-4.6,6.7,,1.3,44.0,9.9,10.4,3.0,0.0,0.0,0.0,0.0,0.0
22,0.0,8.5,,1.2,59.8,9.9,6.27,7.8,0.0,0.0,0.0,0.0,0.0
23,-5.5,4.0,,3.2,38.5,10.0,11.56,1.1,0.0,0.0,0.0,0.0,0.0
24,-6.7,4.2,0.0,1.6,57.8,10.0,3.07,4.1,0.0,0.0,0.0,0.0,0.0
25,-3.3,7.1,,1.7,62.0,10.0,9.85,1.1,0.0,0.0,0.0,0.0,0.0
26,-0.8,7.0,,2.3,48.9,10.0,10.85,0.9,0.0,0.0,0.0,0.0,0.0
27,-4.6,6.5,,1.7,34.9,10.1,11.71,2.1,2150.3799185888734,2149.9712799638173,2494.444444444445,1796.6216027042558,2043.0245856106528
28,-3.8,2.6,,2.6,27.6,10.1,11.56,1.3,2558.7376972779475,2335.8041105554653,2538.888888888889,2119.6952218829415,2404.413709252746
29,-6.5,2.4,,2.4,30.9,10.1,12.29,0.0,1984.1578471279965,1873.232700135685,2166.6666666666665,1619.6417150630898,1895.3359612005295
30,-6.6,5.1,,1.7,52.5,10.2,10.31,4.3,1913.5658073270013,1578.0612844866578,1627.7777777777778,1482.7542769739612,1760.4110530336993
31,-2.4,4.5,0.0,3.1,40.4,10.2,11.76,1.3,3946.4347909084627,3294.9647609139906,3238.8888888888887,3217.2483706971416,3762.368481096537
32,-5.6,7.0,,1.5,35.5,10.2,11.87,2.1,3330.983039348711,2845.299412030755,2852.777777777778,2616.1681494705253,3274.345767619162
33,-2.8,6.6,,1.5,54.6,10.3,9.13,6.9,2653.501057648819,2226.308367254636,2194.444444444445,2097.1816267685226,2689.202115006889
34,-6.2,2.3,,2.9,29.0,10.3,5.97,7.0,809.6948717948717,929.156177156177,1113.888888888889,710.8661751848302,772.6382439517288
35,-7.4,2.8,0.3,1.7,47.6,10.3,9.71,3.0,2427.65034965035,2027.5090909090904,1952.7777777777776,1979.7629155227635,2142.9147453718383
36,-3.2,6.1,0.0,1.0,60.0,10.3,4.48,7.5,847.8542457542458,924.2096015096015,863.8888888888888,742.4762234456944,802.6230240555648
37,2.0,4.9,16.0,1.7,92.9,10.4,0.54,9.3,73.08321678321678,73.74102564102564,75.0,8.627899391564926,86.27906885170692
38,-3.3,3.0,,2.1,40.4,10.4,12.74,2.4,0.0,0.0,0.0,0.0,0.0
39,-3.6,10.1,,1.0,37.1,10.5,11.81,3.9,1443.7638694638695,1526.3687645687646,1969.4444444444441,1378.7076773141682,1420.0602469164487
40,0.1,9.3,,1.3,54.9,10.5,6.87,8.1,2389.200466200466,2206.306293706294,1894.4444444444446,2096.562108972192,2318.863454294959
41,-8.2,6.3,0.5,3.5,45.5,10.5,13.09,4.3,2117.207248307248,2025.079464979465,2291.666666666667,1876.9291478787684,1906.8799955555066
42,-10.2,-1.3,,2.3,31.5,10.6,12.08,6.1,3047.8263240635333,2713.950479752805,2883.333333333333,2656.71100484916,3040.1640529385277
43,-8.6,-1.9,,2.7,30.0,10.6,13.27,4.4,3564.2878126848273,3114.060748704032,3291.6666666666665,3116.6747839295826,3522.7985136059906
44,-9.1,-1.9,,1.7,31.3,10.6,7.83,7.5,2466.762777023971,2227.8661239258254,2138.8888888888887,2244.6960599533854,2607.178086861385
45,-7.5,2.0,,2.3,34.9,10.7,14.53,0.4,2258.7544398907103,2208.860011487829,2586.1111111111113,2000.6581201777456,2204.753784073011
46,-4.1,3.7,0.0,1.9,35.5,10.7,12.34,5.6,3581.557444638694,3257.9772144522144,3294.444444444445,3086.956492970867,3321.764488335984
47,-5.7,2.5,,2.4,26.6,10.7,14.15,1.8,3648.0783400057658,3346.772903112642,3413.888888888889,3229.6667501760453,3436.7056093405026
48,-5.9,6.3,,1.4,24.3,10.8,14.39,5.3,3783.958480325645,3352.699944334273,3405.5555555555557,3162.655920961177,3674.972181548985
49,-2.9,0.9,2.2,1.9,72.8,10.8,3.57,9.1,1007.3466757123474,1032.0067842605156,822.2222222222221,674.2696755008666,1060.83408960559
50,-5.1,1.5,0.2,2.6,59.0,10.9,13.19,2.4,2950.1305361305363,2733.3624708624707,2611.1111111111113,2644.4253970555196,2476.194998114252
