,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
0,5.5,15.1,,2.3,30.9,12.9,25.92,0.0,6297.666666666667,5490.0,6227.777777777779,5636.274333333334,6012.372909235169
1,3.5,15.3,,1.7,42.9,12.9,23.38,3.1,6357.7619047619055,5524.428571428572,6097.222222222222,5716.3206666666665,6085.409492645191
2,5.6,17.5,,1.5,47.8,13.0,20.73,5.1,3719.833333333334,3270.3333333333335,3880.5555555555557,3357.6346666666655,3732.8309727595215
3,5.9,14.7,,1.3,54.1,13.0,15.31,6.8,4020.0,3666.6666666666665,3927.777777777778,3684.0346666666674,3930.282288536685
4,2.7,15.7,0.6,1.9,60.4,13.0,14.69,3.4,1446.5,1245.5000000000002,1313.8888888888887,1359.8353333333332,1508.3084404220733
5,4.5,18.7,,2.6,38.5,13.1,25.9,2.3,6225.5,5474.666666666667,6369.444444444444,5578.501166666667,6204.781364576847
6,6.0,22.5,,1.3,34.3,13.1,26.28,0.6,6877.666666666666,6044.208333333333,6730.555555555556,6027.209416666666,6740.116180906413
7,6.7,20.8,,1.1,32.1,13.1,19.79,5.4,3542.6666666666665,3172.166666666667,3477.777777777778,3186.9855,3513.8760712845274
8,7.5,23.5,,1.9,38.4,13.2,24.2,3.5,6276.166666666666,5527.595238095238,6241.666666666666,5458.892952380952,6245.534938925567
9,10.0,19.9,3.6,2.1,63.6,13.2,12.96,7.6,1611.6666666666665,1493.3333333333333,1902.7777777777778,1466.023333333333,1734.8217286295924
10,10.3,20.3,,1.8,60.0,13.2,19.98,5.9,3382.5000000000005,3072.238095238095,3555.555555555555,3008.421285714285,3170.423432436445
11,9.8,15.1,11.5,2.0,75.5,13.3,5.15,9.6,987.5,937.4999999999999,1177.7777777777776,953.1568333333335,1337.4330931465227
12,8.3,16.4,0.0,2.0,73.3,13.3,10.03,7.3,1163.6904761904764,1053.404761904762,1213.888888888889,1021.1500714285714,1289.1337014100736
13,5.4,13.6,,3.0,46.1,13.4,25.3,3.9,5016.833333333334,4524.666666666666,5019.444444444445,4570.503333333334,4995.616340199275
14,4.5,10.7,0.0,3.0,42.0,13.4,18.04,3.4,2443.4523809523807,2226.738095238095,2491.666666666667,2324.5593333333336,2335.199927607712
15,3.9,14.9,,2.6,39.6,13.4,23.47,1.3,4265.666666666666,3831.166666666667,4705.555555555555,3814.0553333333332,4531.369030410317
16,4.5,17.5,,2.6,39.0,13.5,27.09,0.0,6890.5952380952385,6206.857142857144,6838.888888888888,6217.576119047619,6847.23475035129
