,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
0,8.4,21.0,,2.5,44.6,12.8,24.58,1.3,4812.400789329647,4000.4655734162993,5463.888888888889,4292.212706667032,4683.703860469238
1,4.5,19.2,,2.2,51.3,12.9,22.92,1.4,6317.2499434245265,5403.185168685364,6072.222222222222,5182.404408078774,6008.509446610267
2,8.3,14.0,0.0,2.2,56.0,12.9,8.99,9.3,1973.1639018995577,1860.875548887588,1736.111111111111,1759.9278346472545,1467.6030272573887
3,6.2,15.0,1.8,1.7,73.5,13.0,11.28,8.4,2757.0486271121354,2706.307024449565,2972.2222222222226,2235.3860479500627,3182.464900899839
4,7.3,14.1,7.2,3.1,80.3,13.0,11.17,9.4,1599.8605925245797,1463.1646701908467,2036.1111111111113,1535.779923147485,1457.7939257518456
5,5.3,16.4,0.1,3.3,50.1,13.0,13.4,5.5,1746.3612891946395,1618.9720319411917,1980.5555555555554,1793.7669845699354,1716.28686793413
6,2.1,23.9,,2.3,51.6,13.1,25.63,1.4,5892.426025574399,5042.8682125760115,6319.444444444444,4983.776966932991,5879.122883325603
7,7.1,20.6,,2.4,51.4,13.1,17.86,6.9,5044.749506056593,4590.866255663044,4644.444444444443,4138.417330676513,4629.151110192454
8,10.8,20.2,,3.3,60.3,13.1,22.73,3.9,5931.620790066926,5196.746238209004,5936.11111111111,5065.207851185223,5828.380384912512
9,10.9,13.1,24.2,2.0,90.5,13.2,2.78,8.5,610.1205203378711,596.2403675563656,661.1111111111112,599.6157779740988,737.8676094458185
10,9.8,21.9,,2.3,72.9,13.2,22.26,5.6,2484.275150751536,2242.9802223362644,2447.2222222222226,2062.390203578127,2812.9684500805306
11,9.5,15.2,25.7,2.6,83.6,13.2,5.13,9.9,1425.0823962383026,1410.592621845074,1244.4444444444443,1272.502197381057,1444.189233545244
12,10.3,20.6,0.0,2.8,68.4,13.3,21.18,5.9,4351.461831567971,3900.3777822970847,4830.555555555555,3831.9044490599003,4616.377971066218
13,8.0,19.4,,4.0,33.6,13.3,26.72,4.8,6660.20077344424,5900.733928397484,6972.222222222222,5634.098281092117,6897.978747895257
14,4.3,16.5,,3.5,34.4,13.3,26.52,1.5,3672.2879894798366,3249.6635495811424,3486.1111111111113,3058.6760014665183,3584.8222542843378
15,4.0,17.0,,2.9,40.4,13.4,26.22,1.4,6559.3065549955745,5845.836006342996,6916.666666666667,5688.707738071576,6836.33970833764
16,4.1,17.3,,3.0,43.1,13.4,25.83,0.9,4575.281991222792,4136.807639332105,4177.777777777777,3650.484644624558,4659.9013066362195
17,6.0,21.2,,4.8,64.0,13.4,25.04,0.0,5571.0739232285005,4942.975529691924,6069.444444444444,4838.2722265089205,5556.1430622785
18,8.3,21.6,,2.5,57.8,13.5,26.05,1.4,5778.516264286597,5153.6102005088505,6161.11111111111,5014.725460939329,5762.884109813183
19,5.4,20.9,,2.2,60.1,13.5,21.66,3.0,0.0,0.0,0.0,0.0,0.0
20,6.2,22.2,,2.3,56.5,13.5,26.06,0.6,0.0,0.0,0.0,0.0,0.0
21,8.0,25.4,,2.6,51.6,13.6,25.62,0.3,0.0,0.0,0.0,0.0,0.0
22,7.8,23.6,,3.6,67.5,13.6,26.63,1.6,0.0,0.0,0.0,0.0,0.0
23,17.0,26.2,,4.3,75.1,13.6,23.11,3.5,0.0,0.0,0.0,0.0,0.0
24,15.5,24.2,0.2,2.9,81.9,13.7,15.94,8.8,0.0,0.0,0.0,0.0,0.0
25,14.4,18.6,11.7,1.3,95.3,13.7,3.59,9.1,0.0,0.0,0.0,0.0,0.0
26,16.2,29.6,,2.4,77.3,13.7,23.94,5.5,6031.117134682582,5529.527043184341,6272.222222222222,4897.865136105937,5940.9324206759
27,14.2,21.6,,2.6,75.0,13.7,12.11,8.0,2853.359496098107,2697.1464893584866,2627.777777777778,2293.7503043338843,2870.0314491885174
28,13.1,27.0,,2.9,62.5,13.8,26.56,2.5,6540.286615245009,5988.964292196007,6447.222222222222,5568.5226710056195,6296.388428184123
29,12.8,22.9,,3.4,44.5,13.8,27.08,4.4,6557.459101858186,6012.977639801576,6308.333333333333,5501.378943305501,6262.241833918854
30,11.5,23.9,,2.8,61.0,13.8,23.83,6.8,334.62913441238567,332.2646023926811,725.0000000000002,449.7297529024433,265.2304121458232
31,15.5,19.4,36.0,1.9,95.5,13.9,2.94,9.6,669.9255071317571,658.5347218753468,761.1111111111111,660.936926813067,694.9930012990926
32,15.0,25.5,,2.7,78.0,13.9,19.64,6.0,5078.765240468207,4731.209947721438,5177.777777777778,4443.996528777082,4596.459382689336
33,13.3,29.8,,2.0,56.5,13.9,26.96,1.8,6634.245358991543,6162.9595952725695,7002.777777777778,5444.460290026625,6580.862980560197
34,16.0,24.9,,3.5,53.4,14.0,26.31,0.9,6435.536690831622,5986.234483371333,6797.222222222222,5230.138524190204,6420.041851248581
35,11.3,26.4,,2.3,48.9,14.0,27.83,0.0,6404.658486494013,5942.513297131718,6033.333333333332,5106.795877605797,6280.1403958804685
36,11.4,26.5,,2.1,50.3,14.0,23.58,6.0,4997.054592289542,4719.134992531983,5152.777777777778,4073.432015115497,4764.976766152954
37,15.1,17.5,7.1,1.6,86.0,14.0,3.2,9.5,578.7796923507708,577.4434104425765,797.2222222222221,595.5808515761719,792.7064025388848
38,15.9,28.0,0.2,1.4,84.3,14.1,20.06,9.3,1062.4041136905846,1011.917668701076,1300.0,1673.236515206745,1151.4497784421076
39,16.6,24.4,,1.9,81.1,14.1,22.07,7.4,340.32372881355934,336.8973163841808,591.6666666666667,566.2057317661757,423.8688680346802
40,15.4,22.1,10.0,1.7,90.4,14.1,6.55,8.4,524.3331363976525,516.0606650517941,1405.5555555555554,986.9346181357772,960.712635430876
41,12.3,19.5,1.6,2.9,70.8,14.1,13.78,5.3,1350.9180053364873,1302.3356805820222,2188.8888888888887,2313.4819516149537,1787.9077152734517
42,10.3,23.0,,2.1,69.4,14.2,21.36,4.6,319.70500572293605,312.89061346182245,936.1111111111112,494.7825881456464,455.2812120687755
43,13.5,20.3,,1.7,72.9,14.2,13.16,9.1,1716.2332165240794,1675.6367037998903,1469.4444444444446,1497.4000461219139,1332.3473446237851
44,12.3,23.0,,2.7,71.4,14.2,20.42,5.8,2570.092060534056,2491.6972176179206,3516.666666666667,2477.165858377072,3026.431514943472
45,13.2,25.4,,2.5,71.3,14.2,27.33,3.0,5564.73756695282,5249.990406475443,6358.333333333334,4691.73028351205,6272.48300231455
46,12.9,26.4,,2.9,77.9,14.2,20.43,7.5,5229.619756287269,5004.1505790337915,4991.666666666667,4175.832307924985,5260.622547524015
47,16.3,27.0,,1.4,74.9,14.3,16.71,9.1,3620.630782828202,3516.656726393808,3483.333333333333,2897.2469541046953,3650.6840737320426
48,15.6,25.4,,1.5,74.1,14.3,15.3,8.0,3037.875746183641,2991.7638072453865,3705.5555555555557,2897.7755675392227,2865.4248507817683
49,14.6,27.8,,1.7,60.9,14.3,27.41,4.8,5734.572972819248,5486.627715712441,5655.555555555556,4720.39939272978,5772.527294164884
50,12.6,28.2,,1.9,59.1,14.3,26.25,3.3,6219.810867403486,5958.100577545692,6755.555555555556,5181.772355921797,6435.6320576921735
