,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
0,3.6,14.8,,1.6,31.8,12.9,25.32,0.0,6890.251509054326,6289.05352112676,6505.555555555556,1340.4419847657368,6679.62880332113
1,2.4,15.4,,1.2,41.0,12.9,24.28,1.6,6598.524748490946,6033.226559356137,6263.88888888889,1258.3084433724505,6423.029924601311
2,5.2,15.6,0.0,1.1,41.9,13.0,19.12,6.5,3938.746076458752,3820.2517102615693,4025.0,756.3067456915408,4311.258088459119
3,5.5,15.8,0.0,1.0,49.0,13.0,17.84,4.6,4543.80120724346,4372.749698189135,4605.555555555556,890.2169600209955,4799.1405945260485
4,3.0,14.4,0.0,1.9,56.1,13.1,13.88,4.0,2861.338541393287,2592.5470533344997,2205.5555555555557,591.6757372808279,2075.7918834717216
5,2.8,17.7,,1.2,34.3,13.1,24.38,3.9,5842.112676056338,5408.0732394366205,5813.888888888889,1141.9445257257833,6148.488043522911
6,3.0,21.3,,1.0,27.9,13.1,25.26,1.4,6957.3949698189135,6400.5046277666,6452.777777777778,1297.6804571945136,6646.549651308702
7,5.0,21.9,,0.7,31.0,13.2,22.24,5.6,5184.915492957746,4960.136820925553,5713.888888888888,981.3666626883453,5888.582770054736
8,7.9,23.2,,1.6,33.8,13.2,22.98,3.0,6171.815090543259,5752.718309859154,5925.0,1147.259576027594,6100.305981419785
9,8.2,16.4,6.4,2.1,66.1,13.2,4.66,7.1,1130.6452716297786,1079.9949698189134,811.1111111111111,238.63321004703167,714.8366654212011
10,7.9,17.9,0.0,0.8,62.1,13.3,17.5,4.0,2980.7048289738427,2731.32555331992,3130.5555555555557,602.2784275216516,2938.6154824404557
11,8.6,15.8,9.1,0.8,69.3,13.3,6.52,9.3,1197.6688128772637,1258.5879275653926,1427.7777777777778,256.8667434420186,1522.0399008234494
12,8.1,13.9,0.2,1.6,70.8,13.4,8.24,5.6,1264.205633802817,1292.1327967806842,1511.111111111111,270.211788661576,1676.4183083284674
13,4.4,12.3,0.0,3.0,42.6,13.4,23.79,5.4,4936.082293762575,4502.618712273642,4766.666666666667,975.8860002874392,4847.928592352431
14,3.7,9.7,,2.5,40.4,13.4,18.37,6.0,3003.154124748491,2982.8991951710263,2450.0000000000005,616.793241394537,2744.4962886786225
15,2.4,14.3,,2.6,40.1,13.5,24.77,3.9,5199.587434753449,4938.021858688362,5405.555555555556,1029.288338603047,5612.5351735434215
16,2.8,16.1,,2.1,41.4,13.5,24.14,0.8,5643.621327967807,5351.60985915493,5394.444444444445,1103.344596002516,5564.01538818353
17,7.2,20.5,,2.4,39.1,13.5,19.68,2.0,4729.527766599598,4557.772434607646,4533.333333333333,914.8514357574016,4655.837747284301
