,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
0,-2.4,2.9,,1.2,44.8,9.6,3.59,7.9,1.9387755102040816,2.326530612244898,69.44444444444443,7.06039499472335,7.975174916758612
1,-5.0,2.4,,2.2,39.0,9.6,10.42,0.0,5279.1243139999415,3365.310159507771,3330.555555555555,3874.1274084546967,4866.969355563589
2,-5.9,2.1,1.3,2.0,57.4,9.6,5.83,5.0,4053.9258040999616,2716.770259236579,2994.4444444444443,3181.8922228907386,4215.030676718788
3,-7.8,0.6,,1.7,44.3,9.6,10.4,0.0,3155.307453416149,1989.0333333333335,2494.444444444445,2338.9487321418023,3009.7771045959585
4,-7.8,3.2,,1.0,46.8,9.6,8.83,3.6,3642.9004140786747,2422.796480331264,2861.111111111111,2589.497171403476,3807.0847651323393
5,-2.6,2.1,0.3,0.9,63.8,9.6,3.19,9.3,622.2677018633541,575.7070393374742,683.3333333333334,485.11664261664254,767.7577595281283
6,-1.5,5.9,0.3,1.8,60.1,9.6,8.92,1.3,2809.309937888199,1911.0356107660457,2213.888888888889,2269.3378314275915,3087.695980037671
7,-2.8,7.4,,1.4,56.3,9.6,7.67,3.0,1848.496887205586,1225.381784826607,1258.3333333333335,1192.8867020129683,1988.5079866898031
8,1.3,9.5,,1.4,53.4,9.6,9.29,2.9,4060.490296596287,2709.127259550483,2711.1111111111113,3055.9881136504728,4023.3090009603384
9,-1.1,10.4,,0.9,45.5,9.6,8.78,3.1,962.3310924369748,987.4567226890757,1075.0,897.1939698573033,1459.865528520963
10,0.4,9.8,,1.1,40.1,9.6,5.82,8.5,2301.618633540373,1587.7915113871634,1263.888888888889,1682.2734114002578,1941.323836609984
11,2.9,12.4,,1.5,48.9,9.6,8.93,4.3,4083.2207360102652,2695.7020237366223,2933.3333333333335,3065.147709258869,4345.143770402968
12,-3.4,7.5,,2.9,43.0,9.6,9.58,2.6,2184.6368150076933,1396.2052550597705,1850.0000000000002,1675.5678771963323,2006.9812860208121
13,-5.9,3.1,,1.6,35.9,9.6,10.5,0.3,2059.106356982474,1318.2719942845479,1966.6666666666667,1627.6541044435808,2024.830664927467
14,-4.0,5.2,,1.2,53.4,9.6,5.67,7.4,3239.058592132505,2356.712836438923,2680.555555555555,2196.377113606458,4149.371333328893
15,-7.1,3.0,,2.8,40.8,9.6,9.97,4.4,3757.045134575569,2609.371014492753,2611.1111111111113,2914.9895328234984,3791.153589540211
16,-12.5,-6.5,,3.5,28.3,9.6,10.44,0.5,4098.92035152089,2619.2737424547286,2988.888888888889,3168.330230797681,3855.7441488348413
17,-14.4,-6.6,,2.5,33.0,9.6,10.36,0.6,3028.966459627329,1878.016563146998,2319.4444444444443,2298.95823383357,2770.282469529699
