,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
0,3.3,20.0,,1.0,37.3,12.8,24.65,2.0,6196.642052313882,5894.149295774648,6308.333333333334,6010.4187833668675,6035.140857922434
1,0.5,18.2,,0.8,42.0,12.9,23.62,1.8,5759.614285714286,5482.573038229377,5986.11111111111,5595.557350100603,5696.09587724669
2,7.4,11.7,0.0,0.5,65.8,12.9,4.97,8.4,1742.9603621730382,1664.9883299798792,3130.5555555555557,1682.0111475519784,2806.993142650577
3,6.4,13.3,4.2,0.5,79.3,12.9,8.97,9.0,856.8000000000001,819.1142857142856,1497.2222222222222,807.729476190476,1363.2854519960106
4,6.5,13.2,4.4,1.2,73.0,13.0,10.67,6.6,1226.2000000000003,1165.5285714285715,1927.777777777778,1156.1821428571427,1428.2219512851843
5,3.5,16.7,,1.3,49.6,13.0,22.14,1.9,4379.97505030181,4174.893561368209,5458.333333333333,4190.795348759221,5168.997780973018
6,-0.3,22.8,,,54.8,13.1,26.2,2.4,6394.478470824949,6094.068410462777,6475.0,5960.668835010061,6177.906956239351
7,3.4,20.5,,0.5,54.9,13.1,17.99,7.5,5458.527162977867,5215.237424547284,5247.222222222222,5049.129989268948,5035.890782897296
8,2.2,20.0,,0.8,68.1,13.1,24.69,3.0,5892.269416498993,5620.680684104627,5852.777777777777,5499.349614352784,5615.11344440352
9,8.0,12.0,28.9,0.3,90.8,13.2,2.47,9.1,947.3142857142857,899.7857142857143,1605.5555555555554,928.8710476190475,1392.5081851293355
10,7.4,21.7,,0.7,70.3,13.2,26.32,2.3,4754.904528621002,4533.335418306943,4647.222222222222,4640.016978596216,4774.990441249526
11,8.8,14.0,30.0,0.7,90.3,13.2,4.14,8.8,852.4804828973845,810.8591549295775,1263.8888888888887,820.277758551308,1350.0000577563367
12,7.0,20.0,,1.7,68.5,13.3,23.32,4.1,1993.680684104628,1903.9432595573444,1525.0,1958.6651951710267,1657.3170713546776
13,6.3,18.3,,2.1,36.9,13.3,26.8,5.6,6391.471428571429,6088.357142857143,5886.11111111111,6167.542428571429,5673.104977922428
14,1.2,14.6,,2.1,40.6,13.3,26.92,3.1,5002.271428571428,4766.128571428571,4386.11111111111,5022.254952380953,4472.0622816827945
15,-0.6,15.8,,1.6,51.0,13.4,27.73,1.5,6427.671428571428,6133.6,6099.999999999999,6087.462238095239,5958.851123391721
16,-0.5,17.8,,2.0,42.3,13.4,28.19,0.4,6564.996579476862,6257.545271629779,6497.222222222223,6235.22076056338,6235.777263232383
17,4.0,21.3,,1.8,58.8,13.4,25.56,0.0,0.0,0.0,0.0,0.0,0.0
18,4.8,20.7,,1.2,52.4,13.5,27.69,3.0,0.0,0.0,0.0,0.0,0.0
19,4.0,20.6,,0.8,50.8,13.5,24.33,2.3,0.0,0.0,0.0,0.0,0.0
20,2.2,21.9,,0.7,54.3,13.5,27.66,0.1,0.0,0.0,0.0,0.0,0.0
21,3.6,24.2,,0.9,51.4,13.6,27.62,0.1,0.0,0.0,0.0,0.0,0.0
22,4.5,23.5,,1.2,68.0,13.6,27.94,0.9,0.0,0.0,0.0,0.0,0.0
23,16.8,25.5,,1.4,74.1,13.6,25.73,2.9,0.0,0.0,0.0,0.0,0.0
24,13.8,26.3,1.3,0.8,81.5,13.6,15.22,8.1,0.0,0.0,0.0,0.0,0.0
25,15.1,18.2,29.5,0.4,94.9,13.7,4.02,9.4,0.0,0.0,0.0,0.0,0.0
26,15.1,28.2,,0.6,81.0,13.7,24.07,4.1,0.0,0.0,0.0,0.0,0.0
27,15.3,20.5,,0.6,81.1,13.7,7.84,9.1,0.0,0.0,0.0,0.0,0.0
28,12.0,28.8,,1.0,63.5,13.8,27.78,1.4,0.0,0.0,0.0,0.0,0.0
29,8.5,24.5,,1.2,53.5,13.8,28.19,4.1,0.0,0.0,0.0,0.0,0.0
30,5.5,22.6,0.0,0.7,66.6,13.8,22.0,6.8,268.6568764568765,256.41678321678324,352.7777777777778,210.65387257187254,222.6554861997869
31,15.7,19.2,45.9,1.0,92.6,13.9,3.29,9.1,624.0230863441519,588.8578689528476,591.6666666666667,628.0743556216527,592.5932630359778
32,12.1,25.4,,1.1,72.1,13.9,23.37,5.1,1585.4175050301812,1515.9167002012073,738.8888888888889,1483.6616760563381,851.5988669005503
33,9.0,28.9,,0.6,58.8,13.9,28.76,2.0,6085.442857142856,5812.714285714286,5113.88888888889,5537.680333333335,5528.545913981141
34,13.7,24.8,,2.3,44.3,14.0,27.36,0.5,3534.9000000000005,3377.2714285714283,3274.9999999999995,3177.1770952380953,3111.5921103417177
35,7.3,25.6,,0.9,51.8,14.0,29.29,0.3,6911.445070422534,6602.719919517102,6980.555555555556,6147.070130784708,6963.349025027094
36,8.6,25.9,,0.6,55.3,14.0,21.61,6.8,4854.98490945674,4648.80120724346,5433.333333333332,4248.9414379611,5566.106762835854
37,14.1,16.8,17.8,0.3,91.9,14.0,2.45,9.4,339.8252587991719,317.7114906832297,647.2222222222221,374.1685548654244,649.4707819677666
38,15.1,26.2,0.8,0.4,84.8,14.1,21.23,7.3,2125.836317907444,2035.6926559356139,1866.6666666666665,3793.9508873239442,1774.879149654073
39,15.8,24.0,,0.9,82.6,14.1,21.27,6.3,2074.7527862208713,1986.4473657548126,1936.111111111111,3630.5315506371553,1955.3629377305579
40,15.3,21.1,13.6,0.6,89.0,14.1,4.86,8.0,36.52857142857143,34.05,44.444444444444436,64.04376190476188,30.16161026943473
41,9.9,18.7,0.0,1.7,75.5,14.1,17.06,4.0,1230.974346076459,1176.72615694165,1991.6666666666667,2282.826039570758,1797.085849845238
42,8.0,23.3,,0.9,72.3,14.1,24.66,4.6,1106.200698260073,1055.8623054029304,1791.6666666666665,2035.0564300595242,1962.6572093641848
43,12.8,21.2,,0.9,75.8,14.2,17.05,8.1,3461.3949698189135,3315.046076458752,3849.9999999999995,3006.348838363515,3653.6358279968754
