,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
0,5.2,14.2,,3.5,25.5,12.9,24.86,0.0,4692.231117141565,4853.875169606514,5902.7777777777765,5096.72153933413,4540.056493657435
1,4.3,14.7,,2.8,44.6,12.9,24.79,1.3,4890.688150158299,5302.329941203076,6369.444444444445,5398.160219078248,4874.208345375211
2,5.8,16.8,,2.4,52.6,13.0,21.07,4.8,2491.257575757576,3117.9776119402986,3025.0,3004.0913921112765,2314.560994872499
3,6.2,16.0,,2.5,63.8,13.0,19.4,4.8,3038.5429669832656,3398.890547263682,3969.444444444445,3443.4157587233176,3051.6165345052586
4,4.4,15.6,,3.8,58.6,13.1,19.25,3.1,1935.3516508367254,2397.683175033921,2594.4444444444443,2373.000180992944,1984.942117036573
5,4.3,20.4,,3.1,39.4,13.1,26.02,1.9,4191.690867341613,4021.3175590578576,5516.666666666666,4247.3637235437745,4225.738429519727
6,7.6,19.6,,2.4,46.8,13.1,25.93,1.3,4990.007688828585,5333.1614654002715,6669.444444444445,5284.841484438073,5101.604804831566
7,7.2,20.2,,2.2,39.8,13.2,21.49,5.4,4079.0431931252824,4403.564224332881,5563.888888888889,4376.853689173457,4259.67231740588
8,8.9,23.8,,2.3,39.9,13.2,22.96,2.9,4231.211216644052,4694.867706919946,5602.777777777778,4536.934696271493,4333.986793077992
9,10.4,15.4,6.5,2.4,77.8,13.2,4.23,9.1,701.5777928539121,732.7523744911805,930.5555555555555,879.8721342127254,699.9592054827979
10,8.5,19.6,,2.6,67.9,13.3,23.09,2.6,3852.8168249660785,4062.4773857982814,4386.111111111111,4165.18318797572,3428.563837102457
11,9.5,15.5,10.3,2.7,75.8,13.3,5.25,9.5,1079.2498869289914,1156.5492989597467,1286.111111111111,1377.569780963585,981.8204507429169
12,7.6,13.1,0.1,3.3,73.0,13.4,7.34,7.4,453.0999547715966,496.7620985979195,694.4444444444443,590.193526939301,524.4880241959621
13,4.8,10.4,,4.4,49.0,13.4,23.63,3.6,3372.899366802352,3835.862731795568,4391.666666666667,4055.9023974941247,3353.8455237540993
14,4.1,8.3,0.0,4.0,46.8,13.4,15.89,4.1,1026.5646766169152,1087.2383536861148,1397.2222222222222,1220.1034026102548,1088.0246268479789
15,2.9,12.8,,3.7,47.8,13.5,25.72,1.6,3917.767978290367,4237.138398914518,5436.111111111111,4515.903053558943,4119.9773184764645
16,4.1,14.3,,3.9,55.6,13.5,26.61,1.8,5091.064224332881,5307.439167797376,6702.777777777777,5625.289879335462,5123.53224773048
17,9.9,17.1,,3.9,54.4,13.6,18.9,3.3,1674.4638172772502,1638.0244233378562,2269.4444444444443,1758.9422201765547,1754.8045433834307
18,6.8,19.0,,3.2,43.1,13.6,28.36,0.8,3110.2600633197644,3443.93328810493,4016.666666666666,3431.830880267084,3058.38640497834
19,8.7,18.3,,2.8,49.8,13.6,22.98,3.4,0.0,0.0,0.0,0.0,0.0
20,7.8,19.9,,3.0,50.0,13.7,26.97,0.0,0.0,0.0,0.0,0.0,0.0
21,9.3,21.0,,2.6,48.6,13.7,26.1,0.4,0.0,0.0,0.0,0.0,0.0
22,9.3,23.4,,2.7,57.1,13.7,24.03,5.3,0.0,0.0,0.0,0.0,0.0
23,16.4,26.2,,2.7,73.6,13.8,18.96,6.6,0.0,0.0,0.0,0.0,0.0
24,18.0,23.9,0.0,2.3,79.6,13.8,9.43,9.0,0.0,0.0,0.0,0.0,0.0
25,17.0,27.4,0.0,2.0,68.8,13.8,19.41,7.0,0.0,0.0,0.0,0.0,0.0
