ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),°­¼ö·®(mm),Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§),½Àµµ(%),ÀÏÁ¶(hr),ÀÏ»ç(MJ/m2),Àû¼³(cm),Àü¿î·®(10ºÐÀ§),10cm ÁöÁß¿Âµµ(¡ÆC)
105,°­¸ª,2020-01-01 01:00,-2.3,,5.2,230,37,,,,0,1.7
105,°­¸ª,2020-01-01 02:00,-1.6,,3.9,250,38,,,,0,1.6
105,°­¸ª,2020-01-01 03:00,-1.4,,5.6,230,45,,,,0,1.5
105,°­¸ª,2020-01-01 04:00,-.9,,5.1,230,46,,,,0,1.5
105,°­¸ª,2020-01-01 05:00,-1,,4.2,230,48,,,,0,1.4
105,°­¸ª,2020-01-01 06:00,-.7,,3.7,230,48,,,,0,1.4
105,°­¸ª,2020-01-01 07:00,-.4,,4.2,230,48,,,,0,1.3
105,°­¸ª,2020-01-01 08:00,0,,4.8,230,47,0,.01,,0,1.3
105,°­¸ª,2020-01-01 09:00,1.5,,3.8,230,43,1,.36,,0,1.3
105,°­¸ª,2020-01-01 10:00,2.9,,4.2,230,39,1,.96,,0,1.3
105,°­¸ª,2020-01-01 11:00,4.3,,3.9,230,36,1,1.45,,0,1.3
105,°­¸ª,2020-01-01 12:00,5.4,,3.7,230,34,1,1.72,,0,1.4
105,°­¸ª,2020-01-01 13:00,5.7,,4.5,200,34,1,1.87,,,1.5
105,°­¸ª,2020-01-01 14:00,6,,4,230,34,1,1.77,,0,2.1
105,°­¸ª,2020-01-01 15:00,5.1,,4.7,200,36,1,1.43,,0,2.7
105,°­¸ª,2020-01-01 16:00,4.1,,5.7,230,37,1,.95,,1,3
105,°­¸ª,2020-01-01 17:00,2.4,,5.8,230,43,.6,.33,,0,3
105,°­¸ª,2020-01-01 18:00,1.8,,4.8,230,45,0,.01,,0,2.9
105,°­¸ª,2020-01-01 19:00,1.6,,5.3,230,44,,,,0,2.6
105,°­¸ª,2020-01-01 20:00,1.3,,5,230,44,,,,0,2.5
105,°­¸ª,2020-01-01 21:00,1.3,,4.3,230,42,,,,0,2.3
105,°­¸ª,2020-01-01 22:00,1,,4.6,230,43,,,,0,2.1
105,°­¸ª,2020-01-01 23:00,.8,,5.6,230,44,,,,1,2
105,°­¸ª,2020-01-02 00:00,.7,,4.8,230,47,,,,0,1.9
105,°­¸ª,2020-01-02 01:00,.7,,5.2,230,46,,,,0,1.8
105,°­¸ª,2020-01-02 02:00,1,,4.3,230,44,,,,0,1.8
105,°­¸ª,2020-01-02 03:00,.8,,4.3,230,48,,,,0,1.7
105,°­¸ª,2020-01-02 04:00,.9,,5.2,230,49,,,,0,1.7
105,°­¸ª,2020-01-02 05:00,.8,,3.9,200,50,,,,0,1.7
105,°­¸ª,2020-01-02 06:00,.8,,4.3,230,51,,,,0,1.6
105,°­¸ª,2020-01-02 07:00,.7,,3.7,230,53,,,,0,1.6
105,°­¸ª,2020-01-02 08:00,1.3,,4.8,230,53,0,.01,,0,1.6
105,°­¸ª,2020-01-02 09:00,2.3,,4.8,230,49,.9,.32,,0,1.5
105,°­¸ª,2020-01-02 10:00,3.7,,4.7,230,46,1,.89,,0,1.6
105,°­¸ª,2020-01-02 11:00,5.5,,4.3,230,40,1,1.39,,0,1.7
105,°­¸ª,2020-01-02 12:00,6.3,,5,230,39,1,1.65,,0,2.2
