,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar,z_score
2018-12-28 09:00,422.3709677419355,210.08064516129033,-8.680645161290322,-12.767741935483865,340.2162162162162,13.332432218500104,4435.075604297021,-13.9,0.0,2.8,320.0,35.0,0.6,0.21,0.0,0.0,-1.9,58.333333333333336,0.20033033016021518
2018-12-28 10:00,605.9701492537314,374.35820895522386,-2.974626865671643,-11.698507462686553,351.3731343283582,17.35970114238233,5971.423761809074,-12.7,0.0,1.4,340.0,31.0,1.0,0.77,0.0,2.0,-1.8,213.88888888888889,0.6886006682460456
2018-12-28 11:00,728.6363636363636,521.1666666666666,0.3500000000000001,-10.403030303030304,366.3787878787879,22.296969471555872,8167.528704729981,-11.1,0.0,2.4,290.0,31.0,1.0,1.36,0.0,1.0,-1.5,377.77777777777777,1.3865498262600826
2018-12-28 12:00,689.1940298507462,558.4328358208955,0.8208955223880601,-9.255223880597017,365.97014925373134,21.653730990281858,7923.755094499774,-9.4,0.0,2.9,270.0,28.0,1.0,1.74,0.0,1.0,-1.1,483.3333333333333,1.3090755750615402
2018-12-28 13:00,564.5970149253732,518.223880597015,-0.47462686567164175,-8.553731343283587,368.7164179104478,18.25671605921515,6733.737181108434,-8.6,0.0,3.4,290.0,27.0,1.0,1.83,0.0,0.0,-0.9,508.3333333333333,0.9308732476406962
2018-12-28 14:00,380.8484848484849,410.8787878787879,-2.6515151515151505,-7.607575757575759,361.42424242424244,12.775757269425732,4626.993828282178,-7.5,0.0,3.6,290.0,25.0,1.0,1.73,0.0,0.0,-0.7,480.55555555555554,0.2613243019054051
2018-12-28 15:00,175.75757575757575,253.56060606060606,-4.801515151515149,-6.987878787878786,346.3333333333333,5.9939392624479355,2090.274196538059,-6.9,0.0,3.4,290.0,24.0,1.0,1.42,0.0,0.0,-0.5,394.44444444444446,-0.5448763930115912
2018-12-28 16:00,40.47761194029851,83.4776119402985,-8.580597014925372,-7.291044776119396,353.1194029850746,0.9283581834230846,308.85073753435216,-7.2,0.0,3.3,290.0,24.0,1.0,0.93,0.0,0.0,-0.4,258.3333333333333,-1.111034675786728
2018-12-28 17:00,1.9649122807017543,2.4210526315789473,-10.054385964912283,-8.342105263157897,287.1578947368421,0.012280701022399051,2.538596339915919,-7.7,0.0,2.3,290.0,26.0,1.0,0.35,0.0,0.0,-0.4,97.22222222222223,-1.2083844412090416
2018-12-29 09:00,533.5820895522388,252.47761194029852,-5.388059701492539,-9.079104477611946,359.1044776119403,12.173134084957775,4348.653643060097,-9.8,0.0,2.4,290.0,26.0,0.6,0.27,0.0,0.0,-2.5,75.0,0.1728643680832814
