,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar,z_score
2018-10-22 12:00,333.375,321.9375,25.049999999999997,17.88125,480.1162790697674,11.560465116279072,5536.87441860465,17.9,0.0,1.0,160.0,43.0,1.0,1.93,0.0,8.0,0.0,536.1111111111111,0.09469247864968253
2018-10-22 13:00,490.51428571428573,563.4428571428572,28.157142857142862,18.405714285714286,481.42857142857144,14.126530612244897,6808.306122448983,19.5,0.0,1.7,140.0,42.0,0.7,1.61,0.0,8.0,0.0,447.22222222222223,0.4161941955513733
2018-10-22 14:00,368.2142857142857,426.04285714285714,26.777142857142866,19.22142857142856,483.09090909090907,10.850909090909092,5217.690909090909,19.7,0.0,1.8,200.0,38.0,0.8,1.59,0.0,8.0,0.0,441.6666666666667,0.013981854551592059
2018-10-22 15:00,242.21428571428572,294.4,21.861428571428576,18.45571428571428,483.4590163934426,6.842622950819673,3306.254098360655,19.0,0.0,1.3,180.0,41.0,0.6,1.21,0.0,8.0,0.0,336.1111111111111,-0.4693553271002102
2018-10-22 16:00,116.15942028985508,132.36231884057972,18.288405797101454,17.346376811594208,480.04761904761904,3.265079365079365,1589.77619047619,18.5,0.0,1.8,200.0,41.0,0.2,0.66,0.0,9.0,0.0,183.33333333333334,-0.9033940511151047
2018-10-22 17:00,24.304347826086957,25.217391304347824,15.313043478260871,16.231884057971005,444.6078431372549,0.7509803921568629,344.53333333333313,18.3,0.0,0.8,200.0,40.0,0.4,0.47,0.0,8.0,0.0,130.55555555555554,-1.2182735018323505
2018-10-23 09:00,223.84285714285716,212.55714285714285,16.419999999999995,12.494285714285706,496.26229508196724,7.357377049180328,3678.65081967213,11.3,0.0,0.5,180.0,89.0,0.0,0.09,0.0,10.0,0.0,25.0,-0.3751888965257699
2018-10-23 10:00,291.3142857142857,266.2857142857143,21.781428571428563,14.46,482.1454545454545,9.207272727272725,4485.474545454546,11.7,0.4,1.0,200.0,93.0,0.0,0.1,0.0,9.0,0.0,27.77777777777778,-0.17117069225120934
2018-10-23 11:00,20.942028985507246,16.130434782608695,11.008695652173914,10.039130434782612,446.9047619047619,0.6936507936507939,320.14603174603184,15.3,0.0,1.7,140.0,76.0,0.3,0.95,0.0,8.0,0.0,263.8888888888889,-1.2244402186974481
2018-10-23 12:00,346.0285714285714,370.84285714285716,17.1,10.18857142857143,482.6727272727273,8.980000000000002,4536.721818181818,10.7,3.0,1.8,20.0,94.0,0.2,0.53,0.0,10.0,0.0,147.22222222222223,-0.15821200471924873
