,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_totpower,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar
2018-10-22 12:00,333.375,321.9375,25.049999999999997,17.88125,2000.0,17.9,0.0,1.0,160.0,43.0,1.0,1.93,0.0,8.0,0.0,536.1111111111111
2018-10-22 13:00,490.51428571428573,563.4428571428572,28.157142857142862,18.405714285714286,2000.0,19.5,0.0,1.7,140.0,42.0,0.7,1.61,0.0,8.0,0.0,447.22222222222223
2018-10-22 14:00,368.2142857142857,426.04285714285714,26.777142857142866,19.22142857142856,2000.0,19.7,0.0,1.8,200.0,38.0,0.8,1.59,0.0,8.0,0.0,441.6666666666667
2018-10-22 15:00,242.21428571428572,294.4,21.861428571428576,18.45571428571428,2000.0,19.0,0.0,1.3,180.0,41.0,0.6,1.21,0.0,8.0,0.0,336.1111111111111
2018-10-22 16:00,116.15942028985508,132.36231884057972,18.288405797101454,17.346376811594208,0.0,18.5,0.0,1.8,200.0,41.0,0.2,0.66,0.0,9.0,0.0,183.33333333333334
2018-10-22 17:00,24.304347826086957,25.217391304347824,15.313043478260871,16.231884057971005,0.0,18.3,0.0,0.8,200.0,40.0,0.4,0.47,0.0,8.0,0.0,130.55555555555554
2018-10-23 09:00,223.84285714285716,212.55714285714285,16.419999999999995,12.494285714285706,1000.0,11.3,0.0,0.5,180.0,89.0,0.0,0.09,0.0,10.0,0.0,25.0
2018-10-23 10:00,291.3142857142857,266.2857142857143,21.781428571428563,14.46,2000.0,11.7,0.4,1.0,200.0,93.0,0.0,0.1,0.0,9.0,0.0,27.77777777777778
2018-10-23 11:00,20.942028985507246,16.130434782608695,11.008695652173914,10.039130434782612,0.0,15.3,0.0,1.7,140.0,76.0,0.3,0.95,0.0,8.0,0.0,263.8888888888889
2018-10-23 12:00,346.0285714285714,370.84285714285716,17.1,10.18857142857143,2000.0,10.7,3.0,1.8,20.0,94.0,0.2,0.53,0.0,10.0,0.0,147.22222222222223
2018-10-23 13:00,406.0285714285714,441.75714285714287,22.871428571428545,12.14857142857143,2000.0,11.4,2.5,2.0,180.0,98.0,0.0,0.13,0.0,9.0,0.0,36.111111111111114
2018-10-23 14:00,465.0144927536232,637.2898550724638,23.802898550724652,14.437681159420286,2000.0,13.8,0.0,0.8,140.0,89.0,0.5,1.24,0.0,8.0,0.0,344.44444444444446
2018-10-23 15:00,319.1857142857143,474.14285714285717,20.827142857142853,15.770000000000005,2000.0,15.2,0.0,1.5,180.0,84.0,0.8,1.23,0.0,2.0,0.0,341.6666666666667
2018-10-23 16:00,153.8,234.65714285714284,15.804285714285713,14.689999999999987,0.0,16.2,0.0,1.9,250.0,77.0,1.0,1.04,0.0,0.0,0.0,288.8888888888889
2018-10-23 17:00,19.257142857142856,22.185714285714287,12.362857142857152,13.367142857142872,0.0,14.6,0.0,1.7,250.0,84.0,1.0,0.53,0.0,2.0,0.0,147.22222222222223
2018-10-23 18:00,0.0,0.0,10.8046875,12.790624999999997,0.0,13.0,0.0,1.0,200.0,91.0,0.3,0.09,0.0,2.0,0.0,25.0
2018-10-24 09:00,405.65714285714284,401.72857142857146,17.51571428571428,11.031428571428567,2000.0,11.7,0.0,0.8,160.0,90.0,1.0,0.84,0.0,0.0,0.0,233.33333333333334
2018-10-24 10:00,591.7536231884058,655.5217391304348,28.63043478260868,13.97826086956522,3000.0,13.2,0.0,1.7,180.0,79.0,1.0,1.49,0.0,0.0,0.0,413.8888888888889
2018-10-24 11:00,719.625,825.0,31.512500000000003,14.987500000000002,0.0,16.3,0.0,0.8,140.0,59.0,1.0,1.98,0.0,2.0,0.0,550.0
2018-10-24 15:00,330.2682926829268,583.0,19.231707317073173,16.1609756097561,1000.0,18.9,0.0,2.8,290.0,46.0,1.0,1.8,0.0,2.0,0.0,500.0
2018-10-24 16:00,162.94285714285715,309.42857142857144,17.35714285714287,16.400000000000006,1000.0,17.5,0.0,2.5,290.0,47.0,1.0,1.25,0.0,1.0,0.0,347.22222222222223
2018-10-24 17:00,11.768115942028986,16.695652173913043,12.639130434782604,14.228985507246374,0.0,15.8,0.0,2.8,250.0,51.0,1.0,0.63,0.0,0.0,0.0,175.0
2018-10-25 09:00,409.8857142857143,407.75714285714287,18.18428571428572,10.961428571428566,3000.0,13.0,0.0,0.6,160.0,75.0,1.0,0.82,0.0,0.0,0.0,227.77777777777777
2018-10-25 10:00,590.3428571428572,656.5428571428571,28.055714285714274,13.885714285714291,4000.0,14.8,0.0,1.4,140.0,60.0,1.0,1.48,0.0,0.0,0.0,411.1111111111111
2018-10-25 11:00,712.4782608695652,854.5072463768116,32.33043478260869,15.93768115942029,4000.0,17.3,0.0,1.1,110.0,52.0,1.0,1.98,0.0,0.0,0.0,550.0
2018-10-25 12:00,759.7142857142857,975.9428571428572,34.69714285714286,17.407142857142862,4000.0,18.5,0.0,1.7,110.0,44.0,1.0,2.25,0.0,1.0,0.0,625.0
2018-10-25 13:00,644.4571428571429,848.8428571428572,33.2957142857143,18.742857142857147,4000.0,20.2,0.0,1.7,110.0,32.0,1.0,2.25,0.0,4.0,0.0,625.0
2018-10-25 14:00,469.1,667.5,29.35,20.20285714285715,2000.0,20.3,0.0,1.3,140.0,37.0,1.0,1.78,0.0,7.0,0.0,494.44444444444446
2018-10-25 15:00,354.0869565217391,558.9710144927536,25.68985507246376,20.37971014492754,1000.0,20.7,0.0,2.2,90.0,30.0,1.0,1.34,0.0,7.0,0.0,372.22222222222223
2018-10-25 16:00,135.12857142857143,191.38571428571427,20.31,19.23142857142857,1000.0,20.5,0.0,1.2,70.0,29.0,1.0,1.23,0.0,7.0,0.0,341.6666666666667
2018-10-25 17:00,10.942028985507246,10.18840579710145,15.113043478260868,17.327536231884036,0.0,17.2,0.0,0.8,70.0,43.0,0.6,0.42,0.0,8.0,0.0,116.66666666666667
2018-10-26 09:00,56.34285714285714,42.84285714285714,11.618571428571425,11.951428571428563,0.0,13.6,0.0,1.0,110.0,80.0,0.0,0.16,0.0,10.0,0.0,44.44444444444444
2018-10-26 10:00,31.057142857142857,24.514285714285716,11.585714285714287,12.052857142857132,0.0,13.7,0.1,2.0,140.0,79.0,0.0,0.26,0.0,10.0,0.0,72.22222222222223
2018-10-26 11:00,41.30434782608695,36.91304347826087,11.44782608695652,12.023188405797098,0.0,13.5,0.0,2.3,140.0,78.0,0.0,0.18,0.0,10.0,0.0,50.0
2018-10-26 12:00,55.642857142857146,51.05714285714286,11.951428571428574,11.282857142857146,0.0,13.3,0.3,2.5,160.0,86.0,0.0,0.21,0.0,10.0,0.0,58.333333333333336
2018-10-26 13:00,33.357142857142854,28.857142857142858,11.629999999999999,10.678571428571427,0.0,13.3,0.2,3.1,160.0,90.0,0.0,0.31,0.0,10.0,0.0,86.11111111111111
2018-10-26 14:00,114.51428571428572,135.54285714285714,13.128571428571435,11.26285714285714,1000.0,12.9,2.0,2.6,180.0,98.0,0.0,0.24,0.0,10.0,0.0,66.66666666666667
2018-10-26 15:00,365.74285714285713,579.8857142857142,19.87714285714285,13.265714285714282,2000.0,14.3,4.0,0.7,270.0,100.0,0.1,0.38,0.0,8.0,0.0,105.55555555555556
2018-10-26 16:00,75.34782608695652,93.85507246376811,13.427536231884055,12.708695652173914,0.0,14.7,0.0,2.0,290.0,90.0,0.6,0.81,0.0,6.0,0.0,225.0
2018-10-26 17:00,10.5,14.357142857142858,10.744285714285716,12.284285714285705,0.0,13.5,0.0,2.2,270.0,85.0,1.0,0.56,0.0,0.0,0.0,155.55555555555554
2018-10-27 09:00,406.7826086956522,414.95652173913044,12.917391304347827,8.014492753623193,3000.0,10.6,0.0,4.3,340.0,57.0,1.0,0.81,0.0,3.0,0.0,225.0
2018-10-27 10:00,564.0857142857143,624.4142857142857,15.781428571428565,8.782857142857145,3000.0,11.6,0.0,4.7,320.0,49.0,1.0,1.39,0.0,3.0,0.0,386.1111111111111
2018-10-27 11:00,510.85714285714283,586.2,15.074285714285708,9.175714285714283,3000.0,12.4,0.0,4.2,290.0,44.0,1.0,2.01,0.0,3.0,0.0,558.3333333333333
2018-10-27 12:00,552.8,670.8714285714286,14.988571428571426,9.340000000000002,3000.0,12.7,0.0,5.1,290.0,44.0,1.0,2.12,0.0,7.0,0.0,588.8888888888889
2018-10-27 13:00,460.0869565217391,566.8985507246376,14.357971014492755,9.421739130434784,2000.0,11.8,0.0,4.3,290.0,45.0,0.9,1.76,0.0,7.0,0.0,488.8888888888889
2018-10-27 14:00,702.0714285714286,1011.5857142857143,17.42428571428571,10.591428571428569,4000.0,13.0,0.0,4.4,270.0,42.0,0.7,1.7,0.0,7.0,0.0,472.22222222222223
2018-10-27 15:00,222.95714285714286,307.24285714285713,11.765714285714285,9.534285714285714,1000.0,12.6,0.0,3.7,290.0,40.0,0.6,1.32,0.0,6.0,0.0,366.6666666666667
2018-10-27 16:00,81.75714285714285,114.64285714285714,8.960000000000003,8.875714285714299,1000.0,10.8,0.0,4.9,270.0,43.0,0.9,1.07,0.0,5.0,0.0,297.22222222222223
2018-10-27 17:00,11.970588235294118,13.014705882352942,7.4205882352941215,8.201470588235296,0.0,10.1,0.0,3.5,290.0,45.0,0.7,0.39,0.0,3.0,0.0,108.33333333333333
2018-10-28 09:00,140.0857142857143,115.47142857142858,9.30285714285714,6.388571428571431,0.0,7.9,1.7,0.6,140.0,96.0,0.0,0.1,0.0,10.0,0.0,27.77777777777778
2018-10-28 10:00,211.43478260869566,186.53623188405797,13.215942028985502,8.086956521739133,2000.0,10.1,0.0,1.3,160.0,88.0,0.2,0.71,0.0,3.0,0.0,197.22222222222223
2018-10-28 11:00,469.14285714285717,510.9,21.685714285714287,10.364285714285712,2000.0,11.2,0.0,1.9,110.0,84.0,0.5,0.99,0.0,9.0,0.0,275.0
2018-10-28 12:00,218.12857142857143,211.04285714285714,17.16857142857143,10.888571428571428,1000.0,10.6,1.3,2.2,50.0,96.0,0.1,0.24,0.0,9.0,0.0,66.66666666666667
2018-10-28 13:00,488.27142857142854,594.2714285714286,23.072857142857128,12.358571428571429,3000.0,10.8,5.6,1.7,160.0,97.0,0.1,0.33,0.0,10.0,0.0,91.66666666666667
2018-10-28 14:00,157.0142857142857,147.82857142857142,14.684285714285732,11.262857142857143,1000.0,12.8,0.1,2.0,180.0,89.0,0.6,1.05,0.0,9.0,0.0,291.6666666666667
