,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar,z_score
2020-04-08 09:00,649.4142857142857,619.4857142857143,20.882857142857144,11.59428571428571,533.9857142857143,41.59142857142856,22200.659999999993,9.6,0.0,4.1,290.0,40.0,1.0,1.54,0.0,0.0,0.0,427.77777777777777,1.3790061236450244
2020-04-08 10:00,807.7285714285714,769.1,23.097142857142863,13.290000000000015,525.3142857142857,49.587142857142865,26043.912857142856,11.3,0.0,5.6,290.0,30.0,1.0,2.22,0.0,0.0,0.0,616.6666666666666,1.8356620578539495
2020-04-08 11:00,913.3,869.3285714285714,28.16714285714286,14.427142857142854,515.2,53.90571428571429,27768.36571428571,12.2,0.0,4.6,320.0,30.0,1.0,2.8,0.0,0.0,0.0,777.7777777777778,2.040561828894059
2020-04-08 12:00,938.056338028169,892.5492957746479,31.066197183098595,16.767605633802813,511.9577464788732,53.46901408450704,27371.25492957747,13.4,0.0,3.9,320.0,28.0,1.0,3.1,0.0,0.0,0.0,861.1111111111111,1.9933770603877803
2020-04-08 13:00,893.7142857142857,849.7857142857143,30.805714285714295,17.334285714285713,514.4285714285714,49.562857142857126,25497.78285714286,13.3,0.0,5.4,320.0,31.0,1.0,3.26,0.0,0.0,0.0,905.5555555555555,1.7707708017696646
2020-04-08 14:00,775.3285714285714,737.1857142857143,28.707142857142863,17.742857142857133,520.2857142857143,41.655714285714275,21661.597142857132,13.5,0.0,5.8,270.0,41.0,1.0,3.13,0.0,0.0,0.0,869.4444444444445,1.3149545866329868
2020-04-08 15:00,605.9571428571429,575.3714285714286,23.300000000000008,17.14428571428571,532.3,30.98,16477.382857142857,13.1,0.0,5.7,270.0,39.0,1.0,2.81,0.0,0.0,0.0,780.5555555555555,0.6989653957625028
2020-04-08 16:00,415.62857142857143,394.07142857142856,21.79571428571429,16.942857142857143,539.0,18.925714285714292,10203.65714285714,13.0,0.0,5.5,270.0,33.0,1.0,2.27,0.0,0.0,0.0,630.5555555555555,-0.046479721569053375
2020-04-08 17:00,197.5142857142857,187.27142857142857,20.2757142857143,16.434285714285714,421.5285714285714,6.7299999999999995,3087.9500000000007,12.4,0.0,5.6,290.0,39.0,1.0,1.58,0.0,0.0,0.0,438.8888888888889,-0.891969210203488
2020-04-08 18:00,26.02857142857143,24.1,13.707142857142845,13.717142857142864,383.24285714285713,1.0185714285714282,360.70714285714286,11.1,0.0,5.3,270.0,50.0,1.0,0.84,0.0,0.0,0.0,233.33333333333334,-1.216020653352365
