,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar,z_score
2020-04-08 09:00,298.13432835820896,548.1940298507462,14.90149253731344,17.76268656716417,414.94029850746267,36.59104398471216,15165.311612001142,7.9,0.0,4.0,340.0,26.0,1.0,1.64,0.0,0.0,9.8,455.55555555555554,0.41012217598485673
2020-04-08 10:00,463.2121212121212,693.3636363636364,17.331818181818182,21.22121212121211,402.8939393939394,51.10757440509229,20578.31309347445,9.6,0.0,4.6,290.0,16.0,1.0,2.24,0.0,0.0,10.1,622.2222222222222,1.1597422646260036
2020-04-08 11:00,590.1940298507462,769.0,20.15970149253732,23.98059701492538,395.74626865671644,60.72387883200589,24029.061988204325,10.7,0.0,5.4,320.0,15.0,1.0,2.85,0.0,0.0,10.8,791.6666666666666,1.6376195940890073
2020-04-08 12:00,696.5454545454545,811.4848484848485,20.437878787878784,24.903030303030306,393.7121212121212,65.39696809017288,25747.008457761804,11.3,0.0,4.7,340.0,14.0,1.0,3.15,0.0,0.0,11.7,875.0,1.8755295945200265
2020-04-08 13:00,743.2985074626865,781.4029850746268,21.33432835820895,25.952238805970143,392.85074626865674,65.3194014705828,25660.98149478967,12.5,0.0,3.9,290.0,14.0,1.0,3.25,0.0,0.0,12.7,902.7777777777778,1.8636161413592587
2020-04-08 14:00,726.6363636363636,690.1515151515151,21.627272727272725,26.172727272727283,397.24242424242425,59.9575739195854,23812.679572943536,13.2,0.0,4.3,340.0,13.0,1.0,3.16,0.0,0.0,13.5,877.7777777777778,1.6076538521871542
2020-04-08 15:00,653.1492537313433,552.7164179104477,21.876119402985083,25.794029850746284,402.65671641791045,50.37014798975714,20269.99053687485,13.8,0.0,3.7,290.0,13.0,1.0,2.81,0.0,0.0,14.4,780.5555555555555,1.1170441824253408
2020-04-08 16:00,501.09090909090907,367.6363636363636,19.266666666666662,22.70151515151514,413.2923076923077,35.67846075204709,14733.02890548709,14.1,0.0,3.9,250.0,14.0,1.0,2.25,0.0,0.0,15.0,625.0,0.3502574591758565
2020-04-08 17:00,318.1044776119403,188.11940298507463,16.510447761194033,18.877611940298504,421.0,19.640298117452637,8264.025209156456,13.9,0.0,4.1,270.0,16.0,1.0,1.54,0.0,0.0,15.3,427.77777777777777,-0.5456032090431733
2020-04-09 09:00,294.86567164179104,528.8358208955224,13.137313432835823,16.071641791044776,414.95454545454544,35.854544726285106,14857.557273517967,7.0,0.0,3.8,320.0,41.0,1.0,1.51,0.0,3.0,9.7,419.44444444444446,0.3675027835307716
2020-04-09 10:00,456.1969696969697,676.5454545454545,16.286363636363635,20.1560606060606,402.030303030303,50.21060504335358,20174.363227381895,9.0,0.0,3.4,320.0,40.0,1.0,2.09,0.0,2.0,10.6,580.5555555555555,1.103801224250662
2020-04-09 11:00,591.0149253731344,765.8955223880597,22.83880597014926,27.18955223880596,389.2238805970149,59.62537156290098,23200.929239415473,10.0,0.0,4.0,320.0,37.0,1.0,2.86,0.0,0.0,10.6,794.4444444444445,1.5229355418716835
2020-04-09 12:00,694.7878787878788,807.530303030303,27.26969696969697,30.475757575757573,385.1666666666667,65.01514995459348,25042.13121708956,11.4,0.0,3.5,320.0,34.0,1.0,3.22,0.0,0.0,10.7,894.4444444444445,1.777914594516362
2020-04-09 13:00,742.955223880597,780.044776119403,27.838805970149256,31.0089552238806,386.5970149253731,65.2208943153495,25213.393564081893,13.0,0.0,4.2,290.0,30.0,1.0,3.33,0.0,0.0,10.9,925.0,1.8016318789421442
2020-04-09 14:00,710.0,672.8787878787879,24.90151515151514,28.353030303030298,394.33846153846156,58.169229346055396,22928.711746714718,13.9,0.0,4.4,320.0,31.0,1.0,3.28,0.0,1.0,11.2,911.1111111111111,1.485237473303546
2020-04-09 15:00,639.5970149253732,542.1194029850747,22.87014925373134,26.720895522388055,401.9850746268657,49.29253637968612,19802.97723792919,14.2,0.0,4.8,270.0,35.0,1.0,2.79,0.0,5.0,11.5,775.0,1.052369795811843
2020-04-09 16:00,482.1212121212121,357.1515151515151,20.507575757575754,23.668181818181818,410.46153846153845,34.11076850891118,13989.892011084949,13.8,0.0,4.2,270.0,39.0,1.0,2.24,0.0,0.0,11.9,622.2222222222222,0.24734406693665528
2020-04-09 17:00,279.14925373134326,171.32835820895522,16.42238805970149,18.589552238805975,417.3731343283582,18.052238450121553,7531.171493288305,13.0,0.0,4.7,270.0,42.0,1.0,1.61,0.0,0.0,12.3,447.22222222222223,-0.647092534204147
2020-04-10 09:00,287.2686567164179,484.56716417910445,18.198507462686567,20.165671641791043,410.76119402985074,34.058208266301,13974.748971056602,10.5,0.0,2.1,110.0,54.0,1.0,1.43,0.0,1.0,11.0,397.22222222222223,0.24524698142001589
2020-04-10 10:00,425.5151515151515,609.0454545454545,22.031818181818185,24.403030303030313,399.6060606060606,45.70151435967654,18255.976957292285,12.3,0.0,1.9,160.0,48.0,1.0,2.11,0.0,2.0,11.0,586.1111111111111,0.8381332966222512
2020-04-10 11:00,485.32835820895525,617.179104477612,25.608955223880592,27.755223880597015,393.2686567164179,49.18059596730713,19327.2667524993,13.8,0.0,2.6,110.0,43.0,1.0,2.68,0.0,3.0,11.0,744.4444444444445,0.9864909783986218
2020-04-10 12:00,595.4029850746268,672.7313432835821,27.119402985074636,29.547761194029857,391.1194029850746,54.99999866200912,21353.642766354675,14.0,0.0,2.5,250.0,41.0,0.6,2.13,0.0,4.0,11.2,591.6666666666666,1.2671138772331358
2020-04-10 13:00,697.7424242424242,734.4545454545455,30.60151515151515,32.88484848484849,381.8181818181818,60.93333255883417,23219.289100357986,15.1,0.0,1.6,230.0,36.0,0.7,2.54,0.0,6.0,11.4,705.5555555555555,1.5254781091763983
2020-04-10 14:00,683.5223880597015,657.955223880597,31.097014925373127,33.244776119403,382.53731343283584,55.77611795112269,21275.14273014354,15.4,0.0,2.9,230.0,37.0,0.3,1.82,0.0,8.0,11.7,505.55555555555554,1.2562427913292562
2020-04-10 15:00,297.6666666666667,284.8636363636364,24.374242424242418,25.236363636363627,401.6969696969697,25.659090345556233,10280.424016548,16.1,0.0,2.8,290.0,34.0,0.9,2.61,0.0,6.0,12.1,725.0,-0.2663620047120516
2020-04-10 16:00,112.94029850746269,118.25373134328358,18.114925373134337,18.871641791044777,403.92537313432837,10.655223632926269,4312.381989222811,16.3,0.0,3.9,250.0,37.0,1.0,2.54,0.0,6.0,12.5,705.5555555555555,-1.0928469426618432
2020-04-10 17:00,59.24242424242424,54.25757575757576,14.042424242424232,14.933333333333342,397.8181818181818,5.315151359095719,2119.175695188118,15.2,0.0,3.2,320.0,41.0,1.0,1.72,0.0,5.0,12.8,477.77777777777777,-1.3965733506758913
2020-04-11 09:00,275.1969696969697,425.43939393939394,17.113636363636363,19.199999999999996,411.469696969697,31.07727218396741,12768.858867182891,8.7,0.0,1.9,230.0,74.0,0.8,1.04,0.0,9.0,11.7,288.8888888888889,0.07824916151340579
2020-04-11 10:00,431.1194029850746,605.9402985074627,23.47611940298508,26.00597014925373,398.97014925373134,45.45522302656034,18124.984732898316,10.6,0.0,2.3,200.0,63.0,1.0,1.71,0.0,8.0,11.6,475.0,0.8199928244281107
2020-04-11 11:00,462.8939393939394,564.030303030303,25.137878787878783,27.233333333333334,397.3333333333333,44.81060502023419,17802.761707132548,11.9,0.0,3.6,230.0,57.0,1.0,2.29,0.0,7.0,11.6,636.1111111111111,0.7753697342694488
2020-04-11 12:00,554.6818181818181,623.1060606060606,27.122727272727275,29.184848484848477,392.8030303030303,50.686362642230414,19887.99506635377,13.2,0.0,2.1,290.0,49.0,1.0,2.73,0.0,9.0,11.7,758.3333333333334,1.0641434988669485
2020-04-11 13:00,357.82089552238807,379.2985074626866,24.219402985074623,25.88358208955223,394.910447761194,31.365670787754397,12336.663845033818,14.5,0.0,2.9,230.0,46.0,1.0,2.5,0.0,8.0,11.9,694.4444444444445,0.018396587683060288
2020-04-11 14:00,263.3939393939394,256.45454545454544,16.900000000000002,19.062121212121212,411.2878787878788,22.431817690531428,9224.858888467159,15.1,0.0,2.9,290.0,42.0,1.0,2.89,0.0,8.0,12.2,802.7777777777778,-0.4125420542809824
