,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,-14.4,-6.6,,2.5,33.0,9.6,10.36,0.6,3609.817110235211,2932.600295712363,2872.222222222222,3137.911685345494,3355.0148087615653
1,-10.5,-3.0,,2.9,29.0,9.6,10.57,0.0,2607.347354138399,2367.4337403889645,2608.3333333333335,2384.5151249251,2513.191111380134
2,-10.5,-0.5,,1.2,39.6,9.6,9.16,1.6,2551.154169964571,1682.160624434645,1111.111111111111,2090.1728418193206,2105.8352703497753
3,-8.8,0.2,,1.7,42.8,9.6,10.48,0.0,2395.998567767225,2100.77785315845,2286.111111111111,2267.4777403863536,2083.964237555676
4,-8.4,3.2,,1.4,38.8,9.7,10.28,0.1,3076.1735801511927,2570.5309814563548,2613.888888888889,2854.8668271409956,2651.490861174903
5,-6.2,4.1,,1.2,55.5,9.7,6.2,5.5,1289.6665159053218,1097.735255899435,1150.0,1595.6965576228918,1129.4906811071564
6,-5.5,1.1,,2.2,40.3,9.7,10.05,0.5,422.1923076923077,203.5769230769231,66.66666666666667,361.5893747032325,274.17146803515016
7,-6.2,3.1,,1.4,46.4,9.7,8.71,4.0,3252.5542740841247,2634.86815920398,2416.666666666667,3006.0248738214277,2826.665328650972
8,-7.2,0.5,,2.6,31.0,9.7,10.46,0.0,2988.7585098224295,2478.1317621379267,2530.5555555555557,2840.747059918793,2635.8564509922476
9,-9.4,1.3,,1.3,28.8,9.7,8.47,4.9,2562.2867268769783,2133.706922301372,2050.0000000000005,2660.462102452294,2213.457920757831
10,-4.5,3.0,,1.3,48.8,9.8,5.92,8.1,1270.080819324027,1103.6831886407713,1005.5555555555554,1220.9447156443384,1142.231915486838
11,-0.4,7.2,,1.0,58.8,9.8,8.53,6.1,3115.018995929444,2589.0897783808236,2363.8888888888887,2916.1737373878836,2707.5694370728015
12,-0.6,8.0,,1.3,47.6,9.8,7.71,3.9,2567.010176390773,2357.5597014925374,2136.1111111111113,2484.7830687131996,2262.879776913693
13,-3.0,7.6,,1.4,54.3,9.8,9.97,0.0,3453.8271736555316,2851.488854429153,2758.3333333333335,3237.495988283267,2914.5053034058346
14,-2.4,5.3,,0.9,68.6,9.8,6.03,4.5,1851.972425750038,1783.1884366048546,1669.4444444444446,1968.9640428021585,1686.6355400133232
15,-7.2,2.6,0.0,2.7,58.8,9.9,6.93,3.8,1026.240543962299,1050.2565762141683,1275.0,1106.3810716219614,923.7561351492523
16,-10.1,-1.1,0.0,2.3,45.9,9.9,10.36,4.1,2486.9894682431996,2314.8179233701617,2522.2222222222226,2767.03315230823,2299.531329928616
17,-4.6,6.5,,1.7,34.9,10.1,11.71,2.1,2150.3799185888734,2149.9712799638173,2494.444444444445,2043.0245856106528,1796.6216027042558
18,-3.8,2.6,,2.6,27.6,10.1,11.56,1.3,2558.7376972779475,2335.8041105554653,2538.888888888889,2404.413709252746,2119.6952218829415
