,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,3.1,14.0,0.0,1.5,67.5,10.2,11.82,4.1,292.2347826086957,459.43596837944665,755.5555555555554,383.2252637589244,414.1994151733658
1,2.1,13.8,,1.2,54.9,10.2,12.73,0.4,3351.4448595531658,4959.789122709433,3641.6666666666665,3922.0539753029716,4144.5999652268665
2,3.8,14.0,0.0,2.3,64.4,10.1,7.02,8.0,1701.8219461697722,2062.209937888199,1475.0,1513.5016342413746,1848.824642440375
3,1.4,9.3,,1.9,62.9,10.1,13.16,0.9,3272.203971390928,4845.265142104272,3508.333333333333,3815.7204616873005,4248.188565039776
4,-0.6,9.2,,1.2,57.0,10.1,11.59,1.8,3000.1591567852433,4378.461980048937,3247.2222222222226,3473.037062976345,3786.0293312061167
5,3.2,10.1,5.2,2.0,83.3,10.1,2.79,7.6,1153.320515716168,1526.382251082251,1733.3333333333335,1555.2220960408142,1246.9192668221242
6,4.6,12.5,,1.3,87.4,10.0,9.25,5.0,1210.4900528413832,1605.3066067179632,1316.6666666666667,1356.7787474459,1356.4490328528113
7,2.0,15.2,,1.3,77.3,10.0,12.02,0.5,3097.9012854979756,4669.5788912579965,3230.5555555555557,3514.72607686169,3982.952610706015
8,3.5,16.2,,1.2,82.6,10.0,9.53,4.4,2134.6814869750624,3014.078165075245,2344.4444444444443,2744.9581147617164,2540.8129423204623
9,2.5,11.0,,1.5,50.1,10.0,6.89,3.9,1209.8931865236214,1741.7373988330512,1661.111111111111,1408.146113450356,1595.7635463399365
10,0.8,11.3,0.0,0.9,54.1,10.0,6.18,4.4,1401.683889204794,1852.2971763552328,1566.6666666666667,1861.457659283272,1585.1349499259604
11,3.0,11.5,,1.1,67.9,9.9,11.2,3.1,3030.752853324702,4655.365994849418,2841.6666666666665,2998.976404710293,3950.432683806342
12,1.7,12.3,,1.0,72.3,9.9,6.37,6.6,1708.8337565234315,2135.7838904296214,2194.4444444444443,2432.9213473222585,1878.8850380066833
13,3.4,19.6,0.0,1.4,68.1,9.9,9.54,6.0,2379.6705562659845,3336.338288576301,2900.0,3431.287907387065,2765.945077117102
14,12.7,19.3,8.0,1.4,96.4,9.9,2.15,10.0,890.934356351236,980.5392156862744,1216.6666666666667,1458.772526842014,892.9240786380428
15,4.6,13.9,15.3,2.2,88.6,9.9,4.11,9.4,718.9234179290446,750.2258541543707,991.6666666666665,937.0594290861745,695.5415458937197
16,-0.7,6.1,,1.9,60.8,9.9,8.95,5.0,2148.794117647059,3193.8676470588234,1944.4444444444446,2887.9042964834252,2828.755683065157
17,-7.9,5.0,,1.2,45.1,9.8,11.68,1.5,535.2857142857143,800.9841269841272,311.1111111111111,422.0715179726723,721.2645833333336
18,-2.6,3.4,,1.3,71.1,9.8,11.3,3.5,1347.8827252585418,929.5141886901795,1222.2222222222222,1052.8701865085861,1334.2881427103612
19,-2.7,6.0,0.2,2.0,72.8,9.8,6.17,6.4,1291.589071414519,1050.3998196603059,1330.5555555555554,1472.7081296766605,795.7178524310074
20,-3.4,2.2,,1.4,61.3,9.8,11.23,2.6,2685.109938356613,1887.5031543052007,2425.0,2453.9565528814232,2235.9511479854036
21,-6.9,4.9,,1.1,59.3,9.8,10.74,4.0,3436.346799193986,2457.3181624428425,3052.7777777777783,3327.2493440674775,2506.966373922164
22,-2.1,6.3,,1.0,73.0,9.8,5.18,7.8,171.92061923583663,156.6699604743083,124.99999999999999,252.0189515654926,73.29603645147124
