,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,-3.2,2.8,,3.1,48.0,9.8,10.42,2.4,1111.530303030303,905.7424242424242,1833.3333333333335,1247.8889490112967,1297.3347005010912
1,-5.0,4.2,0.6,1.6,61.3,9.8,5.01,6.3,558.5755314337404,594.2564450474898,838.8888888888889,735.2408337779859,688.0100988831927
2,-2.0,7.2,0.0,1.8,41.6,9.7,10.18,1.0,1888.2484291827577,1513.9021987962285,1930.5555555555554,1874.174989584985,1885.143784222531
3,-8.5,-0.2,,3.2,31.9,9.7,11.34,0.0,2149.1255088195385,1656.2704658525554,2411.111111111111,1994.782291430475,2348.4194236163394
4,-3.5,3.4,,1.8,45.4,9.6,10.73,0.0,907.3006993006993,683.6284382284382,1444.4444444444446,925.8434868059713,961.3276173405637
5,-3.7,5.9,1.0,2.0,53.6,9.6,6.07,6.8,1518.6108374212852,1407.6584559718888,2158.3333333333335,1958.922097928316,1745.217801976879
6,-0.1,6.4,0.0,2.3,58.3,9.6,10.07,3.0,1132.7713068181818,833.4450757575758,1616.6666666666667,1084.3895752969636,1188.6365934888909
7,0.4,11.0,,2.0,52.5,9.6,8.91,2.9,2153.0938489371333,1779.7754409769334,2469.4444444444443,2114.237377661693,2280.376599682858
8,2.1,12.9,,1.9,58.9,9.6,7.71,6.1,2078.708806818182,1704.7220643939395,2411.111111111111,1933.2041253600696,2141.4938374428743
9,3.2,10.2,9.8,2.3,81.4,9.6,1.17,8.6,527.9744459520579,533.7779285391225,336.1111111111111,201.4367263077744,711.5209568834465
10,-1.7,5.2,,2.5,64.6,9.6,9.83,3.5,1072.044776119403,799.6359113523291,1547.2222222222222,1016.6527411443012,1181.576293611503
11,-4.5,3.1,0.0,2.4,47.8,9.6,9.96,1.8,1416.7839160839162,1093.4832167832164,1733.3333333333335,1322.7826960536229,1500.4023769418222
12,-3.5,2.0,0.0,2.3,45.3,9.6,10.45,1.4,1120.1515151515152,876.3181818181819,1480.5555555555554,1070.9084566701633,1091.2673709098694
13,-5.1,1.5,0.6,1.7,68.1,9.6,3.35,5.5,576.38344988345,575.4468531468532,997.2222222222223,880.8012527027214,696.0751970295196
14,0.3,8.4,0.3,1.7,63.4,9.6,7.2,7.8,1085.2113975576665,942.6839508749956,1722.2222222222224,1045.6070836164897,1259.0393294608552
15,0.3,5.2,2.9,2.0,80.4,9.6,5.1,6.1,639.2340569877884,673.8138851198553,1327.7777777777778,1113.223316814601,814.9612921460844
16,-2.9,6.5,,1.4,67.9,9.6,9.43,0.8,2243.2503044219457,1757.4203806144103,2650.0,2100.025539230307,2388.047038187402
17,-2.7,6.6,,1.0,60.8,9.6,6.64,5.9,1245.757801899593,1132.1112618724558,1736.1111111111113,1297.318411644095,1504.7524805308897
18,-2.4,4.1,0.3,2.4,59.0,9.6,3.72,5.4,647.2985074626868,670.0644504748982,688.8888888888889,393.5644614629565,861.785843321937
19,-4.6,2.6,,2.1,45.4,9.6,10.36,0.0,1467.4578819190758,1115.2618167901749,1833.3333333333333,1316.7926753858776,1522.5973327391614
20,-3.6,6.1,,2.0,47.6,9.6,8.09,3.5,2121.5820068820067,1756.7123432123433,2422.2222222222217,2004.7211607145316,2245.164930398509
21,1.1,6.2,1.4,2.9,52.5,9.6,3.28,9.0,654.3620533695162,707.320895522388,902.7777777777779,775.7952213921055,845.5711145384787
