,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,8.4,21.0,,2.5,44.6,12.8,24.58,1.3,4812.400789329647,4000.4655734162993,5463.888888888889,4683.703860469238,4292.212706667032
1,4.5,19.2,,2.2,51.3,12.9,22.92,1.4,6317.2499434245265,5403.185168685364,6072.222222222222,6008.509446610267,5182.404408078774
2,8.3,14.0,0.0,2.2,56.0,12.9,8.99,9.3,1973.1639018995577,1860.875548887588,1736.111111111111,1467.6030272573887,1759.9278346472545
3,6.2,15.0,1.8,1.7,73.5,13.0,11.28,8.4,2757.0486271121354,2706.307024449565,2972.2222222222226,3182.464900899839,2235.3860479500627
4,7.3,14.1,7.2,3.1,80.3,13.0,11.17,9.4,1599.8605925245797,1463.1646701908467,2036.1111111111113,1457.7939257518456,1535.779923147485
5,5.3,16.4,0.1,3.3,50.1,13.0,13.4,5.5,1746.3612891946395,1618.9720319411917,1980.5555555555554,1716.28686793413,1793.7669845699354
6,2.1,23.9,,2.3,51.6,13.1,25.63,1.4,5892.426025574399,5042.8682125760115,6319.444444444444,5879.122883325603,4983.776966932991
7,7.1,20.6,,2.4,51.4,13.1,17.86,6.9,5044.749506056593,4590.866255663044,4644.444444444443,4629.151110192454,4138.417330676513
8,10.8,20.2,,3.3,60.3,13.1,22.73,3.9,5931.620790066926,5196.746238209004,5936.11111111111,5828.380384912512,5065.207851185223
9,10.9,13.1,24.2,2.0,90.5,13.2,2.78,8.5,610.1205203378711,596.2403675563656,661.1111111111112,737.8676094458185,599.6157779740988
10,9.8,21.9,,2.3,72.9,13.2,22.26,5.6,2484.275150751536,2242.9802223362644,2447.2222222222226,2812.9684500805306,2062.390203578127
11,9.5,15.2,25.7,2.6,83.6,13.2,5.13,9.9,1425.0823962383026,1410.592621845074,1244.4444444444443,1444.189233545244,1272.502197381057
12,10.3,20.6,0.0,2.8,68.4,13.3,21.18,5.9,4351.461831567971,3900.3777822970847,4830.555555555555,4616.377971066218,3831.9044490599003
13,8.0,19.4,,4.0,33.6,13.3,26.72,4.8,6660.20077344424,5900.733928397484,6972.222222222222,6897.978747895257,5634.098281092117
14,4.3,16.5,,3.5,34.4,13.3,26.52,1.5,3672.2879894798366,3249.6635495811424,3486.1111111111113,3584.8222542843378,3058.6760014665183
15,4.0,17.0,,2.9,40.4,13.4,26.22,1.4,6559.3065549955745,5845.836006342996,6916.666666666667,6836.33970833764,5688.707738071576
16,4.1,17.3,,3.0,43.1,13.4,25.83,0.9,4575.281991222792,4136.807639332105,4177.777777777777,4659.9013066362195,3650.484644624558
17,6.0,21.2,,4.8,64.0,13.4,25.04,0.0,5571.0739232285005,4942.975529691924,6069.444444444444,5556.1430622785,4838.2722265089205
18,8.3,21.6,,2.5,57.8,13.5,26.05,1.4,5778.516264286597,5153.6102005088505,6161.11111111111,5762.884109813183,5014.725460939329
19,16.2,29.6,,2.4,77.3,13.7,23.94,5.5,6031.117134682582,5529.527043184341,6272.222222222222,5940.9324206759,4897.865136105937
20,14.2,21.6,,2.6,75.0,13.7,12.11,8.0,2853.359496098107,2697.1464893584866,2627.777777777778,2870.0314491885174,2293.7503043338843
21,13.1,27.0,,2.9,62.5,13.8,26.56,2.5,6540.286615245009,5988.964292196007,6447.222222222222,6296.388428184123,5568.5226710056195
22,12.8,22.9,,3.4,44.5,13.8,27.08,4.4,6557.459101858186,6012.977639801576,6308.333333333333,6262.241833918854,5501.378943305501
23,11.5,23.9,,2.8,61.0,13.8,23.83,6.8,334.62913441238567,332.2646023926811,725.0000000000002,265.2304121458232,449.7297529024433
24,15.5,19.4,36.0,1.9,95.5,13.9,2.94,9.6,669.9255071317571,658.5347218753468,761.1111111111111,694.9930012990926,660.936926813067
25,15.0,25.5,,2.7,78.0,13.9,19.64,6.0,5078.765240468207,4731.209947721438,5177.777777777778,4596.459382689336,4443.996528777082
26,13.3,29.8,,2.0,56.5,13.9,26.96,1.8,6634.245358991543,6162.9595952725695,7002.777777777778,6580.862980560197,5444.460290026625
27,16.0,24.9,,3.5,53.4,14.0,26.31,0.9,6435.536690831622,5986.234483371333,6797.222222222222,6420.041851248581,5230.138524190204
28,11.3,26.4,,2.3,48.9,14.0,27.83,0.0,6404.658486494013,5942.513297131718,6033.333333333332,6280.1403958804685,5106.795877605797
29,11.4,26.5,,2.1,50.3,14.0,23.58,6.0,4997.054592289542,4719.134992531983,5152.777777777778,4764.976766152954,4073.432015115497
30,15.1,17.5,7.1,1.6,86.0,14.0,3.2,9.5,578.7796923507708,577.4434104425765,797.2222222222221,792.7064025388848,595.5808515761719
31,15.9,28.0,0.2,1.4,84.3,14.1,20.06,9.3,1062.4041136905846,1011.917668701076,1300.0,1151.4497784421076,1673.236515206745
32,16.6,24.4,,1.9,81.1,14.1,22.07,7.4,340.32372881355934,336.8973163841808,591.6666666666667,423.8688680346802,566.2057317661757
33,15.4,22.1,10.0,1.7,90.4,14.1,6.55,8.4,524.3331363976525,516.0606650517941,1405.5555555555554,960.712635430876,986.9346181357772
34,12.3,19.5,1.6,2.9,70.8,14.1,13.78,5.3,1350.9180053364873,1302.3356805820222,2188.8888888888887,1787.9077152734517,2313.4819516149537
35,10.3,23.0,,2.1,69.4,14.2,21.36,4.6,319.70500572293605,312.89061346182245,936.1111111111112,455.2812120687755,494.7825881456464
36,13.5,20.3,,1.7,72.9,14.2,13.16,9.1,1716.2332165240794,1675.6367037998903,1469.4444444444446,1332.3473446237851,1497.4000461219139
37,12.3,23.0,,2.7,71.4,14.2,20.42,5.8,2570.092060534056,2491.6972176179206,3516.666666666667,3026.431514943472,2477.165858377072
38,13.2,25.4,,2.5,71.3,14.2,27.33,3.0,5564.73756695282,5249.990406475443,6358.333333333334,6272.48300231455,4691.73028351205
39,12.9,26.4,,2.9,77.9,14.2,20.43,7.5,5229.619756287269,5004.1505790337915,4991.666666666667,5260.622547524015,4175.832307924985
40,16.3,27.0,,1.4,74.9,14.3,16.71,9.1,3620.630782828202,3516.656726393808,3483.333333333333,3650.6840737320426,2897.2469541046953
41,15.6,25.4,,1.5,74.1,14.3,15.3,8.0,3037.875746183641,2991.7638072453865,3705.5555555555557,2865.4248507817683,2897.7755675392227
42,14.6,27.8,,1.7,60.9,14.3,27.41,4.8,5734.572972819248,5486.627715712441,5655.555555555556,5772.527294164884,4720.39939272978
43,12.6,28.2,,1.9,59.1,14.3,26.25,3.3,6219.810867403486,5958.100577545692,6755.555555555556,6435.6320576921735,5181.772355921797
44,13.3,28.5,,2.0,54.4,14.3,26.23,3.0,6436.667337415773,6139.545261597736,6847.222222222223,6479.838104472388,5391.499058855604
45,14.5,27.0,,1.2,53.0,14.4,17.97,9.1,4312.416551313995,4216.654623847755,4425.0,4208.887119022441,3648.537021115091
46,14.7,26.3,0.5,1.5,72.8,14.4,16.58,7.9,3814.192788260833,3724.856431076229,3791.666666666666,3121.247244334206,3522.743241862649
47,17.8,31.2,,2.2,57.5,14.4,25.34,4.1,3686.1156299840513,3529.798775347459,3386.111111111111,3888.730289564587,2847.304316879453
48,14.9,29.0,,2.4,47.1,14.4,27.26,3.9,3782.5928998523823,3650.766074953144,3088.8888888888896,3814.5585581872024,2790.7135503919885
49,16.7,28.5,,2.7,76.6,14.4,20.45,7.3,3977.21948015846,3853.64592755614,4558.333333333334,3695.650869746322,3572.349356037812
50,19.4,31.0,,2.6,73.9,14.4,26.56,4.4,6060.015942028224,5811.873710054187,6766.666666666667,6219.179452263876,5069.9591521036
51,18.9,31.2,,1.7,69.0,14.5,21.02,4.6,4988.672494172493,4807.918997668998,5263.888888888889,4935.359815964538,4117.829750735026
52,19.9,28.4,,3.3,63.3,14.5,20.54,7.5,2503.916666666667,2399.833333333333,3922.222222222222,2845.2438857727907,2381.5728643216075
53,17.6,31.5,,2.3,48.0,14.5,27.66,0.8,5796.704545454546,5526.818181818182,5813.888888888889,5952.546775506465,4717.920686767168
54,15.7,31.8,,1.5,47.6,14.5,27.29,0.3,5171.969696969696,4921.477272727273,4927.777777777778,5353.698135307031,4052.8190421806
55,16.3,33.8,,1.8,54.4,14.5,27.85,0.3,5310.14393939394,5055.121212121212,5033.333333333334,5486.861209711407,4249.794350540582
56,19.6,32.6,,2.0,65.3,14.5,26.94,5.0,5013.121212121211,4794.060606060605,5177.777777777778,5436.361494372149,4070.470389827927
57,21.8,30.2,12.0,2.0,86.8,14.5,15.53,7.4,1842.3863636363635,1794.7424242424245,1961.111111111111,1903.51401310602,1653.1857925993604
58,22.3,30.6,0.7,2.0,84.8,14.5,18.53,7.9,1072.4924242424242,1077.1969696969697,1769.4444444444443,1029.1212544338052,1022.327135678392
59,20.8,28.1,40.0,2.0,93.1,14.5,10.13,10.0,1714.3333333333333,1703.5,1441.6666666666665,1385.7353272964094,1478.3794807370184
60,22.0,28.4,13.1,3.1,88.0,14.5,7.21,8.8,968.3333333333333,995.0,1261.111111111111,803.9686532649528,971.6589614740368
61,19.5,32.2,,2.1,61.9,14.5,28.6,4.3,5478.878787878788,5264.886363636362,4794.444444444444,5248.994039278252,4182.611207552915
62,19.8,31.5,,2.5,57.0,14.5,28.98,5.1,6378.583333333334,6180.590909090909,7075.0,6660.29140790766,5314.0555428658445
63,17.7,28.8,0.1,1.2,62.9,14.5,16.7,9.4,3839.7272727272725,3768.6136363636365,4133.333333333333,4145.400270700452,3117.9968174204355
64,17.0,20.2,29.5,2.5,95.4,14.5,4.0,9.8,1051.6666666666667,1034.4999999999998,980.5555555555555,925.1687315005713,992.4454773869345
65,19.2,28.4,0.0,3.1,70.6,14.6,25.38,4.5,3717.4393939393935,3624.651515151515,4147.222222222223,4032.5749250318836,3255.739393939394
66,19.6,28.6,,2.1,70.6,14.6,24.66,6.6,5013.166666666667,4864.916666666667,4950.0,4651.434235510415,4299.106197654942
67,17.8,28.9,,2.6,68.3,14.5,30.32,2.0,2743.787878787879,2646.69696969697,3525.0,2916.540236488801,2424.2635373838893
68,15.8,30.6,,1.5,68.4,14.5,29.83,0.1,6111.128787878788,5905.39393939394,6027.777777777778,6223.2829050647715,4910.982815593117
69,18.1,32.1,,1.6,65.9,14.5,29.01,4.3,5407.507575757576,5245.40909090909,4975.0,5404.14938188693,4194.444594183037
70,19.4,27.4,17.8,1.4,80.3,14.6,,9.3,2105.719696969697,2101.924242424242,1872.2222222222222,2066.4651410454285,1767.445682960256
71,20.9,24.9,28.1,1.9,97.1,14.5,,9.5,1004.0000000000001,1005.9166666666666,397.2222222222223,244.15915843771006,901.0685929648241
72,21.5,32.0,,2.5,73.8,14.5,28.49,2.5,6270.704545454547,6084.136363636365,6622.222222222223,6419.959574104466,5106.37797319933
73,20.5,31.6,,1.5,75.4,14.5,20.35,6.8,5179.772727272726,5049.159090909091,5027.777777777777,4788.143992712993,4122.33320389828
74,20.4,33.7,,1.5,75.3,14.5,23.95,3.4,3254.689393939394,3189.977272727273,3294.444444444444,3183.766012960745,2627.040688289934
75,19.5,27.5,70.4,1.9,88.0,14.5,9.72,8.8,2074.871212121212,2068.7272727272725,2322.222222222222,2420.536962569728,1751.8748439165527
76,20.4,26.0,5.9,4.4,80.4,14.5,6.52,8.4,816.9166666666666,816.75,291.6666666666667,255.18185770936424,677.1362646566164
77,20.0,27.6,,1.9,76.0,14.5,15.45,6.0,1419.1666666666665,1388.6666666666667,1405.5555555555559,1215.1332214013441,1248.668592964824
78,18.3,28.8,,1.8,71.6,14.5,18.73,7.5,4450.954545454546,4300.30303030303,4447.222222222223,4369.615315923762,3555.1821912593273
79,18.8,23.0,5.1,2.5,81.4,14.5,6.9,8.8,1255.9358974358975,1260.076923076923,1641.6666666666667,1492.8964650635846,1132.2699394407937
80,18.8,25.2,,1.9,82.4,14.5,11.02,8.8,1021.4166666666665,1016.5833333333333,1177.7777777777778,1071.0007769683505,0.0
81,19.7,28.7,,1.7,77.4,14.5,22.02,7.9,4147.044871794872,4064.1538461538457,4713.888888888889,4316.788701587965,0.0
82,20.2,28.4,0.0,1.4,88.1,14.5,6.78,9.7,1197.4551282051282,1192.5512820512822,1005.5555555555555,958.4360839719513,0.0
83,22.6,30.2,,2.9,84.5,14.4,23.39,5.9,4576.2307692307695,4383.435897435897,4811.111111111111,4496.957529909958,0.0
84,21.5,31.2,,1.6,75.4,14.4,21.47,5.0,3602.916666666667,3493.75,3836.1111111111113,3426.3453207979883,1291.0624181513626
85,20.7,29.2,1.2,1.8,84.4,14.4,12.35,8.1,1732.4469696969697,1698.5075757575755,1422.2222222222224,1660.5268894633177,1358.066917922948
86,21.4,27.5,80.4,2.5,96.5,14.4,5.72,9.2,776.3653846153848,767.4423076923077,1033.3333333333333,705.3255276725329,744.0059065724894
87,22.3,30.5,,2.2,85.5,14.4,14.55,,4050.5303030303025,3932.234848484849,3791.6666666666665,3799.7337809272053,3130.746619460941
88,18.9,22.4,23.7,3.0,89.3,14.4,4.59,,907.4871794871796,911.5448717948717,886.1111111111111,775.0237194875776,847.4100502512562
89,18.9,20.4,83.5,3.5,95.8,14.4,2.79,7.7,708.75,708.2499999999999,672.2222222222222,563.9670677379961,699.4804020100503
90,19.2,22.5,0.5,2.5,89.3,14.3,8.65,8.9,1496.9166666666665,1508.0192307692305,2150.0,1938.0140575628104,1302.392172400464
91,19.1,22.9,1.0,2.3,83.8,14.3,9.76,8.3,1578.4423076923076,1566.3910256410256,2005.5555555555554,1758.3226089376749,1439.198054374436
92,18.4,28.5,,1.7,74.1,14.3,24.76,5.0,5593.295454545453,5318.272727272726,5708.333333333334,5263.942341178872,4887.519262981574
93,17.1,29.1,,2.2,75.9,14.3,29.09,1.1,6404.083333333334,6100.166666666667,6688.888888888888,6435.619872387875,5304.2592431856265
94,17.9,26.9,,1.7,78.0,14.3,15.14,7.1,3053.75,3012.833333333334,3572.222222222222,3529.9443685509873,2506.3451728338664
