,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,3.6,14.8,,1.6,31.8,12.9,25.32,0.0,6890.251509054326,6289.05352112676,6505.555555555556,6679.62880332113,9383.093893360157
1,2.4,15.4,,1.2,41.0,12.9,24.28,1.6,6598.524748490946,6033.226559356137,6263.88888888889,6423.029924601311,8808.159103607153
2,5.2,15.6,0.0,1.1,41.9,13.0,19.12,6.5,3938.746076458752,3820.2517102615693,4025.0,4311.258088459119,5294.1472198407855
3,5.5,15.8,0.0,1.0,49.0,13.0,17.84,4.6,4543.80120724346,4372.749698189135,4605.555555555556,4799.1405945260485,6231.518720146969
4,3.0,14.4,0.0,1.9,56.1,13.1,13.88,4.0,2861.338541393287,2592.5470533344997,2205.5555555555557,2075.7918834717216,4141.730160965795
5,2.8,17.7,,1.2,34.3,13.1,24.38,3.9,5842.112676056338,5408.0732394366205,5813.888888888889,6148.488043522911,7993.611680080483
6,3.0,21.3,,1.0,27.9,13.1,25.26,1.4,6957.3949698189135,6400.5046277666,6452.777777777778,6646.549651308702,9083.763200361594
7,5.0,21.9,,0.7,31.0,13.2,22.24,5.6,5184.915492957746,4960.136820925553,5713.888888888888,5888.582770054736,6869.566638818417
8,7.9,23.2,,1.6,33.8,13.2,22.98,3.0,6171.815090543259,5752.718309859154,5925.0,6100.305981419785,8030.817032193158
9,8.2,16.4,6.4,2.1,66.1,13.2,4.66,7.1,1130.6452716297786,1079.9949698189134,811.1111111111111,714.8366654212011,1670.4324703292216
10,7.9,17.9,0.0,0.8,62.1,13.3,17.5,4.0,2980.7048289738427,2731.32555331992,3130.5555555555557,2938.6154824404557,4215.948992651561
11,8.6,15.8,9.1,0.8,69.3,13.3,6.52,9.3,1197.6688128772637,1258.5879275653926,1427.7777777777778,1522.0399008234494,1798.0672040941301
12,8.1,13.9,0.2,1.6,70.8,13.4,8.24,5.6,1264.205633802817,1292.1327967806842,1511.111111111111,1676.4183083284674,1891.482520631032
13,4.4,12.3,0.0,3.0,42.6,13.4,23.79,5.4,4936.082293762575,4502.618712273642,4766.666666666667,4847.928592352431,6831.202002012074
14,3.7,9.7,,2.5,40.4,13.4,18.37,6.0,3003.154124748491,2982.8991951710263,2450.0000000000005,2744.4962886786225,4317.552689761758
15,2.4,14.3,,2.6,40.1,13.5,24.77,3.9,5199.587434753449,4938.021858688362,5405.555555555556,5612.5351735434215,7205.018370221328
16,2.8,16.1,,2.1,41.4,13.5,24.14,0.8,5643.621327967807,5351.60985915493,5394.444444444445,5564.01538818353,7723.412172017612
17,7.2,20.5,,2.4,39.1,13.5,19.68,2.0,4729.527766599598,4557.772434607646,4533.333333333333,4655.837747284301,6403.960050301812
18,6.3,17.8,0.0,1.3,41.5,13.6,19.49,4.4,4322.828772635815,4196.752112676056,3661.111111111111,4047.4272920271196,5584.972213279678
19,16.2,27.1,,1.1,56.5,13.9,20.93,5.1,5501.794192155362,5325.3561861970775,5372.222222222222,5276.805467190093,7317.284987209157
20,12.3,22.4,0.4,1.0,67.8,13.9,9.55,7.8,1672.7991076896162,1762.5425859504858,1697.2222222222222,1856.1816632912544,2325.5289503688796
21,11.7,26.9,,1.1,49.3,13.9,27.07,2.6,7069.3349079987165,6764.706389058991,6872.222222222223,6795.124057889956,9119.060391187708
22,12.2,26.0,,1.5,23.0,13.9,25.82,5.8,5637.374253882116,5580.645361338149,5666.666666666666,5805.050490328171,7312.907683268071
23,13.8,26.8,0.8,1.4,28.1,14.0,24.36,7.1,238.6490275893261,248.24242424242425,555.5555555555555,380.38163364411446,321.8311171415649
24,12.8,18.4,9.2,1.4,86.1,14.0,2.58,8.6,610.9633802816902,629.0247484909457,625.0,646.4923558371445,935.7752316799347
25,12.8,17.0,0.8,0.9,81.3,14.0,4.02,9.3,1095.848490945674,1137.362374245473,863.8888888888888,896.7126209677753,1645.7968283228788
26,14.6,23.1,0.0,1.6,49.4,14.1,23.06,7.6,5671.768209255533,5498.437022132797,5666.666666666667,5649.727889711382,7492.232583034438
27,11.2,19.9,0.8,1.7,60.5,14.1,16.51,6.6,4624.932193158954,4602.121126760563,3525.0,3703.5818121679267,6183.033923541247
28,8.5,22.7,,1.5,44.8,14.1,28.82,0.6,6981.629778672032,6789.9344064386305,7094.444444444444,7060.0479587953905,9203.48123888257
