,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,-2.4,2.9,,1.2,44.8,9.6,3.59,7.9,1.9387755102040816,2.326530612244898,69.44444444444443,7.975174916758612,7.06039499472335
1,-5.0,2.4,,2.2,39.0,9.6,10.42,0.0,5279.1243139999415,3365.310159507771,3330.555555555555,4866.969355563589,3874.1274084546967
2,-5.9,2.1,1.3,2.0,57.4,9.6,5.83,5.0,4053.9258040999616,2716.770259236579,2994.4444444444443,4215.030676718788,3181.8922228907386
3,-7.8,0.6,,1.7,44.3,9.6,10.4,0.0,3155.307453416149,1989.0333333333335,2494.444444444445,3009.7771045959585,2338.9487321418023
4,-7.8,3.2,,1.0,46.8,9.6,8.83,3.6,3642.9004140786747,2422.796480331264,2861.111111111111,3807.0847651323393,2589.497171403476
5,-2.6,2.1,0.3,0.9,63.8,9.6,3.19,9.3,622.2677018633541,575.7070393374742,683.3333333333334,767.7577595281283,485.11664261664254
6,-1.5,5.9,0.3,1.8,60.1,9.6,8.92,1.3,2809.309937888199,1911.0356107660457,2213.888888888889,3087.695980037671,2269.3378314275915
7,-2.8,7.4,,1.4,56.3,9.6,7.67,3.0,1848.496887205586,1225.381784826607,1258.3333333333335,1988.5079866898031,1192.8867020129683
8,1.3,9.5,,1.4,53.4,9.6,9.29,2.9,4060.490296596287,2709.127259550483,2711.1111111111113,4023.3090009603384,3055.9881136504728
9,-1.1,10.4,,0.9,45.5,9.6,8.78,3.1,962.3310924369748,987.4567226890757,1075.0,1459.865528520963,897.1939698573033
10,0.4,9.8,,1.1,40.1,9.6,5.82,8.5,2301.618633540373,1587.7915113871634,1263.888888888889,1941.323836609984,1682.2734114002578
11,2.9,12.4,,1.5,48.9,9.6,8.93,4.3,4083.2207360102652,2695.7020237366223,2933.3333333333335,4345.143770402968,3065.147709258869
12,-3.4,7.5,,2.9,43.0,9.6,9.58,2.6,2184.6368150076933,1396.2052550597705,1850.0000000000002,2006.9812860208121,1675.5678771963323
13,-5.9,3.1,,1.6,35.9,9.6,10.5,0.3,2059.106356982474,1318.2719942845479,1966.6666666666667,2024.830664927467,1627.6541044435808
14,-4.0,5.2,,1.2,53.4,9.6,5.67,7.4,3239.058592132505,2356.712836438923,2680.555555555555,4149.371333328893,2196.377113606458
15,-7.1,3.0,,2.8,40.8,9.6,9.97,4.4,3757.045134575569,2609.371014492753,2611.1111111111113,3791.153589540211,2914.9895328234984
16,-12.5,-6.5,,3.5,28.3,9.6,10.44,0.5,4098.92035152089,2619.2737424547286,2988.888888888889,3855.7441488348413,3168.330230797681
17,-14.4,-6.6,,2.5,33.0,9.6,10.36,0.6,3028.966459627329,1878.016563146998,2319.4444444444443,2770.282469529699,2298.95823383357
18,-10.5,-3.0,,2.9,29.0,9.6,10.57,0.0,2470.1931677018633,1561.8879917184263,1997.2222222222224,2308.0050831473563,1656.7989557168871
19,-11.3,-0.9,,1.2,35.9,9.6,10.48,0.8,3857.3259061616077,2501.0977750561337,3122.2222222222226,4022.2623624767316,2772.33002051804
20,-10.5,-0.5,,1.2,39.6,9.6,9.16,1.6,3387.768976175896,2357.2289884232932,2355.5555555555557,3486.677690274471,2632.4694986559907
21,-8.2,-0.6,,2.1,49.5,9.6,7.84,3.4,4391.183955909369,2982.1163094509084,3397.222222222222,5084.10498602037,3097.4169277099445
22,-8.8,0.2,,1.7,42.8,9.6,10.48,0.0,4140.2163561076595,2638.4163561076607,2977.777777777778,3848.8360869784,2981.021100633666
23,-8.4,3.2,,1.4,38.8,9.7,10.28,0.1,4649.421739130435,2896.6942028985513,2997.2222222222217,4410.596871987948,3150.8089898728485
24,-6.2,4.1,,1.2,55.5,9.7,6.2,5.5,2648.320511303113,1883.0300390578768,1605.5555555555559,2783.2371103502805,1848.158042262288
25,-5.5,1.1,,2.2,40.3,9.7,10.05,0.5,918.4731781996325,595.9635902370746,894.4444444444443,801.7969912365423,706.449828363187
26,-6.3,2.7,,1.2,35.0,9.7,9.64,3.1,2215.924844720497,1406.4857142857143,1661.111111111111,1933.0021502158625,1703.9516347742433
27,-6.2,3.1,,1.4,46.4,9.7,8.71,4.0,4761.41635610766,3122.2857142857147,3155.5555555555557,4638.840242254259,3534.5284459350046
28,-7.2,0.5,,2.6,31.0,9.7,10.46,0.0,4749.7,3126.585714285714,3155.5555555555557,4673.816165367624,3491.6462456374543
29,-9.4,1.3,,1.3,28.8,9.7,8.47,4.9,1612.4617822879306,1171.318374012189,1455.5555555555554,1921.547364922788,1193.49171187576
30,-4.5,3.0,,1.3,48.8,9.8,5.92,8.1,3407.2882454145165,2292.596696118742,2486.111111111111,3231.2678392176,2750.230947210955
31,-0.4,7.2,,1.0,58.8,9.8,8.53,6.1,4123.9523138833,2787.484469133643,2838.8888888888896,3981.7628317711356,3079.3579153826795
32,-0.6,8.0,,1.3,47.6,9.8,7.71,3.9,656.989128976759,646.260671274021,1011.1111111111111,1131.5234361035,663.6729105524973
33,-3.0,7.6,,1.4,54.3,9.8,9.97,0.0,4815.577674744118,3202.604922287347,3255.555555555555,4766.150929040203,3732.14638046771
34,-2.4,5.3,,0.9,68.6,9.8,6.03,4.5,4880.832505175983,3308.760041407868,3375.0,4989.641260985318,3655.5692864272314
35,-7.2,2.6,0.0,2.7,58.8,9.9,6.93,3.8,4257.881424780567,2989.5958679613914,3083.3333333333335,4440.049125626246,3330.3720713950875
36,-10.1,-1.1,0.0,2.3,45.9,9.9,10.36,4.1,5192.086542443064,3412.038716356107,3638.888888888889,5024.183382459855,4187.890203375709
37,-3.2,4.0,0.0,1.7,45.8,9.9,11.07,1.8,5483.042650103521,3683.33850931677,3633.333333333333,5337.819285925731,4065.8525000635855
38,-4.6,6.7,,1.3,44.0,9.9,10.4,3.0,5555.3714285714295,3671.085714285714,3672.2222222222217,5384.844352470772,4156.920372927847
39,0.0,8.5,,1.2,59.8,9.9,6.27,7.8,3436.4816901408453,2410.164989939638,2486.111111111111,3806.7782814428683,2664.5434873691656
40,-5.5,4.0,,3.2,38.5,10.0,11.56,1.1,5101.994616977226,3417.896809844575,3575.0,5135.588383481803,3963.0899771974155
41,-6.7,4.2,0.0,1.6,57.8,10.0,3.07,4.1,5899.7,3862.857142857143,3861.111111111111,5651.84377077485,4434.961532555694
42,-3.3,7.1,,1.7,62.0,10.0,9.85,1.1,5521.25672877847,3679.732712215321,3700.0,5411.184311917519,4171.026104529663
43,-0.8,7.0,,2.3,48.9,10.0,10.85,0.9,4931.018913480886,3390.6659959758554,3522.222222222222,5104.495086279063,3667.923050945108
44,-4.6,6.5,,1.7,34.9,10.1,11.71,2.1,5981.028571428571,3972.671428571429,3969.4444444444443,5781.407667109123,4415.628518669558
