,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,5.2,14.2,,3.5,25.5,12.9,24.86,0.0,4692.231117141565,4853.875169606514,5902.7777777777765,4540.056493657435,5096.72153933413
1,4.3,14.7,,2.8,44.6,12.9,24.79,1.3,4890.688150158299,5302.329941203076,6369.444444444445,4874.208345375211,5398.160219078248
2,5.8,16.8,,2.4,52.6,13.0,21.07,4.8,2491.257575757576,3117.9776119402986,3025.0,2314.560994872499,3004.0913921112765
3,6.2,16.0,,2.5,63.8,13.0,19.4,4.8,3038.5429669832656,3398.890547263682,3969.444444444445,3051.6165345052586,3443.4157587233176
4,4.4,15.6,,3.8,58.6,13.1,19.25,3.1,1935.3516508367254,2397.683175033921,2594.4444444444443,1984.942117036573,2373.000180992944
5,4.3,20.4,,3.1,39.4,13.1,26.02,1.9,4191.690867341613,4021.3175590578576,5516.666666666666,4225.738429519727,4247.3637235437745
6,7.6,19.6,,2.4,46.8,13.1,25.93,1.3,4990.007688828585,5333.1614654002715,6669.444444444445,5101.604804831566,5284.841484438073
7,7.2,20.2,,2.2,39.8,13.2,21.49,5.4,4079.0431931252824,4403.564224332881,5563.888888888889,4259.67231740588,4376.853689173457
8,8.9,23.8,,2.3,39.9,13.2,22.96,2.9,4231.211216644052,4694.867706919946,5602.777777777778,4333.986793077992,4536.934696271493
9,10.4,15.4,6.5,2.4,77.8,13.2,4.23,9.1,701.5777928539121,732.7523744911805,930.5555555555555,699.9592054827979,879.8721342127254
10,8.5,19.6,,2.6,67.9,13.3,23.09,2.6,3852.8168249660785,4062.4773857982814,4386.111111111111,3428.563837102457,4165.18318797572
11,9.5,15.5,10.3,2.7,75.8,13.3,5.25,9.5,1079.2498869289914,1156.5492989597467,1286.111111111111,981.8204507429169,1377.569780963585
12,7.6,13.1,0.1,3.3,73.0,13.4,7.34,7.4,453.0999547715966,496.7620985979195,694.4444444444443,524.4880241959621,590.193526939301
13,4.8,10.4,,4.4,49.0,13.4,23.63,3.6,3372.899366802352,3835.862731795568,4391.666666666667,3353.8455237540993,4055.9023974941247
14,4.1,8.3,0.0,4.0,46.8,13.4,15.89,4.1,1026.5646766169152,1087.2383536861148,1397.2222222222222,1088.0246268479789,1220.1034026102548
15,2.9,12.8,,3.7,47.8,13.5,25.72,1.6,3917.767978290367,4237.138398914518,5436.111111111111,4119.9773184764645,4515.903053558943
16,4.1,14.3,,3.9,55.6,13.5,26.61,1.8,5091.064224332881,5307.439167797376,6702.777777777777,5123.53224773048,5625.289879335462
17,9.9,17.1,,3.9,54.4,13.6,18.9,3.3,1674.4638172772502,1638.0244233378562,2269.4444444444443,1754.8045433834307,1758.9422201765547
18,6.8,19.0,,3.2,43.1,13.6,28.36,0.8,3110.2600633197644,3443.93328810493,4016.666666666666,3058.38640497834,3431.830880267084
19,14.8,25.3,,2.7,63.9,13.9,25.42,3.4,4151.479360252826,4234.973809296176,5427.777777777777,4164.7710471877745,4265.025451590027
20,13.1,19.3,,1.9,67.9,13.9,9.41,5.4,1379.1182722749888,1280.6535504296696,1447.2222222222222,1074.2611628122204,1499.090744364865
21,11.1,27.6,,2.1,50.0,13.9,28.51,1.8,5181.675486205337,5205.065581184984,6569.444444444443,5006.394119679866,5197.299746511415
22,14.9,26.5,,2.5,32.5,14.0,23.93,6.8,3292.0553317720537,3593.133740133576,4472.222222222222,3424.173658400465,3567.420297599858
23,14.3,27.3,2.3,2.4,32.8,14.0,23.26,7.4,99.2489406779661,106.35858050847457,391.6666666666667,257.21122548231335,124.13155638072963
24,12.7,16.8,24.4,3.6,94.4,14.0,3.0,10.0,392.8726820443238,428.36295793758484,766.6666666666667,590.6187608343705,584.3229994126407
25,12.8,16.6,1.3,2.5,88.6,14.1,6.77,9.0,836.8165988240617,876.1236996834011,1275.0,955.1740460220891,1044.6898125686225
26,12.4,22.0,3.4,3.0,61.0,14.1,22.98,8.1,3905.7605156037985,4422.258480325645,5194.444444444444,3993.6115016052167,4437.098028753452
27,10.5,18.9,0.7,2.9,69.4,14.1,13.6,3.3,1085.347354138399,994.8215739484398,1361.1111111111109,1054.975294559327,1149.853214181612
28,10.2,21.8,,2.8,47.3,14.1,29.7,0.6,5776.2164179104475,6045.086160108549,7305.555555555554,5578.909195785169,6246.349806258028
29,12.4,25.4,,2.0,35.4,14.2,20.64,8.3,3442.2795115332433,3785.725237449118,4425.0,3444.0195003128715,3784.044533229463
30,14.1,20.2,12.0,3.0,81.4,14.2,3.43,10.0,533.4340794902755,585.1480167329132,844.4444444444443,651.3321205648779,780.1636035922064
31,15.0,20.3,2.5,1.6,90.3,14.2,7.6,9.5,692.5911352329263,688.3635232926277,1247.2222222222222,932.5150696321173,1600.560135259323
32,14.6,24.9,0.0,1.7,80.1,14.3,15.26,7.1,968.7683175033922,1026.9710538218,1330.5555555555554,1055.165187077664,2200.8288010143324
33,13.2,26.8,29.8,2.4,79.4,14.3,14.07,8.5,434.4742198100407,484.0249886928991,630.5555555555557,495.55441833590316,996.2707339577463
34,10.1,17.1,19.0,3.2,73.6,14.3,15.29,7.6,942.2769109000451,964.2362053369516,1461.1111111111113,1086.91563803118,2212.9623329704405
35,9.2,20.1,0.0,1.9,60.4,14.3,20.91,6.0,1145.2683483409398,1209.2618827350848,2102.777777777778,1551.350106529125,2397.074334186749
36,10.9,22.9,,2.1,56.1,14.4,24.35,4.8,2074.951379466305,2124.020805065581,2552.777777777778,1929.3557394359107,2195.005945451026
37,14.8,22.7,0.0,1.9,68.5,14.4,13.07,8.6,2009.3570782451382,2125.0042966983265,2908.333333333334,2226.191199134801,2333.288602073941
38,16.6,25.0,0.0,2.2,66.1,14.4,23.24,7.4,2506.7019448213478,2760.412030755315,3386.1111111111113,2686.7562155007354,2757.3610009837903
39,14.3,20.2,14.5,2.9,84.8,14.4,10.59,8.4,1124.5696517412935,1086.8638625056533,1269.4444444444443,978.270907110792,1215.841142287229
40,13.7,21.3,,2.1,81.0,14.5,16.88,8.1,3242.7279511533247,3301.95816372682,3983.333333333333,3034.0518510470065,3590.9977292935387
