,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,4.3,11.0,4.1,2.5,62.9,12.9,16.57,3.1,2896.1084459870904,2965.097832176349,3216.6666666666665,2622.7388232463654,3347.561548755239
1,3.1,12.3,,2.3,53.6,13.0,18.77,3.6,3530.356521739131,3537.3037267080745,3405.555555555555,3657.2980939792797,4095.6339526938377
2,3.9,13.7,,2.2,60.4,13.0,22.08,4.3,5441.008074534162,5725.053830227742,5775.0,5545.160933506857,6166.558111565586
3,5.1,15.9,,2.3,51.0,13.0,18.89,4.4,4772.318426501034,5085.219875776398,4736.11111111111,4536.054587988017,5300.2029173139745
4,6.5,10.0,15.8,2.2,77.5,13.1,4.12,7.0,305.7801242236025,277.47950310559,750.0000000000001,615.6050213366004,352.8121774478614
5,5.0,13.8,,3.3,50.4,13.1,23.41,4.1,4888.698136645962,5253.622567287785,5166.666666666666,4806.497459730737,5564.027609799663
6,8.5,24.0,,2.8,23.4,13.1,25.13,0.5,5989.9627329192535,6400.146169772257,6422.222222222223,6019.739644616335,6342.752616359375
7,9.1,21.1,,3.1,53.9,13.2,22.01,4.0,5103.214906832298,5347.721739130434,5722.222222222222,5367.531774981179,5555.003227625444
8,7.3,14.6,,2.1,70.6,13.2,20.48,6.0,3423.893788819875,3628.3385093167703,4019.4444444444443,3709.284408855138,3934.5086827651403
9,7.7,17.3,1.4,1.9,72.6,13.3,9.0,7.9,582.368530020704,556.8792960662526,783.3333333333334,576.2891590835449,619.3288741069229
10,8.5,13.7,1.3,2.8,79.1,13.3,10.69,4.4,1737.8581780538302,1753.976397515528,2036.111111111111,1561.880314701346,1977.186594202898
11,7.3,13.4,23.3,1.8,82.8,13.3,6.78,9.1,1771.6919254658385,1654.41718426501,1713.8888888888887,1645.2873298474976,1912.8949762842517
12,8.3,16.6,8.7,2.7,65.4,13.4,17.69,6.4,2759.884265010352,2894.6215320910974,2805.555555555555,2693.3509476555923,2956.261718323497
13,5.4,13.6,,3.9,38.0,13.4,23.52,5.3,5143.227122153209,5385.5602484472065,5458.333333333333,4932.453748475672,5546.506039984039
14,5.0,12.0,,3.6,37.9,13.5,26.65,1.0,6209.82380952381,6491.328364389234,6733.333333333333,6312.469984929566,6832.266104462285
15,4.9,15.3,,3.0,41.0,13.5,26.3,3.0,1657.8026915113871,1680.8701863354036,1516.6666666666663,1665.3305925224251,1777.7832601121042
16,6.1,17.8,,3.9,32.0,13.5,23.7,4.3,4001.202070393375,4092.6523809523806,3975.0,4051.4820511457833,4123.115214594145
17,12.8,22.3,0.0,3.6,38.8,13.6,19.77,3.0,4283.867701863354,4407.180745341615,4486.111111111111,4350.114457199636,4436.103077213538
18,7.8,14.0,5.0,1.7,72.5,13.6,13.99,6.4,2832.9229813664597,2892.1345755693583,3152.777777777778,2427.61534252039,3001.697114766727
19,6.7,14.6,0.8,2.5,63.9,13.6,17.02,4.5,2538.261076604555,2512.925258799172,2491.666666666667,2724.844659821391,2681.1304070090396
20,8.7,22.1,,3.7,34.5,13.7,26.05,1.4,5216.5223602484475,5333.056107660455,5611.111111111111,5305.477524658456,5326.177034624383
21,15.6,24.3,,3.2,33.8,13.7,24.55,2.3,4041.1658385093165,4078.1863354037264,4388.888888888889,4040.473159073201,4119.9982048174525
22,15.8,26.8,,4.1,32.9,13.7,24.98,4.6,3740.56563146998,3724.4600414078673,3541.6666666666665,3701.5253205220156,3693.9583287044056
23,20.1,32.5,,4.1,42.1,13.8,25.68,1.4,6038.225879917184,6192.989026915114,6444.444444444445,6023.081505854126,5932.246054469862
24,22.8,27.9,,4.4,52.8,13.8,21.14,5.9,4542.0871635610765,4599.054658385093,4602.777777777777,4514.699681534837,4574.519617398038
25,19.1,26.9,0.0,1.9,60.1,13.8,16.78,7.5,1551.0832298136647,1513.3844720496895,1594.4444444444446,1318.546512968007,1563.7054251039408
26,12.5,27.1,0.3,1.8,79.5,13.9,14.4,6.5,2194.4260869565214,2149.717391304348,2052.777777777778,2292.8170411503156,2239.414232692016
27,12.5,18.9,,1.2,76.9,13.9,13.58,6.4,2001.9368530020704,1898.4900621118013,2169.4444444444443,2112.3229597165478,2055.553605514316
28,11.6,20.6,,1.8,75.6,14.0,27.42,1.4,6532.187991718427,6640.803519668736,6961.111111111111,6479.863949490472,6501.648735040146
29,9.3,20.7,,2.0,59.0,14.0,21.58,6.9,3870.0939958592135,3789.8155279503108,4113.888888888889,3989.794444688266,3890.929519096433
30,9.7,22.3,0.9,1.5,66.8,14.0,25.81,7.6,4775.645548654244,4851.588819875777,5305.555555555556,5033.649857576315,4962.042160278745
31,13.4,18.2,26.7,1.1,93.5,14.0,6.02,9.4,794.2101449275361,729.1151138716356,1211.111111111111,966.5694014633713,872.1638442263258
32,15.4,22.8,,3.6,62.0,14.1,20.84,4.1,2894.453623188406,2900.6612836438926,3058.3333333333335,2994.149398752735,2880.010073686596
33,17.1,25.8,,4.0,36.8,14.1,27.76,4.4,5003.044927536232,5038.794824016563,5277.777777777778,4744.810738051295,4853.513489340593
34,15.0,22.8,,3.8,46.6,14.1,26.44,3.9,3194.0981366459628,3129.526915113872,3369.4444444444443,3233.827342379832,3174.9716095204426
35,13.6,25.9,,3.8,30.5,14.2,28.93,0.8,6769.978881987578,6769.568530020704,7138.888888888887,6675.744447480765,6567.991233651466
36,19.5,29.3,,3.1,22.9,14.2,22.47,8.1,5085.051759834368,5088.708902691511,5063.88888888889,5024.933260848534,5008.075621068505
37,14.8,22.5,10.0,1.9,72.3,14.2,4.19,9.4,818.2681159420291,752.156314699793,741.6666666666666,631.6877756417709,892.9805677590938
38,14.2,17.8,,1.4,88.4,14.3,7.07,8.8,1417.780745341615,1324.3484472049688,958.3333333333333,972.1826030116221,1474.8040187513673
39,15.3,24.9,,1.6,82.6,14.3,23.19,4.3,4693.943271221532,4687.919875776397,4572.222222222223,4758.9398714510535,4847.258941406184
40,14.7,18.1,22.1,2.2,96.4,14.3,6.36,8.9,294.7198757763975,266.18426501035196,561.1111111111112,507.6058749823739,340.2416367890387
41,9.2,16.7,26.0,3.4,84.9,14.3,6.52,9.3,973.764596273292,892.4815734989648,1169.4444444444446,1128.655956485227,1069.5009418755133
42,8.6,14.2,5.0,2.7,81.4,14.4,10.58,7.8,1719.4906832298138,1623.3325051759834,1863.8888888888891,1515.2633383303585,1766.3790918488285
43,8.3,16.6,,1.9,72.9,14.4,24.54,6.0,5108.721903544027,5060.158805261236,5269.444444444444,5108.216105487589,5188.039116968809
44,12.4,17.2,4.1,1.8,81.1,14.4,10.85,9.1,1413.2898550724638,1304.0821946169772,1677.777777777778,1615.7678924072216,1452.4353002070388
45,12.7,20.9,0.0,1.5,81.6,14.4,25.62,7.9,4876.567214711971,4847.769358178053,5316.666666666667,4937.295892573561,4884.426816643943
46,14.6,24.8,0.4,1.7,70.5,14.5,17.51,4.8,2487.159420289855,2440.403105590062,2847.222222222222,2295.6319839470434,2415.7313853961523
47,18.3,25.2,,2.2,55.8,14.5,20.2,7.3,3767.6801242236024,3562.921532091097,3969.4444444444443,3854.801228210703,3709.325876550691
48,15.0,26.3,0.0,2.2,61.0,14.5,22.3,8.8,2427.84347826087,2378.8826086956524,2616.666666666667,2472.7760319918184,2346.8879917184267
49,15.0,24.5,,2.2,45.1,14.5,29.77,0.4,6917.455486542443,6815.300621118012,7302.777777777777,6810.682120330323,6698.801550270159
50,15.6,24.0,,2.1,56.9,14.5,23.34,5.6,2787.2387163561075,2678.208281573499,3047.2222222222217,2976.323405078162,2673.101838105337
51,14.3,24.5,,1.8,58.4,14.6,29.63,0.1,6837.981230493495,6697.835916689843,7255.555555555557,6736.4372478369605,6501.401787658185
52,13.1,27.5,,1.4,52.3,14.6,30.46,0.0,7042.188612836439,6886.518219461698,7475.000000000001,6942.820398980164,6699.143639307966
53,14.8,22.9,,1.4,68.6,14.6,27.59,4.3,5548.408488612836,5472.72049689441,5694.444444444443,5709.127773629888,5454.905848440472
