,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,4.3,11.0,4.1,2.5,62.9,12.9,16.57,3.1,1980.238591269841,1674.3219246031747,2302.777777777778,1899.2049130442447,1838.3538789682536
1,3.1,12.3,,2.3,53.6,13.0,18.77,3.6,39.095238095238095,42.03174603174603,238.8888888888889,146.6945806183404,45.07746031746032
2,3.9,13.7,,2.2,60.4,13.0,22.08,4.3,3981.394593253968,3228.9322916666665,3944.4444444444443,4024.6297918144687,3588.5629317956354
3,5.1,15.9,,2.3,51.0,13.0,18.89,4.4,4120.89384920635,3406.9084821428573,3841.6666666666665,3946.658596752113,3714.638753968254
4,6.5,10.0,15.8,2.2,77.5,13.1,4.12,7.0,394.61284722222223,383.95213293650795,800.0000000000001,728.5663269793336,422.92010569259486
5,5.0,13.8,,3.3,50.4,13.1,23.41,4.1,3744.195932539683,3115.3913690476193,3861.111111111111,3577.5047335826293,3340.126186755952
6,8.5,24.0,,2.8,23.4,13.1,25.13,0.5,6130.594494047619,5064.689236111111,5625.0,5696.01072357187,5293.0526574900805
7,9.1,21.1,,3.1,53.9,13.2,22.01,4.0,6011.877976190475,4971.146825396826,5722.222222222222,5919.344421430969,5378.7095751488105
8,7.3,14.6,,2.1,70.6,13.2,20.48,6.0,3398.889880952381,2806.7437996031745,3630.5555555555557,3545.602680193807,3022.5683333333336
9,7.7,17.3,1.4,1.9,72.6,13.3,9.0,7.9,574.5210813492064,511.9092261904762,633.3333333333333,510.89634655721363,570.6975870535715
10,8.5,13.7,1.3,2.8,79.1,13.3,10.69,4.4,1458.8102678571427,1366.3519345238096,1455.5555555555557,1181.522906239904,1393.7394920714928
11,7.3,13.4,23.3,1.8,82.8,13.3,6.78,9.1,1718.9997519841268,1631.3665674603174,1713.8888888888887,1826.4836925698353,1701.1994531249998
12,8.3,16.6,8.7,2.7,65.4,13.4,17.69,6.4,902.5042162698412,753.4744543650794,1136.1111111111109,1253.0121570431345,805.4251736111113
13,5.4,13.6,,3.9,38.0,13.4,23.52,5.3,5090.333333333334,4405.174603174603,4725.0,4664.2345477660165,4577.759996279761
14,5.0,12.0,,3.6,37.9,13.5,26.65,1.0,7313.967261904761,6228.713541666666,6733.333333333333,6952.970491449507,6694.9393683035705
15,4.9,15.3,,3.0,41.0,13.5,26.3,3.0,6202.491815476191,5242.6703869047615,6688.888888888888,7029.8458207857475,5621.469903721839
16,6.1,17.8,,3.9,32.0,13.5,23.7,4.3,4181.8692956349205,3559.3194444444443,3777.777777777778,4381.814580393439,3745.4222614087303
17,12.8,22.3,0.0,3.6,38.8,13.6,19.77,3.0,5081.115575396824,4344.664682539682,5050.0,5142.208097226608,4464.84924948634
18,7.8,14.0,5.0,1.7,72.5,13.6,13.99,6.4,3158.9675099206347,2896.277777777778,3152.777777777778,2659.525984973787,2889.7409605654766
19,6.7,14.6,0.8,2.5,63.9,13.6,17.02,4.5,1501.2165178571427,1336.4898313492063,1313.8888888888887,1486.3329403770203,1409.0642430555558
20,8.7,22.1,,3.7,34.5,13.7,26.05,1.4,6524.61433531746,5695.607390873016,6541.666666666666,6785.0951939741335,5797.284296378968
21,15.6,24.3,,3.2,33.8,13.7,24.55,2.3,4438.367311507937,3929.6507936507937,4388.888888888889,4384.444632181263,3907.765136160713
22,15.8,26.8,,4.1,32.9,13.7,24.98,4.6,2796.168898809524,2463.8053075396824,2525.0,3003.1364158714446,2429.446540178572
23,20.1,32.5,,4.1,42.1,13.8,25.68,1.4,6783.141329045058,5932.3168922811055,6444.444444444445,6352.606483099922,5659.095128632232
24,22.8,27.9,,4.4,52.8,13.8,21.14,5.9,3663.444940476191,3234.842757936508,3961.1111111111113,3801.0259247343774,3144.47267485119
25,19.1,26.9,0.0,1.9,60.1,13.8,16.78,7.5,1629.7234623015875,1500.8301091269843,1594.4444444444446,1348.7119752976796,1443.3648789682538
26,12.5,27.1,0.3,1.8,79.5,13.9,14.4,6.5,2210.25248015873,1950.8625992063494,1991.6666666666667,2343.8043643978554,1920.4418769841272
