,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,3.1,14.0,0.0,1.5,67.5,10.2,11.82,4.1,292.2347826086957,459.43596837944665,755.5555555555554,10.354985379334146
1,2.1,13.8,0.0,1.2,54.9,10.2,12.73,0.4,3351.4448595531658,4959.789122709433,3641.6666666666665,103.61499913067166
2,3.8,14.0,0.0,2.3,64.4,10.1,7.02,8.0,1701.8219461697722,2062.209937888199,1475.0,46.22061606100937
3,1.4,9.3,0.0,1.9,62.9,10.1,13.16,0.9,3272.203971390928,4845.265142104272,3508.333333333333,106.20471412599441
4,-0.6,9.2,0.0,1.2,57.0,10.1,11.59,1.8,3000.1591567852433,4378.461980048937,3247.2222222222226,94.65073328015292
5,3.2,10.1,5.2,2.0,83.3,10.1,2.79,7.6,1153.320515716168,1526.382251082251,1733.3333333333335,31.1729816705531
6,4.6,12.5,0.0,1.3,87.4,10.0,9.25,5.0,2119.2753530484224,2794.891906925003,2991.6666666666665,58.6984832978252
7,2.0,15.2,0.0,1.3,77.3,10.0,12.02,0.5,3097.9012854979756,4669.5788912579965,3230.5555555555557,99.57381526765037
8,3.5,16.2,0.0,1.2,82.6,10.0,9.53,4.4,2500.083557368437,3482.323092611477,3238.8888888888887,72.8317734372386
9,2.5,11.0,0.0,1.5,50.1,10.0,6.89,3.9,1847.606644080557,2438.6699040090343,2855.555555555555,55.7471371731589
10,0.8,11.3,0.0,0.9,54.1,10.0,6.18,4.4,1834.6741583559328,2341.3400334980897,2902.7777777777783,50.30692866805748
11,3.0,11.5,0.0,1.1,67.9,9.9,11.2,3.1,3030.752853324702,4655.365994849418,2841.6666666666665,98.76081709515854
12,1.7,12.3,0.0,1.0,72.3,9.9,6.37,6.6,1708.8337565234315,2135.7838904296214,2194.4444444444443,46.97212595016708
13,3.4,19.6,0.0,1.4,68.1,9.9,9.54,6.0,2379.6705562659845,3336.338288576301,2900.0,69.14862692792755
14,12.7,19.3,8.0,1.4,96.4,9.9,2.15,10.0,890.934356351236,980.5392156862744,1236.111111111111,22.32310196595107
15,4.6,13.9,15.3,2.2,88.6,9.9,4.11,9.4,718.9234179290446,750.2258541543707,991.6666666666665,17.388538647342994
16,-0.7,6.1,0.0,1.9,60.8,9.9,8.95,5.0,2148.794117647059,3193.8676470588234,1944.4444444444446,70.71889207662892
17,0.3,5.2,2.3,1.2,88.4,9.8,4.98,9.4,0.0,0.0,0.0,0.0
18,-5.5,3.1,0.0,3.7,56.8,9.8,10.01,6.9,0.0,0.0,0.0,0.0
19,-6.6,-1.0,0.0,1.9,55.5,9.8,9.45,5.6,0.0,0.0,0.0,0.0
20,-8.5,-0.5,0.0,2.0,46.9,9.8,12.17,2.5,0.0,0.0,0.0,0.0
21,-7.9,5.0,0.0,1.2,45.1,9.8,11.68,1.5,535.2857142857143,800.9841269841271,311.1111111111111,18.03161458333334
22,-2.2,0.7,2.2,0.7,82.5,9.8,1.79,9.5,0.0,0.0,0.0,0.0
23,-2.6,3.4,0.0,1.3,71.1,9.8,11.3,3.5,1347.8827252585418,929.5141886901793,1222.2222222222222,33.35720356775903
24,-2.7,6.0,0.2,2.0,72.8,9.8,6.17,6.4,1373.1037772968718,1129.0321726014822,1813.8888888888887,22.531315875992576
25,-3.4,2.2,0.0,1.4,61.3,9.8,11.23,2.6,3386.1687618860246,2376.8708013640244,2791.666666666667,56.981982403338804
26,-6.9,4.9,0.0,1.1,59.3,9.8,10.74,4.0,3866.758563899868,2716.8181624428425,3175.0,73.3401408295356
27,-2.1,6.3,0.0,1.0,73.0,9.8,5.18,7.8,171.92061923583663,156.6699604743083,124.99999999999999,1.832400911286781
28,0.9,8.3,0.5,1.7,81.0,9.7,8.84,6.0,654.3322531581803,503.20507343253513,1116.6666666666667,15.60375054896794
29,-0.3,9.5,0.0,1.9,77.1,9.7,7.29,5.6,3790.287743458587,2655.2214538658272,3005.5555555555557,85.93029071445714
30,3.4,12.7,0.0,1.6,72.5,9.7,7.74,6.5,2720.5727195225913,2033.0506721752242,1966.6666666666667,57.90597874019125
31,3.3,11.5,0.0,0.9,77.5,9.7,6.18,5.1,2250.0699095022624,1801.5931282501522,1108.3333333333333,48.46582054314669
32,0.8,13.2,0.0,1.1,80.3,9.7,5.68,4.6,619.2391703964194,642.8628783034952,1483.3333333333333,13.934336247542142
33,3.1,13.2,0.0,1.3,85.6,9.7,9.64,3.9,3123.768009377664,2278.8531543052004,1772.2222222222222,68.82965529724176
34,0.6,10.5,0.0,2.4,62.1,9.7,10.73,3.0,4082.5225669312304,2741.7287175669944,3100.0,100.05778157466834
35,-2.4,4.6,0.0,1.4,60.3,9.7,11.06,1.4,3306.6393234362945,2342.8459374251734,3216.6666666666665,47.05134386808006
36,-4.3,6.1,0.0,0.9,69.8,9.7,5.76,7.6,1299.3662666404355,1198.3794642271623,1433.3333333333337,29.300395729750836
37,-1.2,6.3,0.1,2.5,52.8,9.7,9.42,7.9,3050.2011312217196,2258.4411764705883,1911.111111111111,57.64101857654424
38,-7.8,-1.1,0.0,3.6,46.0,9.8,11.6,0.9,2798.495610184372,2022.5546532045655,2169.4444444444443,51.939071020749395
39,-8.9,-3.0,0.0,1.9,59.4,9.8,10.09,2.0,1058.6764705882351,1035.8970588235295,1008.3333333333334,0.7373284313725494
40,-9.6,-1.1,0.0,1.7,57.8,9.8,11.54,1.3,2508.60644257703,2014.2617017821624,2427.777777777778,2.4841386614004217
41,-7.3,-0.8,0.0,1.4,58.3,9.8,10.74,3.6,3741.6271603503064,2637.966984422227,3061.1111111111118,19.815284733738533
42,-8.7,1.9,0.0,1.2,57.1,9.8,11.74,1.5,4243.642776873596,2874.7359916298533,3250.0,66.36742568239305
43,-3.4,2.6,0.0,1.3,77.4,9.8,5.69,7.4,1292.3800279004881,1210.6422731147795,1702.777777777778,29.83561224255295
44,-5.2,2.7,0.0,1.4,71.6,9.8,10.67,1.8,2626.2759930295056,1997.2979421076434,2302.777777777778,50.128054621016
45,-7.1,4.4,0.0,1.3,67.0,9.8,12.33,0.0,4312.883205456095,2893.6815856777494,3255.5555555555557,103.25583584500727
46,-6.0,3.7,0.0,1.0,62.6,9.8,5.29,6.9,1177.8884986830556,1125.1010707332903,791.6666666666666,26.311566242439
47,-3.6,4.5,0.0,1.8,54.0,9.8,10.77,3.5,4152.268729880012,2849.924208878879,2652.777777777778,70.63607694601544
48,-5.1,4.1,0.0,1.2,57.6,9.8,11.36,2.9,4224.955669224212,2865.1532522807947,3222.222222222222,99.94382022557268
49,-5.6,5.0,0.0,1.2,69.9,9.9,9.87,4.0,2464.2143493761137,1969.6278966131906,2894.444444444444,58.76476921808285
50,-3.7,3.4,0.0,2.2,62.1,9.9,9.21,4.5,1901.0198808329894,1632.8412277718592,2041.6666666666667,44.643644274614104
51,-7.4,1.2,0.0,1.4,41.9,9.9,9.35,7.1,2654.5455936430376,2134.802814571643,2324.9999999999995,56.06834443034122
52,-2.4,3.0,0.0,0.8,62.1,9.9,5.1,7.8,1283.6646180860403,1125.9705882352941,1847.2222222222222,25.38447702588047
53,-2.1,8.3,0.0,1.1,69.5,9.9,9.32,7.3,3098.8700614574195,2369.555750658473,2697.222222222222,70.51349090612578
54,0.4,8.2,3.9,1.0,87.6,9.9,8.26,8.3,3176.1580035614097,2451.0516434518745,2725.0,63.04949709796417
55,-1.0,7.0,0.0,1.1,80.3,10.0,10.89,1.1,4066.761935208866,2878.4823103154304,2963.8888888888882,92.41429029945807
56,-3.3,7.0,0.0,1.1,81.6,10.0,9.92,3.4,2747.0269973661098,2248.6466198419666,2891.6666666666665,61.199636647808
57,-4.2,6.1,0.0,2.5,77.5,10.0,6.85,5.5,1965.264705882353,1561.8088235294115,1227.7777777777778,39.51345184178743
58,-7.1,1.0,0.0,1.6,57.5,10.0,12.72,2.5,1159.1886452179833,804.931620409358,1497.2222222222222,20.727177258160438
59,-2.0,4.0,0.0,1.6,78.4,10.0,6.14,4.5,2201.046579761041,1803.3939445992544,2980.555555555556,29.163043153456567
60,-3.5,7.5,0.0,1.5,73.9,10.1,11.05,4.8,3993.376207199298,2879.4975856014053,3247.222222222222,90.28405083325413
61,-1.0,7.7,1.3,1.2,72.9,10.1,7.1,7.3,1823.8306401612026,1414.5049407114623,1463.8888888888887,43.16627947022021
62,-2.4,4.0,0.3,3.0,68.9,10.1,13.07,2.5,3815.258518787139,2719.511849321169,2683.333333333333,43.907991742600224
63,-5.2,6.3,0.0,2.0,69.3,10.1,10.24,2.9,4236.849868305531,3036.295434591747,3486.1111111111118,61.77412434613998
64,-2.0,9.0,0.0,2.0,70.9,10.2,11.0,0.1,4129.151795370972,2985.394269063888,3422.2222222222226,95.24186512400838
65,-0.8,8.9,0.0,2.3,73.4,10.2,10.14,3.0,3372.739244951712,2521.354038630377,3319.444444444444,72.4217876798386
66,-4.3,7.2,0.0,1.2,61.3,10.2,14.09,0.0,4908.10294117647,3440.1911764705883,3752.777777777777,109.26229893252487
67,-3.4,4.5,0.0,2.5,62.9,10.2,10.18,3.6,1759.2855575065844,1561.5897717295873,1777.777777777778,38.16032088788871
68,-5.9,3.1,0.0,2.0,54.4,10.3,14.19,0.0,4665.926470588235,3338.2941176470586,3380.5555555555547,52.91552510500528
69,-7.1,5.7,0.0,1.6,63.6,10.3,14.29,1.6,4979.294117647059,3529.382352941176,3950.0,111.12662305523878
70,-1.0,7.6,1.1,2.8,64.0,10.3,12.47,3.0,3855.6200968591584,2898.6629471239626,2897.222222222222,68.93218787056418
71,-5.4,6.8,0.0,1.2,57.8,10.4,14.43,1.0,5047.825917205417,3625.043100007981,3949.9999999999995,107.70798178946423
72,-2.9,8.1,0.0,1.2,60.9,10.4,10.86,7.1,2933.3691834942933,2480.0445566286216,1969.4444444444448,65.03478787373518
73,-3.6,4.0,6.6,1.8,79.3,10.4,2.35,5.8,1529.4898369116981,1399.4684864447815,1447.2222222222224,26.781357533131835
74,-5.7,3.0,0.0,1.4,77.6,10.4,10.41,3.4,1072.9530114135207,1008.260307287094,1741.6666666666665,22.379137082784368
75,-3.0,9.3,0.5,1.8,71.3,10.5,10.56,7.5,0.0,0.0,0.0,0.0
76,4.2,12.9,20.0,2.9,98.6,10.5,0.49,10.0,0.0,0.0,0.0,0.0
77,-0.6,6.5,0.0,1.9,56.5,10.5,14.53,3.3,0.0,0.0,0.0,0.0
78,-2.4,13.6,0.0,1.3,48.3,10.6,14.35,4.6,0.0,0.0,0.0,0.0
79,0.7,14.0,0.0,1.5,65.8,10.6,10.57,7.5,0.0,0.0,0.0,0.0
80,-4.7,7.1,0.0,3.0,58.1,10.6,11.29,5.8,3606.838870662169,2929.77661614528,2400.0,72.54078982976212
81,-6.4,2.6,0.0,1.9,46.9,10.7,12.62,7.6,4630.150790166814,3573.424934152765,3427.7777777777774,51.56095963942587
82,-4.2,2.7,0.0,2.6,48.8,10.7,15.4,5.5,3919.921422300263,3070.102721685689,2269.444444444445,55.37184291791477
83,-5.2,2.2,0.0,1.5,46.4,10.7,10.02,8.4,2511.443371378402,2298.9532484635643,2672.222222222222,52.36321692412099
84,-4.9,4.0,0.0,1.8,54.0,10.8,15.6,1.4,4390.161031604417,3413.0941747349543,2505.555555555555,55.56692356603827
85,-5.4,5.9,0.0,1.5,62.5,10.8,13.13,5.3,4072.149931147832,3312.804449035772,3944.444444444445,93.98661323269557
86,-2.7,5.2,0.0,2.3,47.3,10.8,14.78,3.8,4626.713720911353,3665.070169297253,4125.0,97.49551015500923
87,-1.8,6.5,0.0,1.6,45.8,10.9,15.84,6.4,4880.23030308814,3803.554204679925,3711.1111111111113,75.17100303796873
88,-0.6,5.0,0.0,1.7,68.6,10.9,8.39,9.6,1928.6395961369622,1886.0818700614573,1799.9999999999998,37.79553085024545
89,-2.6,3.0,0.0,2.6,68.4,10.9,10.91,7.3,2256.455882352941,2047.647058823529,1944.4444444444441,51.33281726184838
90,-4.9,5.7,0.0,1.5,61.6,11.0,17.92,1.9,5533.294117647058,4284.544117647059,4500.0,92.47815903682347
91,-3.6,7.0,0.1,0.9,61.1,11.0,8.67,9.0,1736.4471027216855,1742.676909569798,1352.7777777777778,40.69983310529349
92,0.9,4.5,18.4,1.4,98.8,11.0,1.91,8.5,118.27850678733031,125.75542986425339,91.66666666666667,2.8447269902944456
93,0.6,7.2,0.1,1.5,83.3,11.1,10.47,6.0,3579.073529411765,3055.8382352941185,2905.555555555556,71.95269970146357
94,-2.5,8.6,0.0,1.4,77.3,11.1,16.9,3.4,5132.532923617208,4143.031167690957,4302.777777777778,116.58868637736055
95,-0.4,10.0,0.0,1.3,76.1,11.1,12.32,6.5,3139.6470588235293,2854.3652326602287,2644.444444444444,67.49277997900357
96,-1.2,15.0,0.0,1.3,66.8,11.2,16.07,4.0,4905.632352941177,4016.823529411765,4502.777777777777,59.07000223832108
97,1.0,14.0,0.0,1.9,63.1,11.2,17.64,1.8,5529.212686567164,4459.564749780509,4786.11111111111,78.34103927380521
98,0.8,11.3,0.0,1.6,76.8,11.2,15.3,3.0,3427.6200614574186,3047.7802897278316,3936.1111111111113,54.03028963519497
99,-1.3,12.5,0.0,1.4,64.6,11.3,17.37,4.8,5488.623573309921,4495.486172080773,4700.000000000001,74.01298767541591
100,4.2,9.1,0.0,1.0,72.5,11.3,4.0,9.9,1435.0000000000002,1467.7205882352944,2152.777777777778,33.740934369158666
101,1.4,13.4,0.0,1.5,81.3,11.4,13.88,5.3,3735.201044004935,3337.8843091103704,3666.6666666666665,81.87248969955704
102,1.9,13.3,0.0,1.5,75.1,11.4,17.4,5.1,5051.029411764705,4217.89705882353,4572.222222222222,68.22641731808852
103,-1.4,17.2,0.0,1.1,59.5,11.4,15.67,6.9,4160.447541703249,3634.9613696224756,2800.0000000000005,90.65384256293619
104,4.3,15.3,0.0,1.3,56.0,11.5,10.44,7.8,2411.93832309043,2320.58867427568,1841.6666666666665,56.62344414843232
105,4.7,14.5,0.0,1.6,67.1,11.5,15.28,3.9,4246.93291160684,3707.284010401424,4094.4444444444443,84.52164501873271
106,2.2,14.1,0.0,1.3,62.9,11.5,10.63,6.0,2600.2157594381033,2518.7350746268653,2408.333333333333,58.52149442366747
107,4.7,16.3,0.0,1.7,65.3,11.6,13.9,6.8,4464.68327480246,3879.2752414398597,4247.222222222223,63.51022851879956
108,3.0,11.8,0.0,2.0,82.1,11.6,11.63,4.8,5147.936347673398,4357.847892888499,5186.111111111111,71.29789824327966
109,-0.9,14.7,0.0,1.5,64.9,11.7,21.02,0.4,6212.90013169447,5186.368964003511,5600.0,52.20673916041067
110,0.6,16.9,0.0,1.3,41.3,11.7,16.66,6.1,4657.34986830553,4109.844161545215,3294.444444444445,80.94918918643276
111,5.2,10.6,2.0,1.4,79.8,11.7,4.25,7.5,1750.0895522388064,1827.5149253731342,1405.5555555555557,41.81198121056412
112,0.9,10.5,3.1,1.6,89.1,11.8,8.26,7.0,1567.7256365232658,1615.4975856014048,2897.2222222222217,36.046784082610394
113,0.7,11.9,1.0,2.9,81.3,11.8,12.93,6.1,3085.2230026338893,2895.887181738367,3905.555555555555,60.06194549897254
114,-1.5,9.6,0.0,2.7,54.5,11.9,20.19,1.6,6187.588454784898,5283.2589991220375,5477.777777777778,48.913290684346514
115,-1.3,13.0,0.0,1.8,55.4,11.9,20.62,4.4,5960.872695346797,5144.474319578577,5430.555555555555,64.71867905210217
116,2.6,13.2,13.2,3.5,79.1,11.9,10.61,9.0,2984.90188762072,2829.1709833187006,3097.222222222222,60.133461369622474
117,3.2,12.4,0.0,1.8,75.3,12.0,19.87,3.9,5848.588235294117,5078.0441176470595,5458.333333333333,74.7820541776412
