,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,-3.2,2.8,0.0,3.1,48.0,9.8,10.42,2.4,2392.9318181818185,1980.8839962121212,2669.4444444444443,129.4921074257919
1,-5.0,4.2,0.6,1.6,61.3,9.8,5.01,6.3,588.874038896427,627.80868385346,1105.5555555555557,36.65878846709647
2,-2.0,7.2,0.0,1.8,41.6,9.7,10.18,1.0,2534.7702094857873,2047.6593010689558,2800.0,133.03686757796754
3,-8.5,-0.2,0.0,3.2,31.9,9.7,11.34,0.0,2416.7345997286293,1897.935034617124,3019.4444444444443,130.86833174049283
4,-10.6,-1.0,0.0,1.7,34.5,9.7,11.24,0.6,0.0,0.0,0.0,0.0
5,-5.5,1.2,0.1,1.7,65.0,9.7,2.86,6.6,0.0,0.0,0.0,0.0
6,-5.5,4.9,0.0,1.4,65.1,9.7,10.65,1.1,0.0,0.0,0.0,0.0
7,-1.3,8.0,0.0,2.5,56.8,9.7,3.46,7.9,0.0,0.0,0.0,0.0
8,6.0,10.8,1.7,1.2,82.3,9.7,5.03,8.9,0.0,0.0,0.0,0.0
9,0.1,9.8,0.2,3.4,62.0,9.6,5.75,5.9,0.0,0.0,0.0,0.0
10,-3.5,3.4,0.0,1.8,45.4,9.6,10.73,0.0,2342.216783216783,1814.88344988345,2769.444444444445,124.94973684534828
11,-3.7,5.9,1.0,2.0,53.6,9.6,6.07,6.8,1518.6108374212852,1407.6584559718888,2158.3333333333335,87.26089009884394
12,-0.1,6.4,0.0,2.3,58.3,9.6,10.07,3.0,2327.3918196386944,1823.0704836829836,2747.222222222222,120.6968078895647
13,0.4,11.0,0.0,2.0,52.5,9.6,8.91,2.9,2153.0938489371333,1779.7754409769334,2469.4444444444443,114.0188299841429
14,2.1,12.9,0.0,1.9,58.9,9.6,7.71,6.1,2078.708806818182,1704.7220643939395,2411.111111111111,107.0746918721437
15,3.2,10.2,9.8,2.3,81.4,9.6,1.17,8.6,546.1714156490276,553.0809588421528,388.8888888888889,37.001372049804765
16,-1.7,5.2,0.0,2.5,64.6,9.6,9.83,3.5,2226.0937271683542,1757.6398740562922,2550.0,118.76695315033125
17,-4.5,3.1,0.0,2.4,47.8,9.6,9.96,1.8,2268.4496503496507,1769.7906759906757,2725.0,120.488466348283
18,-3.5,2.0,0.0,2.3,45.3,9.6,10.45,1.4,2316.188111888112,1798.2958041958043,2788.8888888888887,123.5492429079171
19,-5.1,1.5,0.6,1.7,68.1,9.6,3.35,5.5,607.88344988345,610.4013986013987,1252.7777777777776,37.16839011506825
20,0.3,8.4,0.3,1.7,63.4,9.6,7.2,7.8,1517.2113975576667,1286.865769056814,1963.888888888889,87.2135962377732
21,0.3,5.2,2.9,2.0,80.4,9.6,5.1,6.1,639.2340569877884,673.8138851198553,1327.7777777777778,40.748064607304215
22,-2.9,6.5,0.0,1.4,67.9,9.6,9.43,0.8,2243.2503044219457,1757.4203806144103,2650.0,119.4023519093701
23,-2.7,6.6,0.0,1.0,60.8,9.6,6.64,5.9,1475.909317051108,1346.5355042966983,1805.5555555555557,88.22013286001058
24,-2.4,4.1,0.3,2.4,59.0,9.6,3.72,5.4,647.2985074626868,670.0644504748982,688.8888888888889,43.08929216609685
25,-4.6,2.6,0.0,2.1,45.4,9.6,10.36,0.0,2316.4555509167444,1781.1914205197788,2816.6666666666665,121.92489890914516
26,-3.6,6.1,0.0,2.0,47.6,9.6,8.09,3.5,2121.5820068820067,1756.7123432123433,2422.2222222222217,112.25824651992545
27,1.1,6.2,1.4,2.9,52.5,9.6,3.28,9.0,654.3620533695162,707.320895522388,902.7777777777779,42.27855572692393
28,-5.7,6.8,0.4,2.9,70.3,9.6,2.24,7.5,414.2560638677243,447.2405824896497,586.1111111111111,28.33618747427467
