,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,3.3,20.0,0.0,1.0,37.3,12.8,24.65,2.0,4533.5615694165,5442.963581488933,6355.555555555556,218.16724238286866
1,0.5,18.2,0.0,0.8,42.0,12.9,23.62,1.8,4388.140643863179,5268.798390342053,6133.333333333333,215.40010297499276
2,7.4,11.7,0.0,0.5,65.8,12.9,4.97,8.4,741.9183098591549,882.9342052313884,1258.3333333333333,38.93347068123024
3,6.4,13.3,4.2,0.5,79.3,12.9,8.97,9.0,1555.1674044265596,1845.871227364185,2322.2222222222226,81.43124734118999
4,6.5,13.2,4.4,1.2,73.0,13.0,10.67,6.6,1288.731790744467,1499.0643863179073,2502.777777777778,65.37961224489797
5,3.5,16.7,0.0,1.3,49.6,13.0,22.14,1.9,2886.79416498994,3376.327565392354,5647.222222222222,144.0082655935614
6,-0.3,22.8,0.0,0.0,54.8,13.1,26.2,2.4,4877.942454728371,5824.170623742454,6741.666666666667,231.97018166139702
7,3.4,20.5,0.0,0.5,54.9,13.1,17.99,7.5,3415.0935613682086,4039.2547283702215,4597.222222222223,165.26151789307272
8,2.2,20.0,0.0,0.8,68.1,13.1,24.69,3.0,4250.740442655935,5062.295372233399,6352.777777777777,213.15046177062376
9,8.0,12.0,28.9,0.3,90.8,13.2,2.47,9.1,329.78953722334,397.299597585513,633.3333333333334,19.10661583788445
10,7.4,21.7,0.0,0.7,70.3,13.2,26.32,2.3,4421.170422535211,5275.144265593562,6783.333333333332,215.62412510778964
11,8.8,14.0,30.0,0.7,90.3,13.2,4.14,8.8,896.9185110663983,1069.9368209255533,983.3333333333334,49.65056582351251
12,7.0,20.0,0.0,1.7,68.5,13.3,23.32,4.1,4516.853923541247,5370.23661971831,6016.666666666667,219.3781039091693
13,6.3,18.3,0.0,2.1,36.9,13.3,26.8,5.6,4837.2490945674035,5718.198189134809,6850.0,232.7514514228226
14,1.2,14.6,0.0,2.1,40.6,13.3,26.92,3.1,4941.557142857143,5842.810663983903,6830.555555555556,241.0607881575165
15,-0.6,15.8,0.0,1.6,51.0,13.4,27.73,1.5,4939.624346076458,5839.858551307847,6991.666666666667,243.6036516240299
16,-0.5,17.8,0.0,2.0,42.3,13.4,28.19,0.4,5036.936418511066,5957.997786720322,7088.88888888889,242.97180497269326
17,4.0,21.3,0.0,1.8,58.8,13.4,25.56,0.0,4237.133266264253,4988.430583501006,6005.555555555557,206.93128066015143
18,4.8,20.7,0.0,1.2,52.4,13.5,27.69,3.0,4810.93661971831,5703.789939637827,7041.666666666666,233.0696812302386
