,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,3.6,14.8,0.0,1.6,31.8,12.9,25.32,0.0,6890.251509054326,6289.05352112676,6505.555555555556,469.1546946680079
1,2.4,15.4,0.0,1.2,41.0,12.9,24.28,1.6,6598.524748490946,6033.226559356137,6263.88888888889,440.40795518035765
2,5.2,15.6,0.0,1.1,41.9,13.0,19.12,6.5,4314.660362173038,4181.151710261569,4916.666666666665,291.6362181348964
3,5.5,15.8,0.0,1.0,49.0,13.0,17.84,4.6,4543.80120724346,4372.749698189135,4605.555555555556,311.57593600734845
4,3.0,14.4,0.0,1.9,56.1,13.1,13.88,4.0,5134.023652057272,4857.886892368704,3333.3333333333335,356.328884305835
5,2.8,17.7,0.0,1.2,34.3,13.1,24.38,3.9,6045.569818913481,5562.47323943662,6291.666666666666,419.73836971830985
6,3.0,21.3,0.0,1.0,27.9,13.1,25.26,1.4,6957.3949698189135,6400.5046277666,6452.777777777778,454.1881600180797
7,5.0,21.9,0.0,0.7,31.0,13.2,22.24,5.6,5184.915492957746,4960.136820925553,5713.888888888888,343.47833194092084
8,7.9,23.2,0.0,1.6,33.8,13.2,22.98,3.0,6171.815090543259,5752.718309859154,5925.0,401.5408516096579
9,8.2,16.4,6.4,2.1,66.1,13.2,4.66,7.1,2589.8993963782696,2516.0285714285715,1116.6666666666667,189.1796717041379
10,7.9,17.9,0.0,0.8,62.1,13.3,17.5,4.0,4775.119919517103,4525.986519114688,4397.222222222222,335.57066995450964
11,8.6,15.8,9.1,0.8,69.3,13.3,6.52,9.3,1410.4434607645876,1484.7146881287727,1691.6666666666665,105.50526161315722
12,8.1,13.9,0.2,1.6,70.8,13.4,8.24,5.6,1542.2913480885313,1572.2613682092556,2091.6666666666665,115.06826888869448
13,4.4,12.3,0.0,3.0,42.6,13.4,23.79,5.4,6066.596579476861,5624.0758551307845,6058.333333333334,422.7240861254484
14,3.7,9.7,0.0,2.5,40.4,13.4,18.37,6.0,5148.5812469017,5008.483460181378,4555.555555555557,374.95655424512114
15,2.4,14.3,0.0,2.6,40.1,13.5,24.77,3.9,5812.291660105561,5511.458478406672,6316.666666666667,403.0039818913481
16,2.8,16.1,0.0,2.1,41.4,13.5,24.14,0.8,6675.3784708249495,6302.181287726359,6047.222222222223,453.93950145802336
17,7.2,20.5,0.0,2.4,39.1,13.5,19.68,2.0,4729.527766599598,4557.772434607646,4533.333333333333,320.1980025150906
18,6.3,17.8,0.0,1.3,41.5,13.6,19.49,4.4,6322.376458752515,5999.3283702213275,4727.777777777777,409.8077600603621
19,6.3,16.7,0.0,1.3,42.0,13.6,19.25,4.8,0.0,0.0,0.0,0.0
20,4.3,20.6,0.0,1.5,41.6,13.6,26.21,0.3,0.0,0.0,0.0,0.0
21,7.5,22.1,0.0,1.1,43.0,13.7,25.14,0.0,0.0,0.0,0.0,0.0
22,7.0,24.0,0.0,1.1,48.6,13.7,26.04,1.5,0.0,0.0,0.0,0.0
23,15.7,28.3,0.0,1.3,58.0,13.8,25.05,3.5,0.0,0.0,0.0,0.0
24,18.1,24.0,0.2,0.6,71.6,13.8,7.28,8.9,0.0,0.0,0.0,0.0
25,15.8,23.6,0.0,1.4,68.8,13.8,12.2,7.3,0.0,0.0,0.0,0.0
26,16.2,27.1,0.0,1.1,56.5,13.9,20.93,5.1,5501.794192155362,5325.3561861970775,5372.222222222222,365.86424936045785
27,12.3,22.4,0.4,1.0,67.8,13.9,9.55,7.8,1829.4991076896163,1929.9568716647714,2055.5555555555557,127.46637608987255
28,11.7,26.9,0.0,1.1,49.3,13.9,27.07,2.6,7069.3349079987165,6764.706389058991,6872.222222222223,455.9530195593854
29,12.2,26.0,0.0,1.5,23.0,13.9,25.82,5.8,6043.866561574424,5976.337669030457,6444.444444444444,393.47411493263434
30,13.8,26.8,0.8,1.4,28.1,14.0,24.36,7.1,238.6490275893261,248.24242424242425,555.5555555555555,16.091555857078248
31,12.8,18.4,9.2,1.4,86.1,14.0,2.58,8.6,647.7380281690141,666.92615694165,661.1111111111111,49.61457144315166
32,12.8,17.0,0.8,0.9,81.3,14.0,4.02,9.3,1259.5949698189136,1298.6158953722334,922.2222222222222,94.15387713042966
33,14.6,23.1,0.0,1.6,49.4,14.1,23.06,7.6,6293.196780684104,6186.19416498994,6019.444444444446,416.9564862945791
34,11.2,19.9,0.8,1.7,60.5,14.1,16.51,6.6,5487.689336016097,5405.349698189135,4111.11111111111,369.4944104627766
35,8.5,22.7,0.0,1.5,44.8,14.1,28.82,0.6,6981.629778672032,6789.9344064386305,7094.444444444444,460.17406194412854
36,9.5,26.0,0.0,0.8,35.9,14.2,22.95,8.0,5874.925553319919,5832.159154929577,5944.444444444443,378.56788276033006
37,14.4,19.0,14.7,1.3,74.5,14.2,2.67,8.8,625.582776368355,659.6838057329484,633.3333333333334,53.29529218791007
38,14.6,22.2,0.0,0.9,76.9,14.2,13.0,7.6,1532.2101609657946,1568.6192152917506,3286.111111111111,211.68393209255532
39,16.3,26.6,0.0,0.9,65.0,14.2,25.36,3.1,3168.0282582016926,3111.6328403042367,6397.222222222222,408.75379074446676
40,14.9,26.7,33.8,1.9,71.4,14.3,18.26,8.1,2446.363388356056,2457.1005989249443,4827.777777777777,328.1999129778672
41,9.5,14.8,8.7,1.4,74.0,14.3,8.78,7.4,1263.2662977867203,1266.6726358148892,1836.1111111111113,185.20939487617898
42,7.2,16.7,0.0,1.1,67.5,14.3,17.24,7.3,2066.378500610748,2111.2552556066894,4136.111111111111,277.55120321931594
43,8.2,22.2,0.0,0.8,57.6,14.3,26.56,4.3,6034.559519435454,5999.493905461756,6441.666666666666,404.22602008671885
44,13.3,23.6,0.0,1.1,64.0,14.4,17.84,8.0,4870.761569416498,4924.66861167002,4541.666666666666,325.05571175604354
45,15.5,25.8,0.0,1.2,57.6,14.4,25.02,6.1,6606.286116700201,6552.0110663983905,6297.222222222221,424.3318414909748
46,15.8,22.2,10.4,1.7,67.0,14.4,14.84,7.1,4795.931589537223,4641.865794768612,3619.4444444444443,318.3844401408451
47,13.7,20.1,0.0,0.8,75.6,14.4,13.11,7.8,2823.174245472838,2871.4678068410462,3186.1111111111113,199.58888329979877
48,14.6,24.4,0.0,1.1,64.0,14.5,21.57,8.0,5752.189939637828,5653.750905432596,5725.0,364.1677374464176
49,12.6,24.2,0.0,1.3,52.9,14.5,29.56,2.5,6673.413883299799,6595.728772635815,7197.222222222223,433.25509859154926
50,13.0,24.0,0.2,0.9,55.3,14.5,23.88,5.3,6341.148724229433,6341.394815268421,5838.888888888889,406.1255584959029
51,12.7,26.8,0.0,1.0,54.1,14.5,22.42,1.9,7005.389738430584,6937.120120724347,5208.333333333333,447.69073742454736
52,14.6,29.1,0.0,0.9,47.1,14.5,29.51,1.3,6824.793809918335,6766.084098709907,7158.333333333334,425.21067331932784
53,14.9,28.5,0.0,1.4,50.9,14.6,25.66,6.9,5632.820523138833,5748.177665995976,6463.888888888889,359.24112474849096
54,16.2,25.5,1.8,2.0,53.1,14.6,27.34,4.9,6857.771428571429,6812.061770623742,6861.111111111111,446.0304411468813
55,13.5,25.0,0.0,1.2,51.5,14.6,12.15,8.4,3280.333601609658,3347.017505030181,3088.888888888889,223.41200377628078
56,16.9,27.5,1.1,1.1,66.6,14.6,23.91,4.6,5510.183098591549,5358.60643863179,5880.555555555556,355.7463316420261
57,19.8,30.0,0.0,1.6,59.0,14.6,25.37,3.8,6339.286921529175,6320.57323943662,6347.222222222222,407.67370623742454
58,20.6,29.2,0.0,1.2,55.1,14.6,25.27,4.3,5509.169617706239,5476.964185110664,6250.000000000001,350.57426097891704
59,18.0,30.4,0.0,1.4,48.5,14.6,24.01,4.8,5803.129979879276,5842.029778672031,5986.111111111111,372.9401840463068
60,20.2,29.0,0.0,1.2,50.3,14.7,26.52,3.0,5430.452112676056,5328.285311871227,6722.222222222223,353.05655382293764
61,19.7,31.1,0.0,0.9,58.6,14.7,26.77,1.3,6434.459154929578,6421.911066398389,6636.111111111111,405.4195990216662
62,20.1,33.4,0.0,0.9,50.3,14.7,27.83,3.3,6425.890543259557,6446.175251509056,6863.888888888889,399.1178217347564
63,21.0,32.5,7.9,1.0,56.4,14.7,23.75,7.3,5573.406036217304,5601.232595573441,6016.666666666666,349.90377281806786
64,21.8,31.9,1.3,1.1,62.9,14.7,0.0,5.0,5486.317706237425,5428.852112676056,0.0,347.6676372437524
65,21.3,28.1,0.0,0.8,67.3,14.7,1.26,9.6,2352.72092555332,2484.1022132796775,230.55555555555557,158.06077062374248
66,20.6,32.4,0.0,1.3,56.5,14.7,28.22,6.5,6825.875855130785,6816.743460764587,7047.222222222223,429.9042716297787
67,20.9,28.7,4.8,1.6,68.5,14.7,18.91,6.0,3994.72955705246,3936.648053538623,4725.000000000001,267.9902525150905
68,18.4,28.1,0.0,1.4,52.6,14.7,23.48,6.4,5570.858959554427,5693.816811010995,5805.555555555555,360.71205138803845
69,18.0,28.8,0.0,1.1,51.4,14.7,26.14,5.5,6481.7092555332,6487.836217303823,6786.111111111112,414.48963279678065
70,18.5,29.5,0.0,1.2,56.5,14.7,22.53,7.9,5489.2953722334,5508.391549295774,5500.0,350.6015980885312
71,20.0,25.0,0.0,0.8,63.3,14.8,9.28,8.9,2306.84185110664,2402.9164989939636,2227.7777777777783,156.96547692034562
72,19.2,29.2,0.0,1.3,55.6,14.7,22.89,7.0,5134.917706237426,5198.005030181087,5691.666666666667,328.0164703219316
73,19.2,30.7,0.0,1.3,56.3,14.7,26.26,3.8,6056.437022132797,6120.891951710262,6413.888888888889,385.5226810865191
74,21.5,32.4,0.0,1.1,51.4,14.7,25.98,5.4,6379.460160965795,6386.990140845071,6330.555555555555,396.89703537400874
75,21.0,34.5,0.0,1.0,48.5,14.7,28.52,1.8,6856.730784708249,6896.417706237424,6958.333333333335,420.20080165777273
76,22.9,33.7,0.0,1.0,50.5,14.8,21.25,7.4,5376.717948717949,5533.858974358975,5386.111111111111,333.8121474358974
77,19.7,27.5,4.4,2.4,64.5,14.7,3.64,8.8,971.1538461538461,995.974358974359,844.4444444444443,70.34445512820511
78,19.8,24.0,1.3,1.2,77.1,14.7,5.15,9.5,1026.5320512820513,1072.00641025641,1283.3333333333335,75.33469405594406
