,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,-2.4,2.9,0.0,1.2,44.8,9.6,3.59,7.9,1.9387755102040816,2.326530612244898,69.44444444444443,0.35301974973616757
1,-5.0,2.4,0.0,2.2,39.0,9.6,10.42,0.0,5279.1243139999415,3365.310159507771,3330.555555555555,193.70637042273486
2,-5.9,2.1,1.3,2.0,57.4,9.6,5.83,5.0,4653.154375528533,3071.6131163794366,3155.5555555555557,171.6404957044215
3,-7.8,0.6,0.0,1.7,44.3,9.6,10.4,0.0,5580.036024844721,3508.861904761905,3494.444444444445,196.60326416841767
4,-7.8,3.2,0.0,1.0,46.8,9.6,8.83,3.6,5108.614699792961,3318.667908902692,3375.0,172.8725627323311
5,-2.6,2.1,0.3,0.9,63.8,9.6,3.19,9.3,714.2819875776398,673.9356107660456,827.7777777777778,29.143032708032703
6,-1.5,5.9,0.3,1.8,60.1,9.6,8.92,1.3,3613.0423322543957,2450.669413582947,2558.3333333333335,144.13775098518983
7,-2.8,7.4,0.0,1.4,56.3,9.6,7.67,3.0,4233.85403006273,2831.396070540892,2791.666666666667,149.80079931014788
8,1.3,9.5,0.0,1.4,53.4,9.6,9.29,2.9,4060.490296596287,2709.127259550483,2711.1111111111113,152.79940568252366
9,-1.1,10.4,0.0,0.9,45.5,9.6,8.78,3.1,962.3310924369748,987.4567226890757,1075.0,44.859698492865164
10,0.4,9.8,0.0,1.1,40.1,9.6,5.82,8.5,3503.8472049689444,2396.9915113871634,1688.888888888889,130.98168436217884
11,2.9,12.4,0.0,1.5,48.9,9.6,8.93,4.3,4083.2207360102652,2695.7020237366223,2933.3333333333335,153.25738546294346
12,-3.4,7.5,0.0,2.9,43.0,9.6,9.58,2.6,4595.765386436264,2979.190969345485,2544.4444444444443,162.29258586919616
13,-5.9,3.1,0.0,1.6,35.9,9.6,10.5,0.3,5530.534928411046,3504.0434228559766,3508.3333333333335,168.8785736243915
14,-4.0,5.2,0.0,1.2,53.4,9.6,5.67,7.4,3414.945916076167,2518.7269209459655,3130.555555555555,117.826187448711
15,-7.1,3.0,0.0,2.8,40.8,9.6,9.97,4.4,3757.045134575569,2609.371014492753,2611.1111111111113,145.74947664117494
16,-12.5,-6.5,0.0,3.5,28.3,9.6,10.44,0.5,5524.506065806605,3472.3880281690144,3466.666666666667,201.299962477835
17,-14.4,-6.6,0.0,2.5,33.0,9.6,10.36,0.6,5558.280745341614,3480.0737060041406,3502.777777777778,188.41217997841056
18,-10.5,-3.0,0.0,2.9,29.0,9.6,10.57,0.0,5620.750310559008,3518.9879917184267,3486.1111111111113,172.5388835371966
19,-11.3,-0.9,0.0,1.2,35.9,9.6,10.48,0.8,5301.183049018751,3369.3263464847055,3611.1111111111113,177.4841384584283
20,-10.5,-0.5,0.0,1.2,39.6,9.6,9.16,1.6,3963.1975476044677,2686.328988423293,2480.5555555555557,141.60293452875914
21,-8.2,-0.6,0.0,2.1,49.5,9.6,7.84,3.4,4391.183955909369,2982.1163094509084,3397.222222222222,154.8708463854972
22,-8.8,0.2,0.0,1.7,42.8,9.6,10.48,0.0,5508.61635610766,3469.687784679089,3427.777777777778,189.44664882677714
23,-8.4,3.2,0.0,1.4,38.8,9.7,10.28,0.1,5653.73602484472,3557.8656314699797,3563.8888888888887,186.48550504919797
24,-6.2,4.1,0.0,1.2,55.5,9.7,6.2,5.5,2879.8422504335476,2096.319894130341,2066.6666666666665,101.43554280575509
25,-5.5,1.1,0.0,2.2,40.3,9.7,10.05,0.5,4124.11603534249,2735.8350188085033,2061.111111111111,153.93763375994456
26,-6.3,2.7,0.0,1.2,35.0,9.7,9.64,3.1,5046.910559006212,3267.7714285714283,3186.111111111111,177.45740895022115
27,-6.2,3.1,0.0,1.4,46.4,9.7,8.71,4.0,4761.41635610766,3122.2857142857147,3155.5555555555557,176.7264222967502
28,-7.2,0.5,0.0,2.6,31.0,9.7,10.46,0.0,4749.7,3126.585714285714,3155.5555555555557,174.5823122818727
29,-9.4,1.3,0.0,1.3,28.8,9.7,8.47,4.9,4281.66001876562,2918.427676888269,2686.1111111111104,162.56791476494075
30,-4.5,3.0,0.0,1.3,48.8,9.8,5.92,8.1,4359.959673985944,2928.2252675473137,2924.9999999999995,173.42225984251021
31,-0.4,7.2,0.0,1.0,58.8,9.8,8.53,6.1,4123.9523138833,2787.484469133643,2838.888888888889,153.96789576913397
32,-0.6,8.0,0.0,1.3,47.6,9.8,7.71,3.9,883.089128976759,884.0892427025924,1527.7777777777778,44.49786991434926
33,-3.0,7.6,0.0,1.4,54.3,9.8,9.97,0.0,4815.577674744118,3202.604922287347,3255.555555555555,186.60731902338551
34,-2.4,5.3,0.0,0.9,68.6,9.8,6.03,4.5,4880.832505175983,3308.760041407868,3375.0,182.77846432136155
35,-7.2,2.6,0.0,2.7,58.8,9.9,6.93,3.8,4257.881424780567,2989.5958679613914,3083.3333333333335,166.51860356975436
36,-10.1,-1.1,0.0,2.3,45.9,9.9,10.36,4.1,5771.829399585922,3757.8101449275355,3786.1111111111113,219.07528578206103
37,-3.2,4.0,0.0,1.7,45.8,9.9,11.07,1.8,5483.042650103521,3683.33850931677,3633.333333333333,203.29262500317924
38,-4.6,6.7,0.0,1.3,44.0,9.9,10.4,3.0,5555.3714285714295,3671.085714285714,3672.2222222222217,207.84601864639237
39,0.0,8.5,0.0,1.2,59.8,9.9,6.27,7.8,4174.510261569416,2900.036418511066,2730.555555555555,160.60977501258066
40,-5.5,4.0,0.0,3.2,38.5,10.0,11.56,1.1,5101.994616977226,3417.896809844575,3575.0,198.15449885987078
