,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,3.3,20.0,0.0,1.0,37.3,12.8,24.65,2.0,6196.642052313882,5894.149295774648,6308.333333333334,300.5209391683433
1,0.5,18.2,0.0,0.8,42.0,12.9,23.62,1.8,5759.614285714286,5482.573038229377,5986.11111111111,279.77786750503014
2,7.4,11.7,0.0,0.5,65.8,12.9,4.97,8.4,2735.0889336016103,2613.1311871227363,5183.333333333333,133.283245472837
3,6.4,13.3,4.2,0.5,79.3,12.9,8.97,9.0,2344.4604554865423,2242.4153209109727,4944.444444444444,110.93354095928225
4,6.5,13.2,4.4,1.2,73.0,13.0,10.67,6.6,2358.541046277666,2247.2247484909453,4463.888888888889,113.17122548625085
5,3.5,16.7,0.0,1.3,49.6,13.0,22.14,1.9,4950.903621730382,4721.079275653923,6330.555555555556,237.68607934272296
6,-0.3,22.8,0.0,0.0,54.8,13.1,26.2,2.4,6394.478470824949,6094.068410462777,6475.0,298.0334417505031
7,3.4,20.5,0.0,0.5,54.9,13.1,17.99,7.5,5458.527162977867,5215.237424547284,5247.222222222222,252.45649946344741
8,2.2,20.0,0.0,0.8,68.1,13.1,24.69,3.0,5892.269416498993,5620.680684104627,5852.777777777777,274.96748071763915
9,8.0,12.0,28.9,0.3,90.8,13.2,2.47,9.1,947.3142857142857,899.7857142857143,1605.5555555555557,46.443552380952376
10,7.4,21.7,0.0,0.7,70.3,13.2,26.32,2.3,5120.547385763859,4882.092561164086,6083.333333333333,248.73367988219172
11,8.8,14.0,30.0,0.7,90.3,13.2,4.14,8.8,852.4804828973845,810.8591549295775,1263.8888888888887,41.0138879275654
12,7.0,20.0,0.0,1.7,68.5,13.3,23.32,4.1,4307.0092555332,4109.171830985915,2163.8888888888887,208.0147192823609
13,6.3,18.3,0.0,2.1,36.9,13.3,26.8,5.6,6391.471428571429,6088.357142857143,5886.11111111111,308.37712142857146
14,1.2,14.6,0.0,2.1,40.6,13.3,26.92,3.1,6239.914285714285,5943.685714285713,5061.111111111111,306.6967214285715
15,-0.6,15.8,0.0,1.6,51.0,13.4,27.73,1.5,6427.671428571428,6133.6,6099.999999999999,304.3731119047619
16,-0.5,17.8,0.0,2.0,42.3,13.4,28.19,0.4,6564.996579476862,6257.545271629779,6497.222222222223,311.7610380281691
17,4.0,21.3,0.0,1.8,58.8,13.4,25.56,0.0,0.0,0.0,0.0,0.0
18,4.8,20.7,0.0,1.2,52.4,13.5,27.69,3.0,0.0,0.0,0.0,0.0
19,4.0,20.6,0.0,0.8,50.8,13.5,24.33,2.3,0.0,0.0,0.0,0.0
20,2.2,21.9,0.0,0.7,54.3,13.5,27.66,0.1,0.0,0.0,0.0,0.0
21,3.6,24.2,0.0,0.9,51.4,13.6,27.62,0.1,0.0,0.0,0.0,0.0
22,4.5,23.5,0.0,1.2,68.0,13.6,27.94,0.9,0.0,0.0,0.0,0.0
23,16.8,25.5,0.0,1.4,74.1,13.6,25.73,2.9,0.0,0.0,0.0,0.0
24,13.8,26.3,1.3,0.8,81.5,13.6,15.22,8.1,0.0,0.0,0.0,0.0
25,15.1,18.2,29.5,0.4,94.9,13.7,4.02,9.4,0.0,0.0,0.0,0.0
26,15.1,28.2,0.0,0.6,81.0,13.7,24.07,4.1,0.0,0.0,0.0,0.0
27,15.3,20.5,0.0,0.6,81.1,13.7,7.84,9.1,0.0,0.0,0.0,0.0
28,12.0,28.8,0.0,1.0,63.5,13.8,27.78,1.4,0.0,0.0,0.0,0.0
29,8.5,24.5,0.0,1.2,53.5,13.8,28.19,4.1,0.0,0.0,0.0,0.0
30,5.5,22.6,0.0,0.7,66.6,13.8,22.0,6.8,268.6568764568765,256.41678321678324,352.7777777777778,10.532693628593627
31,15.7,19.2,45.9,1.0,92.6,13.9,3.29,9.1,624.0230863441519,588.8578689528476,591.6666666666667,31.40371778108263
32,12.1,25.4,0.0,1.1,72.1,13.9,23.37,5.1,4259.903219315896,4068.9167002012073,1761.111111111111,187.30929332662646
33,9.0,28.9,0.0,0.6,58.8,13.9,28.76,2.0,6824.366800804828,6521.181287726358,5666.666666666667,303.68945596914824
34,13.7,24.8,0.0,2.3,44.3,14.0,27.36,0.5,6302.967404426559,6017.775251509055,4275.0,285.5361155600269
35,7.3,25.6,0.0,0.9,51.8,14.0,29.29,0.3,6911.445070422534,6602.719919517102,6980.555555555556,307.3535065392354
36,8.6,25.9,0.0,0.6,55.3,14.0,21.61,6.8,4854.98490945674,4648.80120724346,5433.333333333332,212.44707189805501
37,14.1,16.8,17.8,0.3,91.9,14.0,2.45,9.4,339.8252587991719,317.7114906832297,647.2222222222221,18.708427743271223
38,15.1,26.2,0.8,0.4,84.8,14.1,21.23,7.3,2125.836317907444,2035.6926559356139,1866.6666666666665,189.6975443661972
39,15.8,24.0,0.0,0.9,82.6,14.1,21.27,6.3,2897.4385005065856,2774.075937183384,4169.444444444444,249.87272276995307
40,15.3,21.1,13.6,0.6,89.0,14.1,4.86,8.0,766.8768611670022,731.7642857142856,4263.888888888889,71.11723326626425
41,9.9,18.7,0.0,1.7,75.5,14.1,17.06,4.0,1706.8314889336016,1631.1618712273644,3386.1111111111113,155.9524519785379
42,8.0,23.3,0.0,0.9,72.3,14.1,24.66,4.6,1757.7538916137437,1680.1217524075385,4713.888888888889,160.85160719779026
43,12.8,21.2,0.0,0.9,75.8,14.2,17.05,8.1,4370.152112676056,4184.460362173038,5247.222222222223,192.81995168353114
44,10.8,23.2,0.0,0.9,72.9,14.2,24.93,3.4,5821.744668008047,5570.519315895372,3666.6666666666665,249.2473683433937
45,9.6,25.2,0.0,1.1,72.4,14.2,28.7,1.0,6798.42676056338,6489.897585513078,5805.555555555556,290.24455771294436
46,13.1,25.1,0.0,1.0,80.3,14.2,18.18,7.0,4366.086116700201,4173.8207243460765,3027.7777777777783,200.88094040912137
47,14.3,24.9,0.0,0.5,74.4,14.2,17.67,9.4,4514.339034205231,4322.308853118711,3049.9999999999995,198.50239845741115
48,15.1,25.1,0.0,0.6,78.0,14.3,17.66,8.0,4626.2,4424.142857142857,5044.444444444444,197.15900714285715
49,13.1,27.3,0.0,0.8,63.3,14.3,28.26,5.8,6662.931790744467,6380.752313883299,6986.11111111111,283.1282876928236
50,11.3,26.2,0.0,0.9,66.5,14.3,28.61,1.6,6479.609657947686,6208.694567404426,5838.888888888889,277.9349002347418
51,11.9,28.3,0.0,0.8,65.5,14.3,27.99,3.8,6078.369655614848,5828.882392908174,6930.555555555555,263.77221549976184
52,14.5,25.5,0.0,0.7,61.8,14.4,17.05,9.6,5018.71448692153,4811.417907444668,6875.0,220.59795134138162
53,14.6,26.2,1.2,0.7,73.8,14.4,18.23,8.3,5666.7541247484905,5435.746881287726,5194.444444444443,247.9704830985915
54,15.9,28.9,0.0,1.1,63.1,14.4,27.17,4.0,6117.185714285714,5875.4571428571435,7072.222222222222,262.09746190476193
