,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,5.2,14.2,0.0,3.5,25.5,12.9,24.86,0.0,4990.365445499773,5402.06919945726,6358.333333333333,278.53187636045834
1,4.3,14.7,0.0,2.8,44.6,12.9,24.79,1.3,4890.688150158299,5302.329941203076,6369.444444444445,269.90801095391237
2,5.8,16.8,0.0,2.4,52.6,13.0,21.07,4.8,3644.6293532338304,4233.307779285392,5438.888888888889,209.55945152916144
3,6.2,16.0,0.0,2.5,63.8,13.0,19.4,4.8,3466.8175033921307,3760.777928539123,4933.333333333334,193.86956210896153
4,4.4,15.6,0.0,3.8,58.6,13.1,19.25,3.1,3434.085933966531,3788.962008141112,4888.888888888888,197.79706967509543
5,4.3,20.4,0.0,3.1,39.4,13.1,26.02,1.9,4965.752604112306,5228.380426538635,6658.333333333333,267.155756198145
6,7.6,19.6,0.0,2.4,46.8,13.1,25.93,1.3,4990.007688828585,5333.1614654002715,6669.444444444445,264.24207422190364
7,7.2,20.2,0.0,2.2,39.8,13.2,21.49,5.4,4079.0431931252824,4403.564224332881,5563.888888888889,218.84268445867284
8,8.9,23.8,0.0,2.3,39.9,13.2,22.96,2.9,4373.165762098597,4813.579828132067,6011.111111111111,233.71051305568216
9,10.4,15.4,6.5,2.4,77.8,13.2,4.23,9.1,701.5777928539121,732.7523744911805,930.5555555555557,43.99360671063627
10,8.5,19.6,0.0,2.6,67.9,13.3,23.09,2.6,5275.9360018091365,5729.0545002261415,5852.777777777778,291.4526296406137
11,9.5,15.5,10.3,2.7,75.8,13.3,5.25,9.5,1079.2498869289914,1156.5492989597467,1286.111111111111,68.87848904817925
12,7.6,13.1,0.1,3.3,73.0,13.4,7.34,7.4,1768.4326096788782,1632.5357304387155,1680.5555555555552,98.92660817138638
13,4.8,10.4,0.0,4.4,49.0,13.4,23.63,3.6,4250.275667118951,4590.645635459069,5966.666666666666,249.68300029061956
14,4.1,8.3,0.0,4.0,46.8,13.4,15.89,4.1,3322.500452284034,3606.961329715061,3972.222222222222,199.20824608999826
15,2.9,12.8,0.0,3.7,47.8,13.5,25.72,1.6,4449.040705563094,4797.032338308457,6391.666666666666,255.06891375584968
16,4.1,14.3,0.0,3.9,55.6,13.5,26.61,1.8,5091.064224332881,5307.439167797376,6702.777777777777,281.2644939667731
17,9.9,17.1,0.0,3.9,54.4,13.6,18.9,3.3,2851.8808231569424,2912.062189054727,4411.111111111111,155.14457613262704
18,6.8,19.0,0.0,3.2,43.1,13.6,28.36,0.8,4887.959068294888,5359.381275440977,7125.0,270.37866884284995
19,8.7,18.3,0.0,2.8,49.8,13.6,22.98,3.4,0.0,0.0,0.0,0.0
20,7.8,19.9,0.0,3.0,50.0,13.7,26.97,0.0,0.0,0.0,0.0,0.0
21,9.3,21.0,0.0,2.6,48.6,13.7,26.1,0.4,0.0,0.0,0.0,0.0
22,9.3,23.4,0.0,2.7,57.1,13.7,24.03,5.3,0.0,0.0,0.0,0.0
23,16.4,26.2,0.0,2.7,73.6,13.8,18.96,6.6,0.0,0.0,0.0,0.0
24,18.0,23.9,0.0,2.3,79.6,13.8,9.43,9.0,0.0,0.0,0.0,0.0
25,17.0,27.4,0.0,2.0,68.8,13.8,19.41,7.0,0.0,0.0,0.0,0.0
26,14.8,25.3,0.0,2.7,63.9,13.9,25.42,3.4,4721.495489285084,4843.989938328435,6397.222222222223,245.5077988393869
27,13.1,19.3,0.0,1.9,67.9,13.9,9.41,5.4,2294.4208502939846,2015.3833107191313,1950.0,119.0588272637904
28,11.1,27.6,0.0,2.1,50.0,13.9,28.51,1.8,5537.466530981456,5776.976028946179,7080.555555555555,285.08244471175493
29,14.9,26.5,0.0,2.5,32.5,14.0,23.93,6.8,4201.172912326039,4745.978850365346,5972.222222222223,234.1711116650835
30,14.3,27.3,2.3,2.4,32.8,14.0,23.26,7.4,99.2489406779661,106.35858050847457,391.6666666666667,6.2065778190364815
31,12.7,16.8,24.4,3.6,94.4,14.0,3.0,10.0,392.8726820443238,428.36295793758484,766.6666666666667,29.216149970632035
32,12.8,16.6,1.3,2.5,88.6,14.1,6.77,9.0,1317.6971958389868,1390.004296698327,1538.888888888889,81.39631831260279
33,12.4,22.0,3.4,3.0,61.0,14.1,22.98,8.1,4283.835142469471,4784.691316146541,5908.333333333333,242.24740093934224
34,10.5,18.9,0.7,2.9,69.4,14.1,13.6,3.3,2283.997738579828,2183.4694708276797,2963.888888888889,123.4776193340135
35,10.2,21.8,0.0,2.8,47.3,14.1,29.7,0.6,5776.2164179104475,6045.086160108549,7305.555555555554,312.31749031290144
36,12.4,25.4,0.0,2.0,35.4,14.2,20.64,8.3,3960.070556309363,4296.1282225237455,5283.333333333334,215.47013882936213
37,14.1,20.2,12.0,3.0,81.4,14.2,3.43,10.0,533.4340794902755,585.1480167329132,844.4444444444443,39.00818017961032
38,15.0,20.3,2.5,1.6,90.3,14.2,7.6,9.5,973.2983943916781,967.5088195386703,1777.7777777777776,111.30167606181092
39,14.6,24.9,0.0,1.7,80.1,14.3,15.26,7.1,1931.2217322478516,1868.759158751696,3719.444444444444,203.84383851377166
40,13.2,26.8,29.8,2.4,79.4,14.3,14.07,8.5,1349.3789009497964,1424.9293306196291,3747.222222222222,149.07454621912075
41,10.1,17.1,19.0,3.2,73.6,14.3,15.29,7.6,1748.2896879240163,1719.5788104929895,3988.8888888888896,196.98558749118916
42,9.2,20.1,0.0,1.9,60.4,14.3,20.91,6.0,2302.9120615928628,2504.511995806093,5427.777777777777,249.40417382741506
43,10.9,22.9,0.0,2.1,56.1,14.4,24.35,4.8,4842.4825870646755,5120.351650836724,6058.333333333334,260.655825380434
44,14.8,22.7,0.0,1.9,68.5,14.4,13.07,8.6,2517.401854364541,2660.3177295341475,3277.7777777777783,144.08178044412847
45,16.6,25.0,0.0,2.2,66.1,14.4,23.24,7.4,3777.6322930800543,4072.144957033017,5827.777777777779,207.1907690019785
46,14.3,20.2,14.5,2.9,84.8,14.4,10.59,8.4,3418.2817729534154,3345.009497964722,2683.3333333333335,181.5191158080392
47,13.7,21.3,0.0,2.1,81.0,14.5,16.88,8.1,3565.773405698779,3700.988466757123,4174.999999999999,200.6993059826728
48,12.7,22.9,1.5,2.1,81.9,14.5,18.49,7.8,2802.0072365445503,3261.030755314337,4777.777777777777,163.58833221358893
49,11.8,23.9,0.0,2.6,68.5,14.5,30.06,1.5,5927.976028946177,6221.0952057892355,7216.666666666667,314.8585986524477
50,14.2,23.4,0.0,1.9,62.8,14.5,22.83,3.9,4603.110809588421,4673.932835820896,5408.333333333333,244.64154467352083
51,14.6,27.6,0.0,2.0,65.6,14.5,28.09,1.3,5802.3204432383545,6014.821121664406,6783.333333333334,299.02837345262213
52,16.5,30.0,0.0,1.9,57.3,14.6,26.5,1.1,5490.573979751592,5849.568479281912,6527.777777777777,283.9877090184445
53,17.6,28.0,1.0,2.3,63.0,14.6,19.15,8.5,3551.385345997286,3953.1264133876075,4808.333333333333,195.32743867997402
54,16.6,24.5,0.4,3.4,64.3,14.6,30.35,3.8,5893.319538670285,6126.538896426957,7475.0,310.52198126599626
55,14.8,21.8,2.0,2.2,71.0,14.6,5.89,9.3,1434.0734961555856,1499.1322930800543,1500.0000000000002,84.12651005648259
56,17.6,28.4,0.0,2.4,73.3,14.6,24.64,5.8,5429.364767073722,5599.904341926729,5925.0,279.37385885880343
57,19.7,26.5,0.2,2.7,81.1,14.6,19.77,8.4,5070.910221619176,5231.88986883763,5116.666666666667,264.4032156624358
58,18.4,28.7,0.0,1.8,69.4,14.7,23.36,5.5,4917.879692446857,5082.191542288557,5869.444444444444,255.4112996807452
59,19.2,30.9,0.0,2.0,63.6,14.7,23.38,2.3,4468.394165535957,4673.472410673903,5675.000000000002,233.98584102681284
