,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,3.6,14.8,0.0,1.6,31.8,12.9,25.32,0.0,6336.812072434607,5479.723340040242,6505.555555555556,320.43968558014757
1,2.4,15.4,0.0,1.2,41.0,12.9,24.28,1.6,5956.534205231389,5184.3955734406445,6263.88888888889,294.4721261904762
2,5.2,15.6,0.0,1.1,41.9,13.0,19.12,6.5,3707.5627766599596,3606.70523138833,4916.666666666665,187.2911302816901
3,5.5,15.8,0.0,1.0,49.0,13.0,17.84,4.6,4122.443618231126,3878.3526404805643,4605.555555555556,206.6596148072007
4,3.0,14.4,0.0,1.9,56.1,13.1,13.88,4.0,4453.218108651911,3968.1008048289737,3333.3333333333335,231.93492283702216
5,2.8,17.7,0.0,1.2,34.3,13.1,24.38,3.9,5667.765392354124,4934.321529175051,6291.666666666666,286.73632461435284
6,3.0,21.3,0.0,1.0,27.9,13.1,25.26,1.4,6327.397585513078,5567.651307847083,6452.777777777778,306.1685541918176
7,5.0,21.9,0.0,0.7,31.0,13.2,22.24,5.6,4676.729376257546,4378.876257545272,5713.888888888888,227.17979946344738
8,7.9,23.2,0.0,1.6,33.8,13.2,22.98,3.0,5608.5110663983905,5039.692152917504,5925.0,267.66201006036215
9,8.2,16.4,6.4,2.1,66.1,13.2,4.66,7.1,2045.4804828973843,1973.054527162978,1116.6666666666667,110.63522401073105
10,7.9,17.9,0.0,0.8,62.1,13.3,17.5,4.0,4735.471428571428,4277.328571428571,4397.222222222222,241.26881666666662
11,8.6,15.8,9.1,0.8,69.3,13.3,6.52,9.3,1278.0193158953723,1353.5871227364185,1691.6666666666665,67.69286602951038
12,8.1,13.9,0.2,1.6,70.8,13.4,8.24,5.6,1421.555935613682,1464.4979879275654,2091.6666666666665,80.0674857813548
13,4.4,12.3,0.0,3.0,42.6,13.4,23.79,5.4,5970.477639751553,5338.640661359462,6058.333333333334,314.39148239776824
14,3.7,9.7,0.0,2.5,40.4,13.4,18.37,6.0,4944.77907444668,4619.43782696177,4555.555555555557,262.55691556002677
15,2.4,14.3,0.0,2.6,40.1,13.5,24.77,3.9,5687.776056338029,5204.306438631791,6316.666666666667,293.21967283702213
16,2.8,16.1,0.0,2.1,41.4,13.5,24.14,0.8,6142.036418511066,5581.905432595573,6047.222222222223,310.50303088531183
17,7.2,20.5,0.0,2.4,39.1,13.5,19.68,2.0,4511.215090543259,4236.653319919517,4533.333333333333,223.55280251509055
18,6.3,17.8,0.0,1.3,41.5,13.6,19.49,4.4,5504.320120724345,5001.678269617705,4727.777777777777,269.01955922199863
19,6.3,16.7,0.0,1.3,42.0,13.6,19.25,4.8,0.0,0.0,0.0,0.0
20,4.3,20.6,0.0,1.5,41.6,13.6,26.21,0.3,0.0,0.0,0.0,0.0
21,7.5,22.1,0.0,1.1,43.0,13.7,25.14,0.0,0.0,0.0,0.0,0.0
22,7.0,24.0,0.0,1.1,48.6,13.7,26.04,1.5,0.0,0.0,0.0,0.0
23,15.7,28.3,0.0,1.3,58.0,13.8,25.05,3.5,0.0,0.0,0.0,0.0
24,18.1,24.0,0.2,0.6,71.6,13.8,7.28,8.9,0.0,0.0,0.0,0.0
25,15.8,23.6,0.0,1.4,68.8,13.8,12.2,7.3,0.0,0.0,0.0,0.0
26,16.2,27.1,0.0,1.1,56.5,13.9,20.93,5.1,4805.302475545542,4479.423763292689,5372.222222222222,236.95993525921207
27,12.3,22.4,0.4,1.0,67.8,13.9,9.55,7.8,1659.7195171026153,1780.5782696177066,2055.5555555555557,85.22455238095236
28,11.7,26.9,0.0,1.1,49.3,13.9,27.07,2.6,6473.719202169538,5955.440419327559,6872.222222222223,309.511258998435
29,12.2,26.0,0.0,1.5,23.0,13.9,25.82,5.8,5441.793093175318,5323.92299444304,6444.444444444444,266.85242100094797
30,13.8,26.8,0.8,1.4,28.1,14.0,24.36,7.1,213.383682983683,221.70209790209793,555.5555555555555,9.467244832944832
31,12.8,18.4,9.2,1.4,86.1,14.0,2.58,8.6,571.5792756539236,606.9790744466801,661.1111111111111,34.6128649564051
32,12.8,17.0,0.8,0.9,81.3,14.0,4.02,9.3,1472.1346076458753,1485.5633802816901,922.2222222222222,82.15579872568745
33,14.6,23.1,0.0,1.6,49.4,14.1,23.06,7.6,5650.583501006036,5435.501810865191,6019.444444444446,279.36696844399734
34,11.2,19.9,0.8,1.7,60.5,14.1,16.51,6.6,4589.722937625755,4440.857947686117,4111.11111111111,231.24800127431257
35,8.5,22.7,0.0,1.5,44.8,14.1,28.82,0.6,6396.868812877263,6030.782293762576,7094.444444444444,318.63940731053
36,9.5,26.0,0.0,0.8,35.9,14.2,22.95,8.0,5341.587525150906,5243.147082494969,5944.444444444443,251.29481039570754
37,14.4,19.0,14.7,1.3,74.5,14.2,2.67,8.8,496.191718426501,520.6988612836439,633.3333333333334,33.322778536922016
38,14.6,22.2,0.0,0.9,76.9,14.2,13.0,7.6,1544.4615694164988,1600.3319919517105,3286.111111111111,156.42227236753854
39,16.3,26.6,0.0,0.9,65.0,14.2,25.36,3.1,2913.4493963782697,2783.507545271629,6397.222222222222,278.66767847082497
40,14.9,26.7,33.8,1.9,71.4,14.3,18.26,8.1,2108.8251509054326,2083.6621730382294,4827.777777777777,212.72139745137488
41,9.5,14.8,8.7,1.4,74.0,14.3,8.78,7.4,1166.8384305835011,1116.698893360161,1836.1111111111113,126.30019476861166
42,7.2,16.7,0.0,1.1,67.5,14.3,17.24,7.3,1994.610764587525,2005.9453799721405,4136.111111111111,193.85221445338703
43,8.2,22.2,0.0,0.8,57.6,14.3,26.56,4.3,5502.403822937626,5356.811267605634,6441.666666666666,270.70848561368217
44,13.3,23.6,0.0,1.1,64.0,14.4,17.84,8.0,4383.457746478873,4431.79476861167,4541.666666666666,215.8596841046278
45,15.5,25.8,0.0,1.2,57.6,14.4,25.02,6.1,6047.3696177062375,5847.446881287727,6297.222222222221,287.876192119383
46,15.8,22.2,10.4,1.7,67.0,14.4,14.84,7.1,4254.713279678069,3916.8325955734404,3619.4444444444443,211.7436074193956
47,13.7,20.1,0.0,0.8,75.6,14.4,13.11,7.8,3019.5875251509055,3047.8072434607648,3186.1111111111113,156.8895276995305
48,14.6,24.4,0.0,1.1,64.0,14.5,21.57,8.0,5018.975452716298,4800.820321931589,5725.0,234.10996042924216
49,12.6,24.2,0.0,1.3,52.9,14.5,29.56,2.5,6310.960764587526,6089.900402414487,7197.222222222223,299.0220281690141
50,13.0,24.0,0.2,0.9,55.3,14.5,23.88,5.3,5091.470824949698,5022.991146881287,5838.888888888889,243.30344307536038
51,12.7,26.8,0.0,1.0,54.1,14.5,22.42,1.9,6579.581488933602,6321.362977867203,5208.333333333333,306.4743102280349
52,14.6,29.1,0.0,0.9,47.1,14.5,29.51,1.3,6607.598189134809,6367.976257545272,7158.333333333334,304.6644775653923
53,14.9,28.5,0.0,1.4,50.9,14.6,25.66,6.9,5128.1468812877265,5238.091951710261,6463.888888888889,242.00843316566065
54,16.2,25.5,1.8,2.0,53.1,14.6,27.34,4.9,5157.31300058415,4791.207405724671,5786.111111111111,245.05209964941162
55,13.5,25.0,0.0,1.2,51.5,14.6,12.15,8.4,3069.2977867203226,3095.991146881288,3088.888888888889,154.8008229711603
56,16.9,27.5,1.1,1.1,66.6,14.6,23.91,4.6,5550.509054325957,5197.458350100604,5880.555555555556,260.86182844409456
57,19.8,30.0,0.0,1.6,59.0,14.6,25.37,3.8,5881.338430583501,5705.29476861167,6347.222222222222,277.53296549295777
58,20.6,29.2,0.0,1.2,55.1,14.6,25.27,4.3,5365.030181086519,5245.386921529176,6250.000000000001,250.5722428236083
59,18.0,30.4,0.0,1.4,48.5,14.6,24.01,4.8,5748.139034205232,5662.771026156941,5986.111111111111,269.3417646210597
60,20.2,29.0,0.0,1.2,50.3,14.7,26.52,3.0,5189.029577464788,4885.391348088531,6722.222222222223,245.89562354124743
61,19.7,31.1,0.0,0.9,58.6,14.7,26.77,1.3,5913.276659959759,5768.802816901409,6636.111111111111,274.23301046277663
62,20.1,33.4,0.0,0.9,50.3,14.7,27.83,3.3,5864.633199195172,5796.050301810866,6863.888888888889,269.6143690476191
63,21.0,32.5,7.9,1.0,56.4,14.7,23.75,7.3,5100.430583501007,5070.085915492957,6016.666666666666,236.8356212273642
64,21.8,31.9,1.3,1.1,62.9,14.7,0.0,5.0,6391.89597585513,6165.531187122737,0.0,291.7133986250838
65,21.3,28.1,0.0,0.8,67.3,14.7,1.26,9.6,2163.1187122736424,2315.9748490945676,230.55555555555557,108.21875224681422
66,20.6,32.4,0.0,1.3,56.5,14.7,28.22,6.5,6394.152313883299,6218.0046277666,7047.222222222223,296.3120310865191
