,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,4.3,11.0,4.1,2.5,62.9,12.9,16.57,3.1,4705.708445987089,4934.983546462064,4130.555555555556,271.5114078674948
1,3.1,12.3,0.0,2.3,53.6,13.0,18.77,3.6,4178.485093167702,4227.703726708074,4952.777777777778,242.61509775083596
2,3.9,13.7,0.0,2.2,60.4,13.0,22.08,4.3,5441.008074534162,5725.053830227742,5775.0,308.32790557827934
3,5.1,15.9,0.0,2.3,51.0,13.0,18.89,4.4,4772.318426501034,5085.219875776398,4736.11111111111,265.0101458656987
4,6.5,10.0,15.8,2.2,77.5,13.1,4.12,7.0,766.7136645962734,704.1888198757764,1075.0,42.22813605682641
5,5.0,13.8,0.0,3.3,50.4,13.1,23.41,4.1,5816.100621118011,6218.966873706005,6000.0,329.4441245607469
6,8.5,24.0,0.0,2.8,23.4,13.1,25.13,0.5,5989.9627329192535,6400.146169772257,6422.222222222223,317.1376308179687
7,9.1,21.1,0.0,3.1,53.9,13.2,22.01,4.0,5103.214906832298,5347.721739130434,5722.222222222222,277.7501613812722
8,7.3,14.6,0.0,2.1,70.6,13.2,20.48,6.0,5131.875983436853,5416.229606625258,5283.333333333333,292.377361109116
9,7.7,17.3,1.4,1.9,72.6,13.3,9.0,7.9,1561.010559006211,1508.628364389234,2222.222222222222,84.65939660299169
10,8.5,13.7,1.3,2.8,79.1,13.3,10.69,4.4,2908.238716356108,2969.751552795031,2702.7777777777783,167.64208274419695
11,7.3,13.4,23.3,1.8,82.8,13.3,6.78,9.1,1771.6919254658385,1654.41718426501,1713.8888888888887,95.64474881421258
12,8.3,16.6,8.7,2.7,65.4,13.4,17.69,6.4,4182.719047619046,4335.969565217391,4397.222222222222,224.69416601346649
13,5.4,13.6,0.0,3.9,38.0,13.4,23.52,5.3,5942.241614906832,6189.4587991718445,5869.444444444444,319.2780130226357
