,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,4.3,11.0,4.1,2.5,62.9,12.9,16.57,3.1,5849.076140873017,4758.639384920636,4130.555555555556,267.69873695796537
1,3.1,12.3,0.0,2.3,53.6,13.0,18.77,3.6,6238.951636904761,4982.813740079365,4952.777777777778,280.3661941344246
2,3.9,13.7,0.0,2.2,60.4,13.0,22.08,4.3,6469.112103174603,5221.618551587301,5775.0,293.84110126488093
3,5.1,15.9,0.0,2.3,51.0,13.0,18.89,4.4,5395.576388888889,4441.844990079365,4736.11111111111,245.78401547619046
4,6.5,10.0,15.8,2.2,77.5,13.1,4.12,7.0,588.9930555555557,566.8340773809524,1075.0,30.999817189391646
5,5.0,13.8,0.0,3.3,50.4,13.1,23.41,4.1,7102.894345238095,5821.454861111111,6000.0,321.7466351686507
6,8.5,24.0,0.0,2.8,23.4,13.1,25.13,0.5,7181.340525793651,5905.2130456349205,6422.222222222223,309.4520328745039
7,9.1,21.1,0.0,3.1,53.9,13.2,22.01,4.0,6011.877976190475,4971.146825396826,5722.222222222222,268.9354787574405
8,7.3,14.6,0.0,2.1,70.6,13.2,20.48,6.0,5438.900297619047,4526.265873015873,5283.333333333333,243.616127467758
9,7.7,17.3,1.4,1.9,72.6,13.3,9.0,7.9,1589.4015376984125,1429.0510912698412,2222.222222222222,78.19335984623018
10,8.5,13.7,1.3,2.8,79.1,13.3,10.69,4.4,3523.018601190476,3142.71626984127,2702.7777777777783,164.2436360123048
11,7.3,13.4,23.3,1.8,82.8,13.3,6.78,9.1,1718.9997519841268,1631.3665674603174,1713.8888888888887,85.05997265625
12,8.3,16.6,8.7,2.7,65.4,13.4,17.69,6.4,4576.521081349206,3858.4908234126983,4397.222222222222,204.0089974950397
13,5.4,13.6,0.0,3.9,38.0,13.4,23.52,5.3,6840.697916666667,5876.408234126984,5869.444444444444,306.54899743303577
14,5.0,12.0,0.0,3.6,37.9,13.5,26.65,1.0,7313.967261904761,6228.713541666666,6733.333333333333,334.74696841517857
15,4.9,15.3,0.0,3.0,41.0,13.5,26.3,3.0,6202.491815476191,5242.6703869047615,6688.888888888888,281.0734951860919
16,6.1,17.8,0.0,3.9,32.0,13.5,23.7,4.3,6093.368303571428,5251.123759920635,5913.888888888889,271.53962100694446
17,12.8,22.3,0.0,3.6,38.8,13.6,19.77,3.0,6037.163194444444,5144.220238095238,5050.0,263.4798497759043
18,7.8,14.0,5.0,1.7,72.5,13.6,13.99,6.4,4585.024553571428,4119.765376984127,3508.3333333333335,207.64309513888892
19,6.7,14.6,0.8,2.5,63.9,13.6,17.02,4.5,3579.3730158730154,3226.232390873016,4141.666666666666,166.11770685763886
20,8.7,22.1,0.0,3.7,34.5,13.7,26.05,1.4,6524.614335317461,5695.607390873016,6541.666666666666,289.8642148189484
21,15.6,24.3,0.0,3.2,33.8,13.7,24.55,2.3,5673.018105158731,5027.746031746032,6163.888888888889,249.25455522073412
22,15.8,26.8,0.0,4.1,32.9,13.7,24.98,4.6,5704.5639880952385,5093.506944444444,6197.222222222223,245.19445034722222
23,20.1,32.5,0.0,4.1,42.1,13.8,25.68,1.4,6783.141329045058,5932.3168922811055,6444.444444444445,282.9547564316116
24,22.8,27.9,0.0,4.4,52.8,13.8,21.14,5.9,5471.159226190476,4769.493551587302,5219.444444444444,231.56583771081347
25,19.1,26.9,0.0,1.9,60.1,13.8,16.78,7.5,4598.19246031746,4108.888392857143,4038.888888888889,200.6311961681547
26,12.5,27.1,0.3,1.8,79.5,13.9,14.4,6.5,2615.681051587301,2325.3070436507937,3575.0,115.4373849206349
27,12.5,18.9,0.0,1.2,76.9,13.9,13.58,6.4,3101.2517361111113,2928.316964285714,3191.6666666666665,145.27998184523807
28,11.6,20.6,0.0,1.8,75.6,14.0,27.42,1.4,6996.586309523809,6195.687748015873,6961.111111111111,296.12887770337306
29,9.3,20.7,0.0,2.0,59.0,14.0,21.58,6.9,5181.165426587301,4683.994791666667,5308.333333333333,230.54252371031743
30,9.7,22.3,0.9,1.5,66.8,14.0,25.81,7.6,6695.576388888889,5877.340525793652,6569.444444444444,287.74234141865077
