,일시,총발전량(kWh),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),합계 일사량(w/m2)
0,2017-07-01,2296,20.9,25.9,11.1,1.7,96.1,14.6,5.21,9.6,1447.2222222222222
1,2017-07-02,1252,23.5,25.7,4.3,3.5,98.0,14.6,3.21,9.9,891.6666666666666
2,2017-07-03,1962,23.1,25.4,7.9,3.4,98.0,14.6,3.97,10.0,1102.7777777777778
3,2017-07-04,5365,23.1,29.5,14.8,1.7,95.5,14.6,12.62,8.0,3505.5555555555557
4,2017-07-05,4992,23.2,31.9,0.0,1.2,87.6,14.6,17.2,5.6,4777.777777777777
5,2017-07-06,4260,21.8,31.8,1.0,1.4,93.0,14.6,14.15,7.3,3930.5555555555557
6,2017-07-07,1836,23.6,28.3,14.8,3.0,97.5,14.6,4.38,9.8,1216.6666666666667
7,2017-07-08,2134,23.2,27.0,74.9,3.1,98.0,14.6,6.14,9.9,1705.5555555555557
8,2017-07-09,4185,24.2,30.3,2.3,2.2,97.3,14.5,9.74,9.9,2705.5555555555557
9,2017-07-10,193,24.4,26.1,47.2,4.1,98.0,14.5,1.62,10.0,450.0
10,2017-07-11,3740,22.5,28.2,0.0,2.5,97.8,14.5,8.09,9.5,2247.222222222222
11,2017-07-12,3938,22.3,29.7,0.1,1.5,94.4,14.5,13.36,5.5,3711.1111111111113
12,2017-07-13,5014,20.8,31.4,0.0,1.3,94.0,14.5,17.45,3.9,4847.222222222223
13,2017-07-14,4636,23.6,31.7,1.7,2.3,92.9,14.5,14.79,7.9,4108.333333333333
14,2017-07-15,2078,23.4,27.0,12.7,2.4,97.9,14.4,6.64,10.0,1844.4444444444443
15,2017-07-16,1123,23.2,26.8,15.4,2.1,98.0,14.4,2.31,10.0,641.6666666666666
16,2017-07-17,1256,23.3,26.3,5.5,1.9,98.0,14.4,3.04,10.0,844.4444444444445
17,2017-07-18,3979,23.1,29.4,1.3,1.1,97.6,14.4,11.28,9.0,3133.3333333333335
18,2017-07-19,4796,24.0,32.3,0.0,0.9,92.1,14.4,12.81,7.0,3558.3333333333335
19,2017-07-20,5173,23.1,31.8,0.0,1.8,93.8,14.3,19.16,2.9,5322.222222222223
20,2017-07-21,4096,25.8,31.4,0.0,2.7,96.3,14.3,14.96,7.6,4155.555555555556
21,2017-07-22,4404,25.8,29.4,0.0,2.9,98.0,14.3,9.07,9.1,2519.4444444444443
22,2017-07-23,1699,25.5,29.5,0.0,2.8,98.0,14.3,4.23,9.6,1175.0
23,2017-07-24,810,25.5,28.2,25.9,1.3,98.0,14.3,2.92,9.6,811.1111111111111
24,2017-07-25,5838,24.5,33.0,0.0,1.5,93.1,14.2,18.74,5.0,5205.555555555556
25,2017-07-26,5514,22.4,32.0,0.0,1.2,88.3,14.2,14.95,4.0,4152.777777777777
26,2017-07-27,3628,23.2,32.5,0.0,0.7,94.3,14.2,14.38,6.5,3994.4444444444443
27,2017-07-28,1382,23.9,27.6,0.7,1.6,98.0,14.1,3.78,9.4,1050.0
28,2017-07-29,2554,23.7,32.0,0.0,1.2,95.0,14.1,11.29,7.8,3136.1111111111113
29,2017-07-30,4848,23.3,31.1,0.0,1.2,93.5,14.1,14.94,6.9,4150.0
30,2017-07-31,771,22.0,25.6,86.2,1.0,98.0,14.1,2.17,9.6,602.7777777777778
31,2017-08-01,4837,23.3,33.1,6.4,0.8,92.0,14.0,14.53,6.3,4036.1111111111113
32,2017-08-02,5566,24.0,33.2,5.9,0.7,94.3,14.0,17.08,3.6,4744.444444444444
33,2017-08-03,5577,24.0,33.0,0.0,0.9,87.8,14.0,18.39,3.3,5108.333333333333
34,2017-08-04,5363,23.3,33.6,0.0,1.0,88.4,13.9,18.33,4.0,5091.666666666667
35,2017-08-05,5244,24.9,34.7,0.0,1.4,90.1,13.9,17.18,4.0,4772.222222222223
36,2017-08-06,2869,24.0,32.8,24.4,1.1,94.8,13.9,10.21,5.9,2836.1111111111113
37,2017-08-07,5344,23.1,33.0,0.0,1.1,88.8,13.9,17.86,2.3,4961.111111111111
38,2017-08-08,3702,22.5,30.0,0.0,0.8,94.6,13.8,10.45,7.1,2902.777777777778
39,2017-08-09,2734,23.2,28.2,3.4,1.7,96.4,13.8,10.47,9.1,2908.3333333333335
40,2017-08-10,4203,23.7,31.7,0.0,1.2,94.1,13.7,14.82,5.5,4116.666666666667
41,2017-08-11,2548,22.0,30.0,13.1,0.7,98.0,13.7,11.79,3.0,3275.0
42,2017-08-12,4309,23.1,31.1,0.0,1.3,95.1,13.7,13.2,4.9,3666.6666666666665
43,2017-08-13,2387,22.5,26.6,0.9,1.6,93.6,13.7,6.29,9.0,1747.2222222222222
44,2017-08-14,1047,21.4,23.7,25.6,2.2,100.0,13.6,3.88,10.0,1077.7777777777778
45,2017-08-15,961,21.6,26.1,18.4,2.6,100.0,13.6,3.42,9.4,950.0
46,2017-08-16,1749,22.4,29.3,0.0,2.4,99.0,13.5,11.38,7.3,3161.1111111111113
47,2017-08-17,3736,22.2,29.7,2.7,1.3,96.0,13.5,15.83,7.0,4397.222222222223
48,2017-08-18,3083,21.2,29.9,5.5,0.9,99.3,13.5,10.42,6.6,2894.4444444444443
49,2017-08-19,2365,21.7,29.1,13.5,0.9,97.9,13.5,7.63,8.6,2119.4444444444443
50,2017-08-20,1476,22.7,28.6,64.8,2.3,98.4,13.4,5.11,9.9,1419.4444444444443
51,2017-08-21,2857,22.9,28.2,3.0,2.9,100.0,13.4,7.84,8.0,2177.777777777778
52,2017-08-22,4887,23.0,31.1,0.0,1.2,95.0,13.3,17.03,6.0,4730.555555555556
53,2017-08-23,3516,25.0,31.2,20.5,3.6,100.0,13.3,9.35,9.1,2597.222222222222
54,2017-08-24,1956,21.8,28.8,12.2,4.2,100.0,13.3,3.89,8.6,1080.5555555555557
55,2017-08-25,4666,19.4,31.1,0.0,1.2,86.5,13.2,16.33,4.8,4536.11111111111
56,2017-08-26,5372,16.4,29.0,0.0,1.1,67.0,13.2,18.79,2.3,5219.444444444444
57,2017-08-27,2812,17.0,28.4,0.0,0.8,71.6,13.2,13.37,7.3,3713.8888888888887
58,2017-08-28,1963,17.6,27.2,11.0,1.9,88.0,13.1,7.43,8.3,2063.8888888888887
59,2017-08-29,5136,17.8,23.0,0.0,2.6,54.9,13.1,17.62,4.9,4894.444444444444
60,2017-08-30,1913,16.7,23.5,0.0,1.5,68.5,13.1,5.82,8.3,1616.6666666666667
61,2017-08-31,4857,15.3,27.2,0.0,1.3,76.0,13.0,17.59,1.8,4886.111111111111
62,2017-09-01,5127,15.9,28.1,0.0,1.9,67.5,13.0,18.92,0.1,5255.555555555556
63,2017-09-02,4574,16.3,28.0,0.0,1.3,76.9,12.9,14.25,2.3,3958.3333333333335
64,2017-09-03,4630,16.0,29.3,0.0,1.0,78.4,12.9,15.62,3.8,4338.888888888889
65,2017-09-04,4164,18.1,29.4,0.0,1.1,68.0,12.9,15.52,5.5,4311.111111111111
